,Time,Lon,Lat,Reading
0,0,150.6638183,-34.02221,0.0585
1,2,150.6638,-34.0222083,0.0614
2,4,150.6637967,-34.0222067,0.0603
3,7,150.6637767,-34.0222033,0.0557
4,9,150.66376,-34.0222,0.0539
5,11,150.6637417,-34.0221967,0.0634
6,14,150.6637117,-34.0221833,0.0646
7,16,150.663685,-34.022175,0.0627
8,18,150.6636533,-34.0221683,0.06
9,21,150.6635983,-34.0221567,0.0577
10,23,150.66356,-34.0221483,0.0615
11,25,150.6635183,-34.02214,0.0547
12,28,150.6634583,-34.0221283,0.0521
13,30,150.663415,-34.02212,0.0597
14,32,150.6633733,-34.0221083,0.0506
15,35,150.6633117,-34.022095,0.0628
16,37,150.6632717,-34.02209,0.069
17,39,150.66323,-34.0220867,0.0613
18,42,150.663165,-34.0220783,0.0631
19,44,150.6631217,-34.0220717,0.0641
20,46,150.6630817,-34.022065,0.0646
21,49,150.663025,-34.022055,0.0664
22,51,150.6629967,-34.0220433,0.0585
23,53,150.6629867,-34.02203,0.0635
24,56,150.6629917,-34.02201,0.0564
25,58,150.663005,-34.022,0.0561
26,61,150.6630333,-34.0220033,0.0521
27,63,150.663055,-34.02201,0.0539
28,65,150.6630833,-34.022015,0.0621
29,68,150.6631417,-34.0220267,0.0619
30,70,150.663185,-34.022035,0.0693
31,72,150.6632283,-34.022045,0.06620001
32,75,150.6632967,-34.0220617,0.0634
33,77,150.6633433,-34.02207,0.0635
34,79,150.66339,-34.02208,0.0569
35,82,150.6634567,-34.0220917,0.0584
36,84,150.6635,-34.0221033,0.0574
37,86,150.6635433,-34.0221133,0.05809999
38,89,150.6636083,-34.0221267,0.0545
39,91,150.6636517,-34.022135,0.0651
40,93,150.6636917,-34.0221433,0.0648
41,96,150.6637483,-34.0221583,0.0618
42,98,150.6637817,-34.0221667,0.0613
43,100,150.6638083,-34.0221567,0.0558
44,103,150.6638133,-34.0221233,0.0552
45,105,150.6637917,-34.0221083,0.0573
46,107,150.6637617,-34.0221,0.0598
47,110,150.663705,-34.0220867,0.0597
48,113,150.6636367,-34.0220717,0.0601
49,115,150.66359,-34.0220633,0.0618
50,117,150.6635417,-34.0220533,0.06599999
51,119,150.663495,-34.022045,0.0619
52,122,150.663425,-34.0220317,0.0618
53,124,150.6633783,-34.02202,0.0618
54,126,150.6633317,-34.02201,0.0586
55,129,150.6632617,-34.021995,0.0603
56,131,150.663215,-34.021985,0.0618
57,133,150.6631683,-34.0219767,0.0639
58,136,150.6631067,-34.021965,0.0679
59,138,150.6630683,-34.0219583,0.0622
60,140,150.6630367,-34.0219483,0.0652
61,143,150.6630233,-34.0219233,0.0622
62,145,150.663035,-34.021905,0.0567
63,147,150.6630617,-34.0219,0.0638
64,150,150.6631083,-34.02192,0.0608
65,152,150.6631467,-34.0219317,0.061
66,154,150.6631867,-34.0219417,0.0683
67,157,150.6632467,-34.0219533,0.0611
68,160,150.6633083,-34.0219667,0.0694
69,161,150.6633283,-34.02197,0.0642
70,164,150.6633917,-34.0219817,0.0623
71,166,150.663435,-34.0219917,0.0676
72,169,150.6635033,-34.022005,0.07
73,171,150.6635483,-34.022015,0.0634
74,173,150.6635917,-34.022025,0.0629
75,176,150.663655,-34.0220383,0.0634
76,178,150.6636983,-34.0220467,0.0629
77,180,150.6637433,-34.022055,0.0572
78,183,150.6638133,-34.0220667,0.0623
79,185,150.6638567,-34.02208,0.0663
80,187,150.663885,-34.0221,0.0573
81,190,150.663905,-34.022155,0.0611
82,192,150.6638933,-34.0222033,0.0611
