,Time,Lon,Lat
0,-1,150.6638283,-34.0222117
1,0,150.6638183,-34.02221
2,1,150.6638083,-34.0222083
3,2,150.6638,-34.0222083
4,3,150.663795,-34.0222067
5,4,150.6637967,-34.0222067
6,5,150.6637917,-34.022205
7,6,150.663785,-34.022205
8,7,150.6637767,-34.0222033
9,8,150.6637683,-34.0222017
10,9,150.66376,-34.0222
11,10,150.6637517,-34.0221983
12,11,150.6637417,-34.0221967
13,12,150.6637317,-34.0221933
14,13,150.6637217,-34.0221883
15,14,150.6637117,-34.0221833
16,15,150.6636983,-34.02218
17,16,150.663685,-34.022175
18,17,150.66367,-34.0221717
19,18,150.6636533,-34.0221683
20,19,150.663635,-34.022165
21,20,150.6636183,-34.02216
22,21,150.6635983,-34.0221567
23,22,150.66358,-34.0221533
24,23,150.66356,-34.0221483
25,24,150.66354,-34.022145
26,25,150.6635183,-34.02214
27,26,150.6634983,-34.0221367
28,27,150.6634783,-34.0221317
29,28,150.6634583,-34.0221283
30,29,150.6634367,-34.0221233
31,30,150.663415,-34.02212
32,31,150.6633933,-34.022115
33,32,150.6633733,-34.0221083
34,33,150.6633533,-34.022105
35,34,150.6633333,-34.0221
36,35,150.6633117,-34.022095
37,36,150.6632917,-34.0220917
38,37,150.6632717,-34.02209
39,38,150.6632517,-34.0220883
40,39,150.66323,-34.0220867
41,40,150.6632083,-34.022085
42,41,150.6631867,-34.0220817
43,42,150.663165,-34.0220783
44,43,150.6631433,-34.022075
45,44,150.6631217,-34.0220717
46,45,150.6631017,-34.0220683
47,46,150.6630817,-34.022065
48,47,150.6630617,-34.0220617
49,48,150.6630417,-34.0220583
50,49,150.663025,-34.022055
51,50,150.66301,-34.02205
52,51,150.6629967,-34.0220433
53,52,150.66299,-34.0220367
54,53,150.6629867,-34.02203
55,54,150.662985,-34.0220233
56,55,150.6629867,-34.0220167
57,56,150.6629917,-34.02201
58,57,150.6629967,-34.0220033
59,58,150.663005,-34.022
60,59,150.663015,-34.0219983
61,60,150.6630233,-34.022
62,61,150.6630333,-34.0220033
63,62,150.6630433,-34.0220067
64,63,150.663055,-34.02201
65,64,150.6630683,-34.0220117
66,65,150.6630833,-34.022015
67,66,150.6631017,-34.0220183
68,67,150.6631217,-34.0220217
69,68,150.6631417,-34.0220267
70,69,150.6631633,-34.0220317
71,70,150.663185,-34.022035
72,71,150.6632067,-34.02204
73,72,150.6632283,-34.022045
74,73,150.66325,-34.02205
75,74,150.6632733,-34.0220567
76,75,150.6632967,-34.0220617
77,76,150.66332,-34.0220667
78,77,150.6633433,-34.02207
79,78,150.6633667,-34.022075
80,79,150.66339,-34.02208
81,80,150.6634133,-34.0220833
82,81,150.663435,-34.0220883
83,82,150.6634567,-34.0220917
84,83,150.6634783,-34.0220983
85,84,150.6635,-34.0221033
86,85,150.6635233,-34.0221083
87,86,150.6635433,-34.0221133
88,87,150.6635667,-34.0221183
89,88,150.6635883,-34.0221233
90,89,150.6636083,-34.0221267
91,90,150.66363,-34.0221317
92,91,150.6636517,-34.022135
93,92,150.6636733,-34.02214
94,93,150.6636917,-34.0221433
95,94,150.6637117,-34.0221483
96,95,150.6637317,-34.022155
97,96,150.6637483,-34.0221583
98,97,150.663765,-34.022165
99,98,150.6637817,-34.0221667
100,99,150.6637983,-34.0221633
101,100,150.6638083,-34.0221567
102,101,150.663815,-34.0221467
103,102,150.6638167,-34.022135
104,103,150.6638133,-34.0221233
105,104,150.663805,-34.022115
106,105,150.6637917,-34.0221083
107,106,150.6637783,-34.0221033
108,107,150.6637617,-34.0221
109,108,150.663745,-34.022095
110,109,150.6637267,-34.02209
111,110,150.663705,-34.0220867
112,111,150.6636833,-34.0220817
113,112,150.66366,-34.0220767
114,113,150.6636367,-34.0220717
115,114,150.6636133,-34.0220683
116,115,150.66359,-34.0220633
117,116,150.663565,-34.0220583
118,117,150.6635417,-34.0220533
119,118,150.6635183,-34.02205
120,119,150.663495,-34.022045
121,120,150.6634717,-34.02204
122,121,150.66345,-34.022035
123,122,150.663425,-34.0220317
124,123,150.6634017,-34.022025
125,124,150.6633783,-34.02202
126,125,150.663355,-34.022015
127,126,150.6633317,-34.02201
128,127,150.6633083,-34.022005
129,128,150.663285,-34.022
130,129,150.6632617,-34.021995
131,130,150.6632383,-34.02199
132,131,150.663215,-34.021985
133,132,150.6631917,-34.02198
134,133,150.6631683,-34.0219767
135,134,150.663145,-34.0219717
136,135,150.663125,-34.0219683
137,136,150.6631067,-34.021965
138,137,150.6630867,-34.0219617
139,138,150.6630683,-34.0219583
140,139,150.66305,-34.021955
141,140,150.6630367,-34.0219483
142,141,150.6630283,-34.0219417
143,142,150.6630233,-34.0219333
144,143,150.6630233,-34.0219233
145,144,150.6630283,-34.0219133
146,145,150.663035,-34.021905
147,146,150.6630483,-34.0219017
148,147,150.6630617,-34.0219
149,148,150.663075,-34.0219067
150,149,150.66309,-34.0219133
151,150,150.6631083,-34.02192
152,151,150.6631267,-34.021925
153,152,150.6631467,-34.0219317
