,Time,Lon,Lat,Reading
0,0,150.66382146,-34.02222392,0.0585
1,2,150.66380569,-34.02221979,0.0614
2,4,150.66379754,-34.02221601,0.0603
3,7,150.66378027,-34.02220711,0.0557
4,9,150.66376222,-34.02220289,0.0539
5,11,150.66374391,-34.02219762,0.0634
6,14,150.66371475,-34.02219414,0.0646
7,16,150.6636846,-34.02218814,0.0627
8,18,150.66365014,-34.02217809,0.06
9,21,150.66358935,-34.02216566,0.0577
10,23,150.66355283,-34.0221519,0.0615
11,25,150.66351656,-34.02213028,0.0547
12,28,150.66346094,-34.02210601,0.0521
13,30,150.66342214,-34.022095,0.0597
14,32,150.6633777,-34.02208346,0.0506
15,35,150.6633167,-34.02207985,0.0628
16,37,150.66327722,-34.02208441,0.069
17,39,150.66323207,-34.02207825,0.0613
18,42,150.66315773,-34.02206487,0.0631
19,44,150.66311179,-34.02206009,0.0641
20,46,150.66306953,-34.02205459,0.0646
21,49,150.66299713,-34.02202758,0.0664
22,51,150.66296713,-34.02201609,0.0585
23,53,150.66295355,-34.02201484,0.0635
24,56,150.66295024,-34.02202904,0.0564
25,58,150.66299959,-34.02203956,0.0561
26,61,150.66300303,-34.02204076,0.0521
27,63,150.66301126,-34.02204076,0.0539
28,65,150.66303399,-34.02204773,0.0621
29,68,150.66309819,-34.02205619,0.0619
30,70,150.66314495,-34.02205524,0.0693
31,72,150.66319726,-34.02205368,0.0662
32,75,150.66327467,-34.02205274,0.0634
33,77,150.6633261,-34.02205984,0.0635
34,79,150.66337342,-34.02208679,0.0569
35,82,150.66344534,-34.02212242,0.0584
36,84,150.66349592,-34.02212934,0.0574
37,86,150.66354276,-34.02214658,0.0581
38,89,150.66363251,-34.0221175,0.0545
39,91,150.66368445,-34.02209728,0.0651
40,93,150.66372866,-34.02209701,0.0648
41,96,150.66377238,-34.02216076,0.0618
42,98,150.66379579,-34.02218722,0.0613
43,100,150.66381653,-34.02219235,0.0558
44,103,150.66382694,-34.02214677,0.0552
45,105,150.66381027,-34.02211677,0.0573
46,107,150.66378057,-34.02209548,0.0598
47,110,150.66370764,-34.02208165,0.0597
48,113,150.66364748,-34.02207011,0.0601
49,115,150.66357629,-34.02204893,0.0618
50,117,150.6635265,-34.02203077,0.066
51,119,150.66347468,-34.02202238,0.0619
52,122,150.6633967,-34.02202664,0.0618
53,124,150.66334482,-34.02201873,0.0618
