,Time,Lon,Lat,Reading
0,3,150.6638,-34.0222017,3.3
1,7,150.6638,-34.0222017,3.0
2,11,150.6638,-34.0222017,3.7
3,15,150.6638,-34.0222017,3.4
4,19,150.6638,-34.0222017,3.4
5,23,150.6638,-34.0222017,3.6
6,27,150.6638,-34.0222017,3.7
7,31,150.6638,-34.0222017,3.7
8,35,150.6638,-34.0222017,3.4
9,39,150.6638,-34.0222017,3.5
10,43,150.6638,-34.0222017,3.5
11,47,150.6638,-34.0222017,3.4
12,51,150.6638,-34.0222017,3.1
13,55,150.6638,-34.0222017,2.9
14,59,150.6638,-34.0222017,3.3
15,63,150.6638,-34.0222017,3.0
16,67,150.6638,-34.0222017,2.9
17,71,150.6638,-34.0222017,3.2
18,75,150.6638,-34.0222017,3.5
19,79,150.6638,-34.0222017,3.5
20,83,150.6638,-34.0222017,3.4
21,87,150.6638,-34.0222017,3.7
22,91,150.6638,-34.0222017,3.2
23,95,150.6638,-34.0222017,3.9
24,99,150.6638,-34.0222017,3.6
25,103,150.6638,-34.0222017,3.7
26,107,150.6638,-34.0222017,3.6
27,111,150.6638,-34.0222017,3.5
28,115,150.6638,-34.0222017,3.6
29,119,150.6638,-34.0222017,3.6
30,123,150.6638,-34.0222017,3.4
31,127,150.6638,-34.0222017,3.1
32,131,150.6638,-34.0222017,3.3
33,135,150.6638,-34.0222017,3.2
34,139,150.6638,-34.0222017,3.1
35,143,150.6638,-34.0222017,2.9
36,147,150.6638,-34.0222017,3.2
37,151,150.6638,-34.0222017,3.4
38,155,150.6638,-34.0222017,3.5
39,159,150.6638,-34.0222017,3.4
40,163,150.6638,-34.0222017,3.6
41,167,150.6638,-34.0222017,3.5
42,171,150.6638,-34.0222017,3.6
43,175,150.6637983,-34.0222,3.7
44,179,150.6637883,-34.0221983,3.8
45,183,150.6637717,-34.022195,3.8
46,187,150.6637567,-34.02219,3.7
47,191,150.66374,-34.022185,3.8
48,195,150.6637233,-34.02218,3.8
49,199,150.6637067,-34.022175,4.0
