,Time,Lon,Lat,Reading
0,3,150.6638,-34.0222017,3.5
1,7,150.6638,-34.0222017,3.6
2,11,150.6638,-34.0222017,3.6
3,15,150.6638,-34.0222017,3.7
4,19,150.6638,-34.0222017,3.6
5,23,150.6638,-34.0222017,3.4
6,27,150.6638,-34.0222017,3.6
7,31,150.6638,-34.0222017,3.6
8,35,150.6638,-34.0222017,3.7
9,39,150.6638,-34.0222017,3.8
10,43,150.6638,-34.0222017,3.6
11,47,150.6638,-34.0222017,3.6
12,51,150.6638,-34.0222017,3.7
13,55,150.6638,-34.0222017,3.6
14,59,150.6638,-34.0222017,3.6
15,63,150.6638,-34.0222017,3.7
16,67,150.6638,-34.0222017,3.8
17,71,150.6638,-34.0222017,3.646875
18,75,150.6638,-34.0222017,3.65
19,79,150.6638,-34.0222017,3.65
20,83,150.6638,-34.0222017,3.653125
21,87,150.6638,-34.0222017,3.65625
22,91,150.6638,-34.0222017,3.665625
23,95,150.6638,-34.0222017,3.659375
24,99,150.6638,-34.0222017,3.659375
25,103,150.6638,-34.0222017,3.653125
26,107,150.6638,-34.0222017,3.646875
27,111,150.6638,-34.0222017,3.653125
28,115,150.6638,-34.0222017,3.653125
29,119,150.6638,-34.0222017,3.65625
30,123,150.6638,-34.0222017,3.653125
31,127,150.6638,-34.0222017,3.65625
32,131,150.6638,-34.0222017,3.65625
33,135,150.6638,-34.0222017,3.653125
34,139,150.6638,-34.0222017,3.646875
35,143,150.6638,-34.0222017,3.640625
36,147,150.6638,-34.0222017,3.640625
37,151,150.6638,-34.0222017,3.64375
38,155,150.6638,-34.0222017,3.634375
39,159,150.6638,-34.0222017,3.625
40,163,150.6638,-34.0222017,3.63125
41,167,150.6638,-34.0222017,3.615625
42,171,150.6638,-34.0222017,3.6
43,175,150.6637983,-34.0222,3.584375
44,179,150.6637883,-34.0221983,3.55625
45,183,150.6637717,-34.022195,3.553125
46,187,150.6637567,-34.02219,3.53125
47,191,150.66374,-34.022185,3.50625
48,195,150.6637233,-34.02218,3.4875
49,199,150.6637067,-34.022175,3.459375
50,203,150.66369,-34.02217,3.440625
51,207,150.66367,-34.0221667,3.45
52,211,150.6636517,-34.0221633,3.45625
53,215,150.6636333,-34.0221583,3.44375
54,219,150.6636133,-34.022155,3.421875
55,223,150.663595,-34.02215,3.41875
56,227,150.663575,-34.0221467,3.421875
57,231,150.6635583,-34.0221433,3.434375
58,235,150.6635417,-34.02214,3.440625
59,239,150.6635233,-34.0221367,3.44375
60,243,150.6635067,-34.0221333,3.465625
61,247,150.6634883,-34.0221283,3.46875
62,251,150.66347,-34.022125,3.48125
63,255,150.66345,-34.0221217,3.475
64,259,150.6634317,-34.0221183,3.471875
65,263,150.6634117,-34.022115,3.4625
66,267,150.6633917,-34.02211,3.4625
67,271,150.6633717,-34.022105,3.471875
68,275,150.6633517,-34.0221,3.465625
69,279,150.6633317,-34.022095,3.45625
70,283,150.6633117,-34.0220917,3.44375
71,287,150.66329,-34.0220883,3.453125
72,291,150.66327,-34.022085,3.459375
73,295,150.6632467,-34.0220833,3.471875
74,299,150.6632267,-34.0220817,3.478125
75,303,150.663205,-34.02208,3.490625
76,307,150.6631833,-34.0220767,3.509375
77,311,150.66316,-34.0220733,3.509375
78,315,150.6631383,-34.02207,3.528125
79,319,150.6631167,-34.0220667,3.55625
80,323,150.663095,-34.0220633,3.5875
81,327,150.6630733,-34.02206,3.61875
82,331,150.6630517,-34.022055,3.634375
83,335,150.6630283,-34.0220517,3.61875
84,339,150.6630067,-34.0220483,3.615625
85,343,150.6629883,-34.0220433,3.628125
86,347,150.6629767,-34.0220333,3.646875
87,351,150.6629717,-34.0220217,3.625
88,355,150.6629733,-34.02201,3.621875
89,359,150.6629817,-34.022,3.603125
90,363,150.662995,-34.0219933,3.596875
91,367,150.6630117,-34.0219933,3.578125
92,371,150.6630283,-34.021995,3.553125
93,375,150.6630433,-34.022,3.534375
94,379,150.6630617,-34.022005,3.521875
95,383,150.6630783,-34.0220083,3.525
96,387,150.6630983,-34.0220133,3.521875
97,391,150.6631183,-34.0220167,3.515625
98,395,150.6631383,-34.0220217,3.509375
99,399,150.6631583,-34.022025,3.509375
100,403,150.6631783,-34.0220317,3.496875
101,407,150.6632,-34.0220367,3.478125
102,411,150.6632217,-34.0220417,3.46875
103,415,150.6632433,-34.0220467,3.446875
104,419,150.663265,-34.02205,3.41875
105,423,150.6632883,-34.022055,3.4
106,427,150.66331,-34.02206,3.390625
107,431,150.663335,-34.022065,3.38125
108,435,150.6633583,-34.0220683,3.36875
109,439,150.6633833,-34.0220733,3.3625
110,443,150.6634083,-34.0220783,3.353125
111,447,150.6634333,-34.0220833,3.328125
112,451,150.66346,-34.0220883,3.30625
113,455,150.663485,-34.0220933,3.29375
114,459,150.6635117,-34.0221,3.31875
115,463,150.6635367,-34.022105,3.334375
116,467,150.6635633,-34.0221117,3.309375
117,471,150.66359,-34.0221167,3.29375
118,475,150.6636167,-34.0221233,3.2625
119,479,150.6636433,-34.0221283,3.259375
120,483,150.66367,-34.0221333,3.228125
121,487,150.663695,-34.0221383,3.203125
122,491,150.6637217,-34.022145,3.175
