,Time,Lon,Lat,Reading
0,1443,150.6629317,-34.02595,11.2
1,1447,150.6629217,-34.025985,11.1
2,1451,150.6629133,-34.02602,11.7
3,1455,150.662905,-34.0260583,12.1
4,1459,150.662895,-34.026095,11.8
5,1463,150.6628867,-34.0261333,11.8
6,1467,150.6628767,-34.0261717,11.0
7,1471,150.6628667,-34.02621,11.1
8,1475,150.6628583,-34.02625,11.3
9,1479,150.66285,-34.0262883,10.9
10,1483,150.6628417,-34.0263267,11.1
11,1487,150.6628333,-34.0263617,12.1
12,1491,150.6628283,-34.0263933,12.0
13,1495,150.6628217,-34.0264217,12.2
14,1499,150.6628167,-34.0264433,12.3
15,1503,150.66281,-34.026465,12.4
16,1507,150.6628033,-34.0264867,12.0
17,1511,150.6627967,-34.0265083,11.9
18,1515,150.6627917,-34.02653,12.1
19,1519,150.6627867,-34.0265517,11.7
20,1523,150.6627783,-34.0265717,11.5
21,1527,150.6627633,-34.026585,11.9275
22,1531,150.6627433,-34.02659,11.92
23,1535,150.662725,-34.0265833,11.895
24,1539,150.662715,-34.02657,11.86
25,1543,150.6627133,-34.0265533,11.825
26,1547,150.6627167,-34.0265367,11.7875
27,1551,150.6627217,-34.0265183,11.775
28,1555,150.6627267,-34.0264983,11.7675
29,1559,150.6627317,-34.0264783,11.78
30,1563,150.6627367,-34.0264583,11.8025
31,1567,150.6627417,-34.0264367,11.8225
32,1571,150.6627467,-34.0264133,11.8275
33,1575,150.6627533,-34.0263917,11.8425
34,1579,150.6627583,-34.02637,11.8525
35,1583,150.6627633,-34.0263483,11.8525
36,1587,150.6627683,-34.0263267,11.845
37,1591,150.662775,-34.0263067,11.8475
38,1595,150.66278,-34.026285,11.8475
39,1599,150.6627867,-34.0262617,11.85
40,1603,150.6627917,-34.02624,11.8625
41,1607,150.6627967,-34.0262183,11.8975
42,1611,150.6628033,-34.0261967,11.95
43,1615,150.6628083,-34.026175,11.9875
44,1619,150.6628133,-34.0261517,12.0175
45,1623,150.6628183,-34.0261283,12.045
46,1627,150.662825,-34.0261067,12.0575
47,1631,150.6628317,-34.0260833,12.0625
48,1635,150.6628383,-34.0260617,12.055
49,1639,150.662845,-34.0260383,12.015
50,1643,150.66285,-34.0260167,11.975
51,1647,150.6628583,-34.025995,11.9425
52,1651,150.662865,-34.025975,11.895
53,1655,150.6628683,-34.025955,11.8175
54,1659,150.6628633,-34.0259367,11.7375
55,1663,150.66285,-34.0259233,11.645
56,1667,150.66283,-34.0259183,11.565
57,1671,150.66281,-34.02592,11.5125
58,1675,150.6627933,-34.02593,11.4675
59,1679,150.662785,-34.025945,11.4375
60,1683,150.66278,-34.0259633,11.4275
61,1687,150.6627767,-34.0259817,11.4325
62,1691,150.6627733,-34.026,11.4475
63,1695,150.66277,-34.0260183,11.475
64,1699,150.6627667,-34.0260367,11.5075
65,1703,150.6627633,-34.026055,11.5525
66,1707,150.6627617,-34.026075,11.615
67,1711,150.66276,-34.0260933,11.66
68,1715,150.6627567,-34.0261133,11.705
69,1719,150.6627517,-34.0261317,11.715
70,1723,150.6627483,-34.0261517,11.745
71,1727,150.6627433,-34.0261717,11.7675
72,1731,150.66274,-34.0261917,11.7825
73,1735,150.6627367,-34.0262117,11.78
74,1739,150.6627333,-34.0262317,11.7625
75,1743,150.66273,-34.0262517,11.74
76,1747,150.6627267,-34.0262733,11.7175
77,1751,150.6627233,-34.0262933,11.7075
78,1755,150.6627183,-34.026315,11.715
79,1759,150.6627133,-34.026335,11.715
80,1763,150.6627083,-34.0263567,11.7175
81,1767,150.662705,-34.0263783,11.7125
82,1771,150.6627,-34.0264,11.71
83,1775,150.662695,-34.02642,11.71
84,1779,150.66269,-34.0264417,11.7175
85,1783,150.662685,-34.0264633,11.7375
86,1787,150.66268,-34.0264833,11.755
87,1791,150.6626767,-34.0265033,11.76
88,1795,150.6626717,-34.0265233,11.765
89,1799,150.6626667,-34.0265417,11.7525
90,1803,150.662655,-34.026555,11.73
91,1807,150.6626367,-34.0265583,11.6975
92,1811,150.6626217,-34.0265533,11.68
93,1815,150.6626117,-34.02654,11.6725
94,1819,150.6626117,-34.0265267,11.6725
95,1823,150.6626167,-34.0265117,11.675
96,1827,150.6626217,-34.0264967,11.67
97,1831,150.6626283,-34.02648,11.6675
98,1835,150.6626333,-34.026465,11.675
99,1839,150.66264,-34.0264483,11.6975
100,1843,150.6626467,-34.0264317,11.7225
101,1847,150.6626517,-34.026415,11.7425
102,1851,150.6626583,-34.0263967,11.76
103,1855,150.662665,-34.0263767,11.77
104,1859,150.6626717,-34.0263567,11.78
105,1863,150.6626783,-34.0263367,11.785
106,1867,150.662685,-34.0263167,11.785
107,1871,150.6626917,-34.0262967,11.785
108,1875,150.6626967,-34.026275,11.775
109,1879,150.6627017,-34.0262533,11.7675
110,1883,150.6627083,-34.0262317,11.7475
111,1887,150.6627133,-34.0262083,11.73
112,1891,150.6627183,-34.0261867,11.7125
113,1895,150.6627233,-34.0261633,11.7075
114,1899,150.6627267,-34.02614,11.7225
115,1903,150.6627333,-34.0261167,11.745
116,1907,150.6627383,-34.0260933,11.7675
117,1911,150.6627433,-34.0260683,11.765
118,1915,150.66275,-34.026045,11.74
119,1919,150.6627567,-34.0260217,11.715
120,1923,150.6627617,-34.026,11.68
121,1927,150.6627683,-34.0259783,11.6125
122,1931,150.662775,-34.0259583,11.55
123,1935,150.6627767,-34.02594,11.4775
124,1939,150.6627683,-34.0259233,11.3975
125,1943,150.6627517,-34.025915,11.3025
126,1947,150.6627317,-34.025915,11.215
127,1951,150.662715,-34.025925,11.15
128,1955,150.6627017,-34.0259383,11.1
129,1959,150.6626967,-34.0259533,11.07
130,1963,150.6626933,-34.0259717,11.065
131,1967,150.66269,-34.0259883,11.095
132,1971,150.6626867,-34.0260067,11.1375
133,1975,150.6626833,-34.026025,11.205
134,1979,150.66268,-34.0260433,11.29
135,1983,150.662675,-34.0260617,11.3825
136,1987,150.6626717,-34.02608,11.46
137,1991,150.6626683,-34.0261,11.51
138,1995,150.6626633,-34.02612,11.555
139,1999,150.66266,-34.02614,11.575
140,2003,150.6626567,-34.02616,11.58
141,2007,150.6626517,-34.02618,11.595
142,2011,150.6626467,-34.0262017,11.58
143,2015,150.6626417,-34.0262233,11.555
144,2019,150.6626383,-34.0262433,11.5225
145,2023,150.6626317,-34.026265,11.505
146,2027,150.6626267,-34.0262867,11.4875
147,2031,150.66262,-34.0263083,11.4875
148,2035,150.662615,-34.02633,11.49
149,2039,150.6626083,-34.0263517,11.505
150,2043,150.6626033,-34.0263733,11.515
151,2047,150.6625983,-34.026395,11.5275
152,2051,150.6625917,-34.0264183,11.5475
153,2055,150.6625867,-34.0264383,11.5575
154,2059,150.66258,-34.02646,11.57
155,2063,150.662575,-34.0264817,11.605
156,2067,150.6625683,-34.0265017,11.57
157,2071,150.6625617,-34.0265217,11.5325
158,2075,150.6625533,-34.02654,11.5025
159,2079,150.662535,-34.0265483,11.4775
160,2083,150.662515,-34.0265483,11.455
161,2087,150.6624983,-34.02654,11.4525
162,2091,150.6624917,-34.026525,11.4475
163,2095,150.662495,-34.0265067,11.46
164,2099,150.6625,-34.02649,11.475
165,2103,150.6625067,-34.0264717,11.505
166,2107,150.6625117,-34.0264517,11.5425
167,2111,150.6625167,-34.0264317,11.57
168,2115,150.6625217,-34.02641,11.605
169,2119,150.6625283,-34.0263867,11.65
170,2123,150.662535,-34.0263633,11.6875
171,2127,150.6625417,-34.0263383,11.7175
172,2131,150.6625467,-34.026315,11.74
173,2135,150.6625533,-34.0262917,11.74
174,2139,150.66256,-34.0262683,11.7225
175,2143,150.6625667,-34.026245,11.6975
176,2147,150.662575,-34.0262217,11.6925
177,2151,150.6625817,-34.0261983,11.71
178,2155,150.6625883,-34.026175,11.7275
179,2159,150.6625967,-34.0261517,11.735
180,2163,150.6626033,-34.02613,11.7375
181,2167,150.66261,-34.0261067,11.7225
182,2171,150.6626183,-34.0260833,11.725
183,2175,150.662625,-34.02606,11.72
184,2179,150.6626333,-34.0260367,11.71
185,2183,150.66264,-34.0260133,11.685
186,2187,150.6626483,-34.0259917,11.64
187,2191,150.662655,-34.0259683,11.5775
188,2195,150.66266,-34.0259483,11.5125
189,2199,150.6626617,-34.0259283,11.44
190,2203,150.66265,-34.0259133,11.365
191,2207,150.6626317,-34.0259067,11.29
192,2211,150.6626133,-34.0259067,11.2125
193,2215,150.662595,-34.025915,11.1425
194,2219,150.6625833,-34.0259283,11.065
195,2223,150.662575,-34.0259433,10.98
196,2227,150.6625717,-34.0259617,10.9775
197,2231,150.6625683,-34.0259783,11.0025
198,2235,150.662565,-34.025995,11.045
199,2239,150.6625617,-34.0260133,11.105
200,2243,150.66256,-34.0260333,11.18
201,2247,150.6625567,-34.0260517,11.2525
202,2251,150.6625533,-34.0260717,11.3425
203,2255,150.66255,-34.02609,11.4025
204,2259,150.6625467,-34.02611,11.465
205,2263,150.6625433,-34.02613,11.52
206,2267,150.6625383,-34.02615,11.545
207,2271,150.662535,-34.0261717,11.52
208,2275,150.66253,-34.0261933,11.55
209,2279,150.6625267,-34.026215,11.5525
210,2283,150.6625217,-34.0262367,11.55
211,2287,150.6625167,-34.0262583,11.53
212,2291,150.6625117,-34.02628,11.53
213,2295,150.6625067,-34.0263017,11.5275
214,2299,150.6625017,-34.0263233,11.525
215,2303,150.6624967,-34.026345,11.525
216,2307,150.6624917,-34.0263683,11.5225
217,2311,150.6624867,-34.02639,11.5075
218,2315,150.6624817,-34.0264117,11.5025
219,2319,150.6624767,-34.0264333,11.5225
220,2323,150.6624733,-34.026455,11.5525
221,2327,150.6624683,-34.026475,11.5775
222,2331,150.662465,-34.026495,11.595
223,2335,150.66246,-34.026515,11.6125
224,2339,150.6624533,-34.0265317,11.615
225,2343,150.66244,-34.026545,11.6175
226,2347,150.66242,-34.0265467,11.62
227,2351,150.6624033,-34.02654,11.62
228,2355,150.662395,-34.0265267,11.6225
229,2359,150.6623933,-34.02651,11.625
230,2363,150.6623967,-34.026495,11.62
231,2367,150.6624017,-34.0264767,11.6275
232,2371,150.6624067,-34.0264583,11.635
233,2375,150.6624117,-34.02644,11.6475
234,2379,150.6624167,-34.0264217,11.6675
235,2383,150.6624217,-34.0264017,11.6875
236,2387,150.6624267,-34.02638,11.7075
237,2391,150.6624317,-34.0263583,11.7325
238,2395,150.6624367,-34.0263367,11.745
239,2399,150.6624417,-34.0263133,11.7475
240,2403,150.6624483,-34.0262917,11.75
241,2407,150.6624533,-34.02627,11.7525
242,2411,150.6624583,-34.0262467,11.7375
243,2415,150.662465,-34.026225,11.745
244,2419,150.66247,-34.0262033,11.805
245,2423,150.6624767,-34.02618,11.915
246,2427,150.6624817,-34.0261583,11.935
247,2431,150.6624883,-34.0261367,12.005
248,2435,150.6624933,-34.026115,12.0175
249,2439,150.6625,-34.0260933,12.0425
250,2443,150.662505,-34.0260717,12.0575
251,2447,150.6625117,-34.02605,12.075
252,2451,150.6625167,-34.0260283,12.055
253,2455,150.6625217,-34.0260067,12.0325
254,2459,150.6625267,-34.025985,12.005
255,2463,150.6625317,-34.025965,11.97
256,2467,150.6625383,-34.0259433,11.935
257,2471,150.662545,-34.0259233,11.895
258,2475,150.6625483,-34.025905,11.8375
259,2479,150.6625467,-34.0258867,11.765
260,2483,150.662535,-34.0258733,11.6875
261,2487,150.662515,-34.0258683,11.6125
262,2491,150.662495,-34.0258717,11.56
263,2495,150.66248,-34.0258833,11.5325
264,2499,150.6624683,-34.0258967,11.54
265,2503,150.6624633,-34.0259133,11.555
266,2507,150.6624583,-34.02593,11.5925
267,2511,150.6624533,-34.0259483,11.6625
268,2515,150.6624483,-34.025965,11.75
269,2519,150.662445,-34.0259833,11.845
270,2523,150.6624417,-34.0260017,11.955
271,2527,150.6624367,-34.02602,12.055
272,2531,150.6624333,-34.02604,12.155
273,2535,150.66243,-34.02606,12.24
274,2539,150.662425,-34.0260783,12.3025
275,2543,150.6624217,-34.0260983,12.3525
276,2547,150.6624183,-34.0261183,12.4025
277,2551,150.662415,-34.02614,12.3975
278,2555,150.6624117,-34.02616,12.3675
279,2559,150.6624067,-34.0261817,12.3325
280,2563,150.6624017,-34.0262033,12.28
281,2567,150.6623967,-34.026225,12.2275
282,2571,150.6623917,-34.026245,12.1975
283,2575,150.662385,-34.0262683,12.195
284,2579,150.6623783,-34.02629,12.1575
285,2583,150.6623733,-34.0263117,12.0775
286,2587,150.6623667,-34.026335,12.115
287,2591,150.66236,-34.0263567,12.17
288,2595,150.662355,-34.0263783,12.235
289,2599,150.6623483,-34.0263983,12.2875
290,2603,150.6623433,-34.0264217,12.35
291,2607,150.6623383,-34.0264433,12.415
292,2611,150.662335,-34.0264633,12.485
293,2615,150.66233,-34.0264833,12.5375
294,2619,150.6623217,-34.0265,12.5925
295,2623,150.662305,-34.0265083,12.6175
296,2627,150.6622883,-34.0265067,12.63
297,2631,150.662275,-34.0264983,12.6425
298,2635,150.6622683,-34.026485,12.6475
299,2639,150.6622683,-34.0264683,12.6525
300,2643,150.6622733,-34.0264517,12.6825
301,2647,150.66228,-34.026435,12.7
302,2651,150.6622867,-34.0264167,12.7
303,2655,150.6622917,-34.0263967,12.7
304,2659,150.6622983,-34.0263767,12.7175
305,2663,150.662305,-34.0263567,12.7175
306,2667,150.6623117,-34.026335,12.7125
307,2671,150.6623183,-34.026315,12.7
308,2675,150.662325,-34.026295,12.6775
309,2679,150.66233,-34.0262733,12.6625
310,2683,150.6623367,-34.0262533,12.645
311,2687,150.6623433,-34.0262333,12.6275
312,2691,150.6623483,-34.0262117,12.61
313,2695,150.662355,-34.0261917,12.605
314,2699,150.6623617,-34.02617,12.6225
315,2703,150.6623667,-34.02615,12.645
316,2707,150.6623733,-34.0261283,12.67
317,2711,150.66238,-34.0261083,12.7375
318,2715,150.6623867,-34.0260867,12.8125
319,2719,150.6623917,-34.0260667,12.8825
320,2723,150.6623983,-34.026045,12.95
321,2727,150.662405,-34.0260267,13.0275
322,2731,150.66241,-34.026005,13.08
323,2735,150.662415,-34.0259867,13.0975
324,2739,150.66242,-34.0259683,13.085
325,2743,150.6624267,-34.02595,13.045
326,2747,150.6624333,-34.0259317,12.9975
327,2751,150.66244,-34.0259133,12.93
328,2755,150.662445,-34.0258967,12.8325
329,2759,150.66245,-34.0258817,12.75
330,2763,150.66245,-34.0258667,12.66
331,2767,150.6624417,-34.0258533,12.575
332,2771,150.6624283,-34.025845,12.4925
333,2775,150.66241,-34.0258433,12.4375
334,2779,150.6623933,-34.0258483,12.4025
335,2783,150.66238,-34.0258583,12.41
336,2787,150.6623717,-34.0258717,12.46
337,2791,150.662365,-34.0258867,12.54
338,2795,150.6623617,-34.0259033,12.6475
339,2799,150.6623567,-34.02592,12.7575
340,2803,150.6623533,-34.0259383,12.865
341,2807,150.6623483,-34.025955,12.995
342,2811,150.6623433,-34.0259733,13.1275
343,2815,150.66234,-34.0259933,13.255
344,2819,150.662335,-34.0260117,13.3425
345,2823,150.66233,-34.02603,13.4275
346,2827,150.6623233,-34.02605,13.5025
347,2831,150.6623167,-34.02607,13.5525
348,2835,150.6623117,-34.02609,13.575
349,2839,150.662305,-34.0261117,13.5775
350,2843,150.6623,-34.0261317,13.5725
351,2847,150.662295,-34.0261533,13.5825
352,2851,150.6622883,-34.026175,13.59
353,2855,150.6622833,-34.0261983,13.62
354,2859,150.662275,-34.02622,13.6525
355,2863,150.66227,-34.0262417,13.695
356,2867,150.6622633,-34.026265,13.73
357,2871,150.6622567,-34.0262867,13.76
358,2875,150.6622517,-34.0263083,13.815
359,2879,150.662245,-34.02633,13.86
360,2883,150.66224,-34.0263517,13.905
361,2887,150.662235,-34.0263717,13.9275
362,2891,150.66223,-34.02639,13.95
363,2895,150.6622233,-34.0264083,13.945
364,2899,150.6622117,-34.02642,13.9475
365,2903,150.6621933,-34.0264233,13.955
366,2907,150.66218,-34.0264183,13.955
367,2911,150.66217,-34.0264083,13.9425
368,2915,150.6621667,-34.0263933,13.9425
369,2919,150.6621667,-34.0263783,13.9675
370,2923,150.66217,-34.0263617,14.0375
371,2927,150.662175,-34.0263417,14.105
372,2931,150.66218,-34.0263217,14.175
373,2935,150.662185,-34.0263017,14.2425
374,2939,150.6621917,-34.02628,14.2925
375,2943,150.6621967,-34.0262583,14.3375
376,2947,150.6622033,-34.0262367,14.3575
377,2951,150.66221,-34.0262133,14.3625
378,2955,150.6622167,-34.0261917,14.37
379,2959,150.662225,-34.02617,14.405
380,2963,150.6622317,-34.0261467,14.4375
381,2967,150.6622383,-34.0261233,14.4675
382,2971,150.662245,-34.0261,14.51
383,2975,150.6622533,-34.0260783,14.545
384,2979,150.66226,-34.026055,14.5825
385,2983,150.6622683,-34.0260333,14.6325
386,2987,150.662275,-34.02601,14.675
387,2991,150.6622817,-34.0259867,14.7275
388,2995,150.6622883,-34.025965,14.795
389,2999,150.662295,-34.0259417,14.8675
390,3003,150.6623017,-34.02592,14.9375
391,3007,150.6623083,-34.0258967,14.9775
392,3011,150.6623133,-34.0258767,15.005
393,3015,150.66232,-34.0258567,14.9975
394,3019,150.662325,-34.0258383,14.9725
395,3023,150.6623267,-34.0258217,14.92
396,3027,150.6623217,-34.0258067,14.855
397,3031,150.6623083,-34.0257967,14.7825
398,3035,150.6622917,-34.0257933,14.6875
399,3039,150.662275,-34.0257967,14.595
400,3043,150.6622617,-34.0258067,14.5175
401,3047,150.6622533,-34.0258183,14.465
402,3051,150.6622467,-34.0258333,14.435
403,3055,150.6622417,-34.0258467,14.45
404,3059,150.6622383,-34.0258617,14.4675
405,3063,150.6622333,-34.0258767,14.5075
406,3067,150.66223,-34.0258917,14.5675
407,3071,150.6622267,-34.0259067,14.6475
408,3075,150.6622217,-34.0259217,14.745
409,3079,150.6622167,-34.0259367,14.825
410,3083,150.6622117,-34.0259517,14.865
411,3087,150.6622083,-34.0259667,14.91
412,3091,150.662205,-34.0259833,14.9575
