,Time,Lon,Lat,Reading
0,305,150.6629133,-34.0260267,0.06400001
1,307,150.6628967,-34.0260983,0.0631
2,309,150.66288,-34.02617,0.0705
3,312,150.662855,-34.0262767,0.0707
4,314,150.6628417,-34.0263417,0.0723
5,316,150.662825,-34.0264,0.0657
6,319,150.6628033,-34.02648,0.0709
7,321,150.6627917,-34.026525,0.0696
8,323,150.6627833,-34.0265567,0.0655
9,326,150.6627733,-34.0265867,0.0722
10,328,150.66276,-34.0266067,0.0657
11,331,150.6627233,-34.0266167,0.06924
12,333,150.6627067,-34.0265983,0.069565
13,335,150.66271,-34.026575,0.06966
14,338,150.66272,-34.02653,0.0694
15,340,150.66273,-34.0264933,0.06979
16,342,150.66274,-34.0264533,0.069785
17,345,150.6627583,-34.0263883,0.069885
18,347,150.66277,-34.026345,0.07014
19,349,150.6627817,-34.0262983,0.070515
20,352,150.6627983,-34.0262283,0.07068
21,354,150.6628117,-34.02618,0.07095
22,356,150.6628233,-34.0261317,0.071385
23,359,150.6628433,-34.0260617,0.07155
24,361,150.6628567,-34.0260167,0.072045
25,363,150.6628683,-34.025975,0.07185
26,367,150.6628283,-34.0259317,0.0719
27,369,150.662795,-34.0259483,0.071725
28,371,150.66278,-34.025985,0.07161
29,374,150.6627667,-34.0260467,0.07157
30,376,150.66276,-34.0260883,0.07144
31,378,150.6627533,-34.0261317,0.071745
32,381,150.66274,-34.0261967,0.0717
33,383,150.6627317,-34.02624,0.071745
34,385,150.662725,-34.0262817,0.07216
35,388,150.6627133,-34.0263433,0.071845
36,390,150.6627033,-34.026385,0.072355
37,393,150.6626883,-34.0264467,0.07225
38,395,150.6626833,-34.0264833,0.071945
39,397,150.662675,-34.0265183,0.071565
40,400,150.6626367,-34.0265467,0.071155
41,402,150.66261,-34.026535,0.071145
42,404,150.66261,-34.02651,0.07099
43,407,150.66263,-34.0264783,0.071165
44,409,150.6626367,-34.026455,0.0713349995
45,411,150.662645,-34.0264283,0.0715449995
46,414,150.6626583,-34.02638,0.0714199995
47,416,150.66267,-34.026345,0.0711249995
48,418,150.66268,-34.0263083,0.0714099995
49,421,150.6627,-34.0262533,0.0711999995
50,423,150.6627117,-34.026215,0.0713749995
51,425,150.66272,-34.0261767,0.0713999995
52,428,150.6627317,-34.0261167,0.0715499995
53,430,150.6627417,-34.0260783,0.0716549995
54,433,150.6627567,-34.0260267,0.0717149995
55,435,150.6627667,-34.0259933,0.0718049995
56,437,150.6627717,-34.02596,0.0719949995
57,439,150.6627617,-34.0259333,0.0723349995
58,442,150.662715,-34.0259267,0.0727199995
59,444,150.6627,-34.0259533,0.0731499995
60,447,150.66269,-34.0260017,0.0734999995
61,449,150.6626817,-34.0260383,0.0737199995
62,451,150.6626767,-34.026075,0.0740249995
63,454,150.6626633,-34.0261333,0.0741899995
64,456,150.662655,-34.026175,0.07425
65,458,150.662645,-34.0262167,0.07434
66,461,150.66263,-34.02628,0.07473
67,463,150.6626183,-34.0263233,0.07535
68,465,150.6626067,-34.0263667,0.075355
69,468,150.66259,-34.02643,0.07579
70,470,150.6625783,-34.02647,0.07596
71,472,150.6625667,-34.0265083,0.07601
72,475,150.6625267,-34.02655,0.076355
73,477,150.6624967,-34.0265383,0.07632
74,479,150.662495,-34.0265083,0.0759949995
75,482,150.6625133,-34.02646,0.0761199995
76,484,150.6625217,-34.0264233,0.07587
77,487,150.6625367,-34.026365,0.075895
78,489,150.6625467,-34.026325,0.075955
79,491,150.6625583,-34.026285,0.07612
80,493,150.66257,-34.026245,0.076255
81,496,150.6625917,-34.0261817,0.076205
82,498,150.662605,-34.0261383,0.07591
83,501,150.662625,-34.0260733,0.075705
84,503,150.66264,-34.0260317,0.075835
85,505,150.6626533,-34.0259933,0.07594
86,508,150.662655,-34.0259367,0.0761999995
87,510,150.662625,-34.0259167,0.0761399995
88,512,150.6625883,-34.02593,0.0764099995
89,515,150.66257,-34.02598,0.0762849995
90,517,150.6625633,-34.0260167,0.0764099995
91,519,150.6625567,-34.0260533,0.0763999995
92,522,150.662545,-34.02611,0.0762799995
93,524,150.6625383,-34.02615,0.0763699995
94,527,150.6625267,-34.02621,0.076865
95,530,150.662515,-34.0262733,0.07641
96,532,150.6625033,-34.0263133,0.0765249995
97,534,150.662495,-34.026355,0.0762699995
98,536,150.662485,-34.0263967,0.0762649995
99,538,150.6624767,-34.0264383,0.0763499995
100,540,150.6624683,-34.0264783,0.076694999
101,543,150.662445,-34.02653,0.076569999
102,545,150.66241,-34.026535,0.076689999
103,548,150.6624,-34.0264867,0.076899999
104,550,150.6624117,-34.0264483,0.076519999
105,552,150.662425,-34.0264033,0.076679999
106,555,150.6624417,-34.02633,0.0761549995
107,557,150.6624533,-34.0262817,0.0760899995
108,559,150.6624667,-34.026235,0.0762099995
109,562,150.6624833,-34.026165,0.0762599995
110,564,150.662495,-34.02612,0.0763549995
111,566,150.6625083,-34.0260717,0.0765299995
112,569,150.6625267,-34.026,0.0765799995
113,571,150.66254,-34.0259533,0.0766499995
114,574,150.6625417,-34.0258933,0.0764399995
115,576,150.662505,-34.025875,0.0769549995
116,578,150.66247,-34.0259,0.0770349995
117,581,150.6624517,-34.02596,0.0773649995
118,583,150.6624417,-34.0260017,0.0775349995
119,585,150.662435,-34.0260433,0.0774299995
120,588,150.6624217,-34.026105,0.07738
121,590,150.662415,-34.0261467,0.0778500005
122,592,150.662405,-34.02619,0.0781000005
123,595,150.66239,-34.0262517,0.0782050005
124,597,150.6623783,-34.026295,0.078635001
125,599,150.6623667,-34.0263383,0.078625001
126,602,150.6623483,-34.0264017,0.078895001
127,604,150.6623383,-34.0264433,0.078830001
128,606,150.66233,-34.02648,0.078635001
129,609,150.66229,-34.0264983,0.078465001
130,611,150.6622733,-34.0264733,0.078435001
131,613,150.6622817,-34.02644,0.078590001
132,616,150.6623017,-34.0263817,0.078565001
133,618,150.662315,-34.0263383,0.078440001
134,620,150.6623283,-34.0262933,0.078935001
135,623,150.6623467,-34.026225,0.078740001
136,625,150.6623617,-34.0261783,0.078795001
137,627,150.662375,-34.0261333,0.078755001
138,630,150.662395,-34.026065,0.078860001
139,632,150.6624083,-34.0260217,0.079175001
140,635,150.6624267,-34.0259583,0.078685001
141,637,150.6624417,-34.0259183,0.0789150005
142,639,150.6624483,-34.02588,0.079175
143,642,150.66241,-34.0258483,0.079175
144,644,150.6623767,-34.0258667,0.079215
145,646,150.6623633,-34.0259,0.0794499995
146,649,150.6623483,-34.025955,0.0796999995
147,651,150.6623383,-34.025995,0.0800149995
148,653,150.6623267,-34.0260317,0.0801299995
149,656,150.66231,-34.0260917,0.0802099995
150,658,150.6622983,-34.0261317,0.0800299995
151,660,150.6622883,-34.0261733,0.0796199995
152,663,150.6622733,-34.0262317,0.0796749995
153,665,150.6622617,-34.02627,0.0800299995
154,667,150.6622517,-34.0263083,0.0798749995
155,670,150.6622383,-34.0263667,0.0803599995
156,672,150.6622217,-34.0263967,0.0801699995
157,674,150.6621883,-34.0263983,0.0802149995
158,677,150.662175,-34.0263567,0.0799399995
159,679,150.6621833,-34.0263217,0.0793249995
160,682,150.6621983,-34.0262667,0.0791749995
161,684,150.66221,-34.0262283,0.0786949995
162,686,150.66222,-34.0261917,0.07819
163,688,150.6622317,-34.0261517,0.078065
164,691,150.6622517,-34.02609,0.07831
165,693,150.662265,-34.0260483,0.0780350005
166,696,150.662285,-34.0259867,0.0779700005
167,698,150.6622983,-34.0259467,0.0778350005
168,700,150.66231,-34.0259067,0.0774700005
169,703,150.662325,-34.0258483,0.0772200005
170,704,150.6623217,-34.02583,0.0767850005
171,706,150.6622883,-34.0258117,0.0769250005
172,709,150.6622467,-34.025845,0.0768100005
173,711,150.6622333,-34.02588,0.0763650005
174,713,150.6622233,-34.025915,0.0762350005
175,716,150.6622067,-34.02597,0.0759150005
176,718,150.6621983,-34.0260083,0.0762000005
177,720,150.6621917,-34.0260433,0.0761400005
178,723,150.6621817,-34.0261,0.075975001
179,725,150.6621733,-34.0261367,0.076375001
180,727,150.662165,-34.026175,0.076625001
181,730,150.6621517,-34.0262333,0.076405001
182,732,150.6621433,-34.0262733,0.076490001
183,734,150.662125,-34.0263033,0.076330001
184,737,150.6620783,-34.02629,0.0758550005
185,739,150.66208,-34.0262583,0.0760750005
186,742,150.6620967,-34.0262067,0.0757550005
187,745,150.6621117,-34.0261517,0.0761150005
188,747,150.6621217,-34.0261133,0.076325
189,750,150.6621367,-34.026055,0.0768649995
190,752,150.6621483,-34.0260167,0.0773549995
191,754,150.66216,-34.0259767,0.0773949995
192,757,150.662175,-34.0259183,0.0776749995
193,759,150.662185,-34.0258783,0.07801
194,761,150.6621933,-34.0258417,0.0781850005
195,764,150.6621733,-34.025795,0.0781750005
196,766,150.6621333,-34.0258017,0.0781000005
197,768,150.6621167,-34.025835,0.0782950005
198,771,150.6621,-34.02589,0.07863
199,773,150.6620917,-34.02593,0.07869
200,775,150.6620833,-34.02597,0.078745
201,778,150.6620683,-34.0260317,0.07877
202,780,150.6620583,-34.026075,0.078645
203,783,150.662045,-34.0261383,0.078705
204,785,150.6620367,-34.0261783,0.07868
205,787,150.6620217,-34.0262167,0.07876
206,790,150.6619683,-34.02621,0.078775
207,792,150.6619683,-34.026175,0.07861
208,794,150.66198,-34.0261383,0.0801
209,797,150.6619917,-34.0260783,0.0762
210,799,150.6620017,-34.0260383,0.0723
211,801,150.6620117,-34.0259967,0.0726
212,804,150.6620267,-34.0259367,0.0754
213,806,150.6620383,-34.025895,0.0769
214,808,150.6620433,-34.0258567,0.0827
215,811,150.6620583,-34.0258,0.0747
216,813,150.6620933,-34.02578,0.0827
217,815,150.662135,-34.025785,0.0736
