,Time,Lon,Lat,Reading
0,0,150.6638183,-34.02221,0.0585
1,2,150.6638,-34.0222083,0.0614
2,4,150.6637967,-34.0222067,0.0603
3,7,150.6637767,-34.0222033,0.0557
4,9,150.66376,-34.0222,0.0539
5,11,150.6637417,-34.0221967,0.0634
6,14,150.6637117,-34.0221833,0.0646
7,16,150.663685,-34.022175,0.0627
8,18,150.6636533,-34.0221683,0.06
9,21,150.6635983,-34.0221567,0.0577
10,23,150.66356,-34.0221483,0.0615
11,25,150.6635183,-34.02214,0.0547
12,28,150.6634583,-34.0221283,0.0521
13,30,150.663415,-34.02212,0.0597
14,32,150.6633733,-34.0221083,0.0506
15,35,150.6633117,-34.022095,0.0628
16,37,150.6632717,-34.02209,0.069
17,39,150.66323,-34.0220867,0.0613
18,42,150.663165,-34.0220783,0.0631
19,44,150.6631217,-34.0220717,0.0641
20,46,150.6630817,-34.022065,0.0646
21,49,150.663025,-34.022055,0.0664
22,51,150.6629967,-34.0220433,0.0585
23,53,150.6629867,-34.02203,0.0635
24,56,150.6629917,-34.02201,0.0564
25,58,150.663005,-34.022,0.0561
26,61,150.6630333,-34.0220033,0.0521
27,63,150.663055,-34.02201,0.0539
28,65,150.6630833,-34.022015,0.0621
29,68,150.6631417,-34.0220267,0.0619
30,70,150.663185,-34.022035,0.0693
31,72,150.6632283,-34.022045,0.06620001
32,75,150.6632967,-34.0220617,0.0634
33,77,150.6633433,-34.02207,0.0635
34,79,150.66339,-34.02208,0.0569
35,82,150.6634567,-34.0220917,0.0584
36,84,150.6635,-34.0221033,0.0574
37,86,150.6635433,-34.0221133,0.05809999
38,89,150.6636083,-34.0221267,0.0545
39,91,150.6636517,-34.022135,0.0651
40,93,150.6636917,-34.0221433,0.0648
41,96,150.6637483,-34.0221583,0.0618
42,98,150.6637817,-34.0221667,0.0613
43,100,150.6638083,-34.0221567,0.0558
44,103,150.6638133,-34.0221233,0.0552
45,105,150.6637917,-34.0221083,0.0573
46,107,150.6637617,-34.0221,0.0598
47,110,150.663705,-34.0220867,0.0597
48,113,150.6636367,-34.0220717,0.0601
49,115,150.66359,-34.0220633,0.0618
50,117,150.6635417,-34.0220533,0.06599999
51,119,150.663495,-34.022045,0.0619
52,122,150.663425,-34.0220317,0.0618
53,124,150.6633783,-34.02202,0.0618
54,126,150.6633317,-34.02201,0.0586
55,129,150.6632617,-34.021995,0.0603
56,131,150.663215,-34.021985,0.0618
57,133,150.6631683,-34.0219767,0.0639
58,136,150.6631067,-34.021965,0.0679
59,138,150.6630683,-34.0219583,0.0622
60,140,150.6630367,-34.0219483,0.0652
61,143,150.6630233,-34.0219233,0.0622
62,145,150.663035,-34.021905,0.0567
63,147,150.6630617,-34.0219,0.0638
64,150,150.6631083,-34.02192,0.0608
65,152,150.6631467,-34.0219317,0.061
66,154,150.6631867,-34.0219417,0.0683
67,157,150.6632467,-34.0219533,0.0611
68,160,150.6633083,-34.0219667,0.0694
69,161,150.6633283,-34.02197,0.0642
70,164,150.6633917,-34.0219817,0.0623
71,166,150.663435,-34.0219917,0.0676
72,169,150.6635033,-34.022005,0.07
73,171,150.6635483,-34.022015,0.0634
74,173,150.6635917,-34.022025,0.0629
75,176,150.663655,-34.0220383,0.0634
76,178,150.6636983,-34.0220467,0.0629
77,180,150.6637433,-34.022055,0.0572
78,183,150.6638133,-34.0220667,0.0623
79,185,150.6638567,-34.02208,0.0663
80,187,150.663885,-34.0221,0.0573
81,190,150.663905,-34.022155,0.0611
82,192,150.6638933,-34.0222033,0.0611
83,194,150.6638817,-34.0222583,0.0588
84,197,150.66386,-34.0223517,0.0611
85,199,150.6638417,-34.0224167,0.0658
86,201,150.6638233,-34.0224817,0.0648
87,204,150.6637967,-34.0225817,0.0678
88,207,150.6637733,-34.0226783,0.0663
89,209,150.6637583,-34.0227433,0.0629
90,212,150.6637367,-34.022835,0.0569
91,214,150.6637233,-34.0228967,0.0554
92,216,150.6637117,-34.0229567,0.0567
93,219,150.6636917,-34.0230383,0.0618
94,221,150.66368,-34.0231,0.0587
95,224,150.6636533,-34.0231933,0.0594
96,226,150.6636367,-34.0232533,0.0658
97,228,150.66362,-34.0233167,0.0678
98,231,150.663595,-34.02341,0.0675
99,233,150.6635767,-34.0234717,0.0642
100,235,150.6635567,-34.0235333,0.0692
101,238,150.663525,-34.0236267,0.0657
102,240,150.6635067,-34.02369,0.06620001
103,242,150.6634883,-34.0237533,0.0622
104,245,150.6634633,-34.0238467,0.067
105,247,150.66345,-34.02391,0.0652
106,249,150.663435,-34.0239733,0.0611
107,252,150.66341,-34.0240767,0.06849999
108,254,150.6633917,-34.0241483,0.0699
109,256,150.6633733,-34.0242183,0.0652
110,259,150.6633467,-34.024325,0.0655
111,261,150.6633283,-34.0243967,0.0702
112,263,150.66331,-34.0244683,0.067
113,266,150.6632817,-34.0245767,0.0687
114,268,150.66326,-34.0246467,0.0633
115,270,150.66324,-34.0247183,0.0624
116,272,150.6632217,-34.0247883,0.0663
117,274,150.6632033,-34.02486,0.0641
118,277,150.6631733,-34.02497,0.0621
119,279,150.66315,-34.0250433,0.06490001
120,281,150.663135,-34.0251183,0.0646
121,284,150.6631083,-34.0252317,0.0684
122,286,150.6630917,-34.02531,0.06599999
123,288,150.6630683,-34.0253867,0.0663
124,291,150.66304,-34.0255017,0.0664
125,293,150.6630217,-34.0255783,0.0677
126,295,150.6630017,-34.0256533,0.0609
127,298,150.662975,-34.0257683,0.0659
128,300,150.6629567,-34.025845,0.0681
129,302,150.66294,-34.0259183,0.0596
130,305,150.6629133,-34.0260267,0.06400001
131,307,150.6628967,-34.0260983,0.0631
132,309,150.66288,-34.02617,0.0705
133,312,150.662855,-34.0262767,0.0707
134,314,150.6628417,-34.0263417,0.0723
135,316,150.662825,-34.0264,0.0657
136,319,150.6628033,-34.02648,0.0709
137,321,150.6627917,-34.026525,0.0696
138,323,150.6627833,-34.0265567,0.0655
139,326,150.6627733,-34.0265867,0.0722
140,328,150.66276,-34.0266067,0.0657
141,331,150.6627233,-34.0266167,0.0651
142,333,150.6627067,-34.0265983,0.0676
143,335,150.66271,-34.026575,0.0631
144,338,150.66272,-34.02653,0.0703
145,340,150.66273,-34.0264933,0.0707
146,342,150.66274,-34.0264533,0.076
147,345,150.6627583,-34.0263883,0.0698
148,347,150.66277,-34.026345,0.0756
149,349,150.6627817,-34.0262983,0.0718
150,352,150.6627983,-34.0262283,0.0686
151,354,150.6628117,-34.02618,0.0696
152,356,150.6628233,-34.0261317,0.0724
153,359,150.6628433,-34.0260617,0.0655
154,361,150.6628567,-34.0260167,0.0801
155,363,150.6628683,-34.025975,0.0656
156,367,150.6628283,-34.0259317,0.0729
157,369,150.662795,-34.0259483,0.0747
158,371,150.66278,-34.025985,0.073
159,374,150.6627667,-34.0260467,0.0755
160,376,150.66276,-34.0260883,0.0711
161,378,150.6627533,-34.0261317,0.0738
162,381,150.66274,-34.0261967,0.0709
163,383,150.6627317,-34.02624,0.073
164,385,150.662725,-34.0262817,0.0664
165,388,150.6627133,-34.0263433,0.0717
166,390,150.6627033,-34.026385,0.0725
167,393,150.6626883,-34.0264467,0.0675
168,395,150.6626833,-34.0264833,0.0748
169,397,150.662675,-34.0265183,0.0692
