DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20171101,25529.06,,,,,,,,,$PDLM1,125531,3.3,0.32,3.5,-0.72,,,,,,,
20171101,25529.06,,,,,,,,,$PDLM2,125531,6.1,0.75,3.6,-1.84,,,,,,,
20171101,25529.07,,,,,,,,,$PDLMA,12.48,26.1,-2.5,4.1,,,,,,,,
20171101,25530,51706,150.6638,-34.0222017,65.24,88.04,0,0,gps,,Time,HCP con,HPC in,PRP con,PRP in,,,,,,,
20171101,25530.06,,,,,,,,,$PDLM1,125532,3.3,0.32,3.5,-0.72,,,,,,,
20171101,25530.06,,,,,,,,,$PDLM2,125532,5.9,0.8,3.8,-1.84,,,,,,,
20171101,25530.07,,,,,,,,,$PDLMA,12.47,26.1,-2.5,4,,,,,,,,
20171101,25531,51706,150.6638,-34.0222017,65.25,88.05,0,0,gps,,,,,,,,,,,,,
20171101,25531.06,,,,,,,,,$PDLM1,125533,3,0.33,3.6,-0.72,,,,,,,
20171101,25531.06,,,,,,,,,$PDLM2,125533,5.9,0.75,3.9,-1.83,,,,,,,
20171101,25531.07,,,,,,,,,$PDLMA,12.45,26.1,-2.5,4.1,,,,,,,,
20171101,25532,51706,150.6638,-34.0222017,65.26,88.06,0,0,gps,,,,,,,,,,,,,
20171101,25532.06,,,,,,,,,$PDLM1,125534,3.7,0.32,3.6,-0.73,,,,,,,
20171101,25532.07,,,,,,,,,$PDLM2,125534,5.8,0.8,3.5,-1.84,,,,,,,
20171101,25532.07,,,,,,,,,$PDLMA,12.48,26.1,-2.5,4,,,,,,,,
20171101,25533,51706,150.6638,-34.0222017,65.28,88.08,0,0,gps,,,,,,,,,,,,,
20171101,25533.06,,,,,,,,,$PDLM1,125535,3.4,0.32,3.7,-0.72,,,,,,,
20171101,25533.07,,,,,,,,,$PDLM2,125535,6,0.77,3.6,-1.83,,,,,,,
20171101,25533.07,,,,,,,,,$PDLMA,12.45,26.1,-2.5,4.1,,,,,,,,
20171101,25534,51706,150.6638,-34.0222017,65.28,88.08,0,0,gps,,,,,,,,,,,,,
20171101,25534.06,,,,,,,,,$PDLM1,125536,3.4,0.32,3.6,-0.72,,,,,,,
20171101,25534.07,,,,,,,,,$PDLM2,125536,6,0.79,3.9,-1.84,,,,,,,
20171101,25534.07,,,,,,,,,$PDLMA,12.48,26.1,-2.5,4,,,,,,,,
20171101,25535,51706,150.6638,-34.0222017,65.29,88.09,0,0,gps,,,,,,,,,,,,,
20171101,25535.04,,,,,,,,,$PDLM1,125537,3.6,0.32,3.4,-0.72,,,,,,,
20171101,25535.06,,,,,,,,,$PDLM2,125537,6,0.77,3.6,-1.87,,,,,,,
20171101,25535.06,,,,,,,,,$PDLMA,12.45,26.1,-2.5,4,,,,,,,,
