,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag
0,3,150.6638,-34.0222017,3.3,5.9,0.32,0.8,3.5,3.8,-0.72,-1.84
1,7,150.6638,-34.0222017,3.0,5.9,0.33,0.75,3.6,3.9,-0.72,-1.83
2,11,150.6638,-34.0222017,3.7,5.8,0.32,0.8,3.6,3.5,-0.73,-1.84
3,15,150.6638,-34.0222017,3.4,6.0,0.32,0.77,3.7,3.6,-0.72,-1.83
4,19,150.6638,-34.0222017,3.4,6.0,0.32,0.79,3.6,3.9,-0.72,-1.84
5,23,150.6638,-34.0222017,3.6,6.0,0.32,0.77,3.4,3.6,-0.72,-1.87
6,27,150.6638,-34.0222017,3.7,6.4,0.33,0.77,3.6,4.0,-0.73,-1.84
7,31,150.6638,-34.0222017,3.7,6.2,0.32,0.76,3.6,4.1,-0.73,-1.85
8,35,150.6638,-34.0222017,3.4,5.9,0.32,0.77,3.7,4.2,-0.72,-1.83
9,39,150.6638,-34.0222017,3.5,6.3,0.32,0.77,3.8,4.0,-0.72,-1.86
10,43,150.6638,-34.0222017,3.5,6.3,0.32,0.77,3.6,4.0,-0.72,-1.83
11,47,150.6638,-34.0222017,3.4,6.1,0.32,0.76,3.6,4.1,-0.72,-1.86
12,51,150.6638,-34.0222017,3.1,6.1,0.32,0.76,3.7,3.7,-0.72,-1.84
13,55,150.6638,-34.0222017,2.9,5.9,0.32,0.77,3.6,3.8,-0.73,-1.86
14,59,150.6638,-34.0222017,3.3,5.8,0.32,0.77,3.6,3.8,-0.72,-1.85
15,63,150.6638,-34.0222017,3.0,6.1,0.32,0.75,3.7,3.8,-0.73,-1.84
16,67,150.6638,-34.0222017,2.9,6.1,0.32,0.79,3.8,4.0,-0.73,-1.86
17,71,150.6638,-34.0222017,3.2,5.8,0.32,0.75,3.8,3.9,-0.73,-1.85
18,75,150.6638,-34.0222017,3.5,6.0,0.32,0.78,3.8,3.7,-0.72,-1.84
19,79,150.6638,-34.0222017,3.5,5.9,0.32,0.78,3.8,3.8,-0.73,-1.85
20,83,150.6638,-34.0222017,3.4,6.1,0.32,0.76,3.6,3.7,-0.73,-1.85
21,87,150.6638,-34.0222017,3.7,6.1,0.32,0.76,3.9,3.9,-0.73,-1.86
22,91,150.6638,-34.0222017,3.2,5.8,0.32,0.76,3.6,3.8,-0.72,-1.84
23,95,150.6638,-34.0222017,3.9,5.9,0.32,0.79,3.6,3.6,-0.73,-1.82
24,99,150.6638,-34.0222017,3.6,5.8,0.32,0.74,3.7,4.0,-0.73,-1.88
25,103,150.6638,-34.0222017,3.7,5.8,0.31,0.78,3.6,3.7,-0.73,-1.83
26,107,150.6638,-34.0222017,3.6,6.2,0.32,0.79,3.4,3.7,-0.72,-1.82
27,111,150.6638,-34.0222017,3.5,6.0,0.31,0.76,3.8,4.1,-0.72,-1.84
28,115,150.6638,-34.0222017,3.6,5.9,0.31,0.77,3.5,4.0,-0.72,-1.82
29,119,150.6638,-34.0222017,3.6,6.1,0.31,0.77,3.6,3.7,-0.72,-1.85
30,123,150.6638,-34.0222017,3.4,6.1,0.31,0.79,3.6,3.7,-0.73,-1.85
31,127,150.6638,-34.0222017,3.1,6.1,0.31,0.8,3.5,3.8,-0.72,-1.85
32,131,150.6638,-34.0222017,3.3,6.3,0.31,0.79,3.7,3.8,-0.72,-1.82
33,135,150.6638,-34.0222017,3.2,6.3,0.32,0.77,3.7,4.1,-0.72,-1.82
34,139,150.6638,-34.0222017,3.1,6.4,0.31,0.78,3.6,4.0,-0.73,-1.85
35,143,150.6638,-34.0222017,2.9,6.2,0.31,0.79,3.8,4.1,-0.73,-1.85
36,147,150.6638,-34.0222017,3.2,6.2,0.32,0.8,3.7,4.0,-0.73,-1.87
37,151,150.6638,-34.0222017,3.4,5.5,0.32,0.78,3.7,3.9,-0.73,-1.86
38,155,150.6638,-34.0222017,3.5,5.9,0.32,0.75,3.4,3.8,-0.72,-1.81
39,159,150.6638,-34.0222017,3.4,6.2,0.32,0.75,3.6,3.7,-0.72,-1.86
40,163,150.6638,-34.0222017,3.6,5.6,0.31,0.76,3.5,3.9,-0.72,-1.82
41,167,150.6638,-34.0222017,3.5,6.4,0.32,0.76,3.6,4.0,-0.72,-1.83
42,171,150.6638,-34.0222017,3.6,6.0,0.32,0.77,3.8,3.7,-0.72,-1.83
43,175,150.6637983,-34.0222,3.7,6.0,0.32,0.79,3.6,4.0,-0.71,-1.82
44,179,150.6637883,-34.0221983,3.8,5.8,0.31,0.77,3.8,3.9,-0.7,-1.82
45,183,150.6637717,-34.022195,3.8,5.4,0.3,0.8,3.5,3.8,-0.69,-1.8
46,187,150.6637567,-34.02219,3.7,6.1,0.33,0.79,3.7,4.0,-0.67,-1.74
47,191,150.66374,-34.022185,3.8,6.2,0.31,0.78,3.7,3.8,-0.68,-1.77
48,195,150.6637233,-34.02218,3.8,6.1,0.3,0.78,3.7,4.0,-0.69,-1.82
49,199,150.6637067,-34.022175,4.0,5.8,0.31,0.78,3.6,4.2,-0.67,-1.83
50,203,150.66369,-34.02217,3.8,5.9,0.33,0.8,3.6,4.2,-0.65,-1.78
51,207,150.66367,-34.0221667,3.7,5.9,0.33,0.76,3.8,3.7,-0.63,-1.76
52,211,150.6636517,-34.0221633,3.7,6.2,0.31,0.76,3.7,4.5,-0.63,-1.77
