,Time,Lon,Lat,Reading1,Reading2,Reading3,Reading4,Reading5,Reading6,Reading7,Reading8,Anal_1_5
0,3,150.6638,-34.0222017,3.3,5.9,0.32,0.8,3.5,3.8,-0.72,-1.84,3.4
1,7,150.6638,-34.0222017,3.0,5.9,0.33,0.75,3.6,3.9,-0.72,-1.83,3.3
2,11,150.6638,-34.0222017,3.7,5.8,0.32,0.8,3.6,3.5,-0.73,-1.84,3.65
3,15,150.6638,-34.0222017,3.4,6.0,0.32,0.77,3.7,3.6,-0.72,-1.83,3.55
4,19,150.6638,-34.0222017,3.4,6.0,0.32,0.79,3.6,3.9,-0.72,-1.84,3.5
5,23,150.6638,-34.0222017,3.6,6.0,0.32,0.77,3.4,3.6,-0.72,-1.87,3.5
6,27,150.6638,-34.0222017,3.7,6.4,0.33,0.77,3.6,4.0,-0.73,-1.84,3.65
7,31,150.6638,-34.0222017,3.7,6.2,0.32,0.76,3.6,4.1,-0.73,-1.85,3.65
8,35,150.6638,-34.0222017,3.4,5.9,0.32,0.77,3.7,4.2,-0.72,-1.83,3.55
9,39,150.6638,-34.0222017,3.5,6.3,0.32,0.77,3.8,4.0,-0.72,-1.86,3.65
10,43,150.6638,-34.0222017,3.5,6.3,0.32,0.77,3.6,4.0,-0.72,-1.83,3.55
11,47,150.6638,-34.0222017,3.4,6.1,0.32,0.76,3.6,4.1,-0.72,-1.86,3.5
12,51,150.6638,-34.0222017,3.1,6.1,0.32,0.76,3.7,3.7,-0.72,-1.84,3.4
13,55,150.6638,-34.0222017,2.9,5.9,0.32,0.77,3.6,3.8,-0.73,-1.86,3.25
14,59,150.6638,-34.0222017,3.3,5.8,0.32,0.77,3.6,3.8,-0.72,-1.85,3.45
15,63,150.6638,-34.0222017,3.0,6.1,0.32,0.75,3.7,3.8,-0.73,-1.84,3.35
16,67,150.6638,-34.0222017,2.9,6.1,0.32,0.79,3.8,4.0,-0.73,-1.86,3.35
17,71,150.6638,-34.0222017,3.2,5.8,0.32,0.75,3.8,3.9,-0.73,-1.85,3.5
18,75,150.6638,-34.0222017,3.5,6.0,0.32,0.78,3.8,3.7,-0.72,-1.84,3.65
19,79,150.6638,-34.0222017,3.5,5.9,0.32,0.78,3.8,3.8,-0.73,-1.85,3.65
20,83,150.6638,-34.0222017,3.4,6.1,0.32,0.76,3.6,3.7,-0.73,-1.85,3.5
21,87,150.6638,-34.0222017,3.7,6.1,0.32,0.76,3.9,3.9,-0.73,-1.86,3.8
22,91,150.6638,-34.0222017,3.2,5.8,0.32,0.76,3.6,3.8,-0.72,-1.84,3.4
23,95,150.6638,-34.0222017,3.9,5.9,0.32,0.79,3.6,3.6,-0.73,-1.82,3.75
24,99,150.6638,-34.0222017,3.6,5.8,0.32,0.74,3.7,4.0,-0.73,-1.88,3.65
25,103,150.6638,-34.0222017,3.7,5.8,0.31,0.78,3.6,3.7,-0.73,-1.83,3.65
26,107,150.6638,-34.0222017,3.6,6.2,0.32,0.79,3.4,3.7,-0.72,-1.82,3.5
27,111,150.6638,-34.0222017,3.5,6.0,0.31,0.76,3.8,4.1,-0.72,-1.84,3.65
28,115,150.6638,-34.0222017,3.6,5.9,0.31,0.77,3.5,4.0,-0.72,-1.82,3.55
29,119,150.6638,-34.0222017,3.6,6.1,0.31,0.77,3.6,3.7,-0.72,-1.85,3.6
30,123,150.6638,-34.0222017,3.4,6.1,0.31,0.79,3.6,3.7,-0.73,-1.85,3.5
31,127,150.6638,-34.0222017,3.1,6.1,0.31,0.8,3.5,3.8,-0.72,-1.85,3.3
32,131,150.6638,-34.0222017,3.3,6.3,0.31,0.79,3.7,3.8,-0.72,-1.82,3.5
33,135,150.6638,-34.0222017,3.2,6.3,0.32,0.77,3.7,4.1,-0.72,-1.82,3.45
34,139,150.6638,-34.0222017,3.1,6.4,0.31,0.78,3.6,4.0,-0.73,-1.85,3.35
35,143,150.6638,-34.0222017,2.9,6.2,0.31,0.79,3.8,4.1,-0.73,-1.85,3.35
36,147,150.6638,-34.0222017,3.2,6.2,0.32,0.8,3.7,4.0,-0.73,-1.87,3.45
37,151,150.6638,-34.0222017,3.4,5.5,0.32,0.78,3.7,3.9,-0.73,-1.86,3.55
38,155,150.6638,-34.0222017,3.5,5.9,0.32,0.75,3.4,3.8,-0.72,-1.81,3.45
39,159,150.6638,-34.0222017,3.4,6.2,0.32,0.75,3.6,3.7,-0.72,-1.86,3.5
40,163,150.6638,-34.0222017,3.6,5.6,0.31,0.76,3.5,3.9,-0.72,-1.82,3.55
41,167,150.6638,-34.0222017,3.5,6.4,0.32,0.76,3.6,4.0,-0.72,-1.83,3.55
42,171,150.6638,-34.0222017,3.6,6.0,0.32,0.77,3.8,3.7,-0.72,-1.83,3.7
43,175,150.6637983,-34.0222,3.7,6.0,0.32,0.79,3.6,4.0,-0.71,-1.82,3.65
44,179,150.6637883,-34.0221983,3.8,5.8,0.31,0.77,3.8,3.9,-0.7,-1.82,3.8
45,183,150.6637717,-34.022195,3.8,5.4,0.3,0.8,3.5,3.8,-0.69,-1.8,3.65
46,187,150.6637567,-34.02219,3.7,6.1,0.33,0.79,3.7,4.0,-0.67,-1.74,3.7
47,191,150.66374,-34.022185,3.8,6.2,0.31,0.78,3.7,3.8,-0.68,-1.77,3.75
48,195,150.6637233,-34.02218,3.8,6.1,0.3,0.78,3.7,4.0,-0.69,-1.82,3.75
49,199,150.6637067,-34.022175,4.0,5.8,0.31,0.78,3.6,4.2,-0.67,-1.83,3.8
50,203,150.66369,-34.02217,3.8,5.9,0.33,0.8,3.6,4.2,-0.65,-1.78,3.7
51,207,150.66367,-34.0221667,3.7,5.9,0.33,0.76,3.8,3.7,-0.63,-1.76,3.75
52,211,150.6636517,-34.0221633,3.7,6.2,0.31,0.76,3.7,4.5,-0.63,-1.77,3.7
53,215,150.6636333,-34.0221583,3.9,6.0,0.29,0.75,3.6,4.3,-0.62,-1.76,3.75
54,219,150.6636133,-34.022155,3.7,6.6,0.28,0.73,3.3,4.3,-0.61,-1.77,3.5
55,223,150.663595,-34.02215,3.4,6.6,0.28,0.68,3.8,4.7,-0.57,-1.68,3.6
56,227,150.663575,-34.0221467,3.9,6.5,0.27,0.66,3.2,4.0,-0.56,-1.7,3.55
57,231,150.6635583,-34.0221433,3.7,6.3,0.26,0.66,3.1,4.3,-0.53,-1.67,3.4
58,235,150.6635417,-34.02214,4.0,6.4,0.26,0.68,2.9,3.8,-0.55,-1.7,3.45
59,239,150.6635233,-34.0221367,4.3,6.4,0.28,0.69,2.9,3.6,-0.57,-1.73,3.6
60,243,150.6635067,-34.0221333,3.9,6.1,0.27,0.69,3.4,4.1,-0.56,-1.71,3.65
61,247,150.6634883,-34.0221283,3.9,6.4,0.27,0.69,2.9,4.2,-0.54,-1.66,3.4
62,251,150.66347,-34.022125,3.7,6.6,0.28,0.74,2.8,3.6,-0.53,-1.64,3.25
63,255,150.66345,-34.0221217,4.2,6.6,0.29,0.67,2.9,3.7,-0.52,-1.62,3.55
64,259,150.6634317,-34.0221183,3.7,6.6,0.27,0.7,2.8,3.7,-0.52,-1.62,3.25
65,263,150.6634117,-34.022115,4.2,6.6,0.26,0.66,3.1,3.9,-0.52,-1.6,3.65
66,267,150.6633917,-34.02211,3.9,6.5,0.27,0.68,3.9,4.3,-0.53,-1.65,3.9
67,271,150.6633717,-34.022105,4.8,6.0,0.28,0.72,4.0,4.8,-0.52,-1.61,4.4
68,275,150.6633517,-34.0221,4.4,6.5,0.27,0.71,3.3,3.9,-0.52,-1.63,3.85
69,279,150.6633317,-34.022095,3.7,6.6,0.29,0.71,3.0,4.0,-0.51,-1.61,3.35
70,283,150.6633117,-34.0220917,3.9,6.6,0.29,0.68,3.3,4.1,-0.52,-1.63,3.6
71,287,150.66329,-34.0220883,4.0,6.4,0.27,0.68,3.7,4.4,-0.52,-1.64,3.85
72,291,150.66327,-34.022085,4.2,6.6,0.28,0.71,3.9,4.5,-0.51,-1.6,4.05
73,295,150.6632467,-34.0220833,4.4,6.6,0.28,0.71,3.8,4.8,-0.49,-1.58,4.1
74,299,150.6632267,-34.0220817,4.3,6.5,0.29,0.66,3.9,4.2,-0.49,-1.58,4.1
75,303,150.663205,-34.02208,4.8,6.8,0.28,0.63,4.3,4.8,-0.51,-1.63,4.55
