DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20180326,34242.49,,,,,,,,,$PDLM1,134242,+3.1,+0.39,+3.0,+0.05,,,,,,,
20180326,34242.49,,,,,,,,,$PDLM2,134242,+6.4,+1.59,+2.0,+0.10,,,,,,,
20180326,34242.51,,,,,,,,,$PDLMA,+12.16,+33.7,-0.1,+1.2,,,,,,,,
20180326,34243.49,,,,,,,,,$PDLM1,134243,+3.2,+0.40,+2.9,+0.05,,,,,,,
20180326,34243.49,,,,,,,,,$PDLM2,134243,+6.7,+1.56,+2.3,+0.06,,,,,,,
20180326,34243.51,,,,,,,,,$PDLMA,+12.19,+33.7,-0.1,+1.2,,,,,,,,
20180326,34244,21208,150.6634850,-34.0212983,69.35,92.15,0,0,gps,,,,,,,,,,,,,
20180326,34244.5,,,,,,,,,$PDLM1,134244,+3.0,+0.39,+2.9,+0.05,,,,,,,
20180326,34244.5,,,,,,,,,$PDLM2,134244,+6.6,+1.57,+2.2,+0.06,,,,,,,
20180326,34244.51,,,,,,,,,$PDLMA,+12.16,+33.7,-0.1,+1.2,,,,,,,,
20180326,34245,21208,150.6634850,-34.0212983,69.35,92.15,0,0,gps,,,,,,,,,,,,,
20180326,34245.49,,,,,,,,,$PDLM1,134245,+3.1,+0.40,+3.1,+0.05,,,,,,,
20180326,34245.51,,,,,,,,,$PDLM2,134245,+6.8,+1.56,+1.8,+0.07,,,,,,,
20180326,34245.51,,,,,,,,,$PDLMA,+12.20,+33.7,-0.1,+1.2,,,,,,,,
20180326,34246,21208,150.6634850,-34.0212983,69.34,92.14,0,0,gps,,,,,,,,,,,,,
20180326,34246.49,,,,,,,,,$PDLM1,134246,+3.0,+0.39,+3.2,+0.05,,,,,,,
20180326,34246.51,,,,,,,,,$PDLM2,134246,+6.7,+1.59,+2.1,+0.08,,,,,,,
20180326,34246.51,,,,,,,,,$PDLMA,+12.17,+33.7,+0.1,+1.2,,,,,,,,
20180326,34247,51208,150.6634850,-34.0212983,69.33,92.13,0,0,gps,,,,,,,,,,,,,
20180326,34247.49,,,,,,,,,$PDLM1,134247,+2.8,+0.40,+3.1,+0.05,,,,,,,
20180326,34247.51,,,,,,,,,$PDLM2,134247,+6.4,+1.58,+1.9,+0.05,,,,,,,
20180326,34247.53,,,,,,,,,$PDLMA,+12.17,+33.7,+0.3,+1.2,,,,,,,,
20180326,34248,51208,150.6634850,-34.0212983,69.33,92.13,0,0,gps,,,,,,,,,,,,,
20180326,34248.49,,,,,,,,,$PDLM1,134248,+3.0,+0.39,+3.1,+0.05,,,,,,,
20180326,34248.51,,,,,,,,,$PDLM2,134248,+6.5,+1.58,+2.1,+0.07,,,,,,,
20180326,34248.53,,,,,,,,,$PDLMA,+12.20,+33.7,-0.1,+1.2,,,,,,,,
20180326,34249,51308,150.6634850,-34.0212983,69.34,92.14,0,0,gps,,,,,,,,,,,,,
20180326,34249.48,,,,,,,,,$PDLM1,134249,+2.7,+0.40,+3.2,+0.05,,,,,,,
20180326,34249.49,,,,,,,,,$PDLM2,134249,+6.6,+1.59,+2.1,+0.08,,,,,,,
20180326,34249.51,,,,,,,,,$PDLMA,+12.17,+33.7,-0.2,+1.2,,,,,,,,
20180326,34250,51408,150.6634850,-34.0212983,69.33,92.13,0,0,gps,,,,,,,,,,,,,
20180326,34250.49,,,,,,,,,$PDLM1,134250,+2.9,+0.40,+3.1,+0.05,,,,,,,
20180326,34250.51,,,,,,,,,$PDLM2,134250,+6.5,+1.57,+2.2,+0.09,,,,,,,
20180326,34250.53,,,,,,,,,$PDLMA,+12.20,+33.7,-0.1,+1.2,,,,,,,,
20180326,34251,51308,150.6634850,-34.0212983,69.34,92.14,0,0,gps,,,,,,,,,,,,,
20180326,34251.51,,,,,,,,,$PDLM1,134251,+2.9,+0.40,+3.1,+0.05,,,,,,,
20180326,34251.51,,,,,,,,,$PDLM2,134251,+6.7,+1.58,+1.9,+0.07,,,,,,,
20180326,34251.53,,,,,,,,,$PDLMA,+12.17,+33.7,-0.2,+1.2,,,,,,,,
20180326,34252,51308,150.6634850,-34.0212983,69.34,92.14,0,0,gps,,,,,,,,,,,,,
20180326,34252.49,,,,,,,,,$PDLM1,134252,+2.8,+0.40,+3.2,+0.05,,,,,,,
20180326,34252.49,,,,,,,,,$PDLM2,134252,+7.0,+1.58,+2.1,+0.09,,,,,,,
20180326,34252.51,,,,,,,,,$PDLMA,+12.20,+33.7,-0.1,+1.2,,,,,,,,
20180326,34253,51208,150.6634850,-34.0212983,69.34,92.14,0,0,gps,,,,,,,,,,,,,
20180326,34253.49,,,,,,,,,$PDLM1,134253,+3.1,+0.40,+2.9,+0.05,,,,,,,
20180326,34253.49,,,,,,,,,$PDLM2,134253,+6.7,+1.60,+1.7,+0.08,,,,,,,
20180326,34253.51,,,,,,,,,$PDLMA,+12.17,+33.7,-0.1,+1.2,,,,,,,,
20180326,34254,51208,150.6634850,-34.0212983,69.34,92.14,0,0,gps,,,,,,,,,,,,,
20180326,34254.49,,,,,,,,,$PDLM1,134254,+2.8,+0.40,+3.0,+0.05,,,,,,,
20180326,34254.49,,,,,,,,,$PDLM2,134254,+6.5,+1.57,+1.9,+0.06,,,,,,,
20180326,34254.51,,,,,,,,,$PDLMA,+12.20,+33.7,-0.1,+1.2,,,,,,,,
20180326,34255,51208,150.6634850,-34.0212983,69.35,92.15,0,0,gps,,,,,,,,,,,,,
20180326,34255.5,,,,,,,,,$PDLM1,134255,+3.0,+0.40,+3.0,+0.05,,,,,,,
20180326,34255.51,,,,,,,,,$PDLM2,134255,+6.8,+1.58,+2.0,+0.07,,,,,,,
20180326,34255.51,,,,,,,,,$PDLMA,+12.19,+33.7,-0.2,+1.2,,,,,,,,
20180326,34256,51208,150.6634850,-34.0212983,69.36,92.16,0,0,gps,,,,,,,,,,,,,
20180326,34256.49,,,,,,,,,$PDLM1,134256,+3.3,+0.40,+2.8,+0.05,,,,,,,
20180326,34256.51,,,,,,,,,$PDLM2,134256,+6.5,+1.60,+1.7,+0.07,,,,,,,
20180326,34256.51,,,,,,,,,$PDLMA,+12.17,+33.7,-0.1,+1.2,,,,,,,,
20180326,34257,51308,150.6634850,-34.0212983,69.36,92.16,0,0,gps,,,,,,,,,,,,,
20180326,34257.49,,,,,,,,,$PDLM1,134257,+3.3,+0.40,+3.0,+0.05,,,,,,,
20180326,34257.51,,,,,,,,,$PDLM2,134257,+6.4,+1.55,+2.1,+0.07,,,,,,,
20180326,34257.51,,,,,,,,,$PDLMA,+12.20,+33.7,-0.1,+1.2,,,,,,,,
20180326,34258,51408,150.6634850,-34.0212983,69.35,92.15,0,0,gps,,,,,,,,,,,,,
20180326,34258.49,,,,,,,,,$PDLM1,134258,+3.6,+0.40,+3.0,+0.05,,,,,,,
20180326,34258.51,,,,,,,,,$PDLM2,134258,+6.4,+1.58,+1.9,+0.08,,,,,,,
20180326,34258.53,,,,,,,,,$PDLMA,+12.17,+33.7,-0.1,+1.2,,,,,,,,
20180326,34259,51308,150.6634850,-34.0212983,69.35,92.15,0,0,gps,,,,,,,,,,,,,
20180326,34259.49,,,,,,,,,$PDLM1,134259,+3.2,+0.39,+3.1,+0.05,,,,,,,
20180326,34259.51,,,,,,,,,$PDLM2,134259,+6.7,+1.58,+2.0,+0.07,,,,,,,
20180326,34259.53,,,,,,,,,$PDLMA,+12.20,+33.7,-0.3,+1.2,,,,,,,,
20180326,34300,51208,150.6634850,-34.0212983,69.35,92.15,0,0,gps,,,,,,,,,,,,,
20180326,34300.49,,,,,,,,,$PDLM1,134300,+3.2,+0.39,+3.0,+0.05,,,,,,,
20180326,34300.51,,,,,,,,,$PDLM2,134300,+7.2,+1.59,+1.9,+0.07,,,,,,,
20180326,34300.53,,,,,,,,,$PDLMA,+12.17,+33.7,-0.1,+1.2,,,,,,,,
20180326,34301,51308,150.6634850,-34.0212983,69.34,92.14,0,0,gps,,,,,,,,,,,,,
20180326,34301.49,,,,,,,,,$PDLM1,134301,+3.0,+0.39,+3.2,+0.05,,,,,,,
20180326,34301.51,,,,,,,,,$PDLM2,134301,+6.4,+1.58,+2.1,+0.10,,,,,,,
20180326,34301.51,,,,,,,,,$PDLMA,+12.20,+33.7,-0.1,+1.2,,,,,,,,
20180326,34302,51208,150.6634850,-34.0212983,69.34,92.14,0,0,gps,,,,,,,,,,,,,
20180326,34302.49,,,,,,,,,$PDLM1,134302,+2.7,+0.40,+2.9,+0.05,,,,,,,
20180326,34302.49,,,,,,,,,$PDLM2,134302,+7.1,+1.60,+1.9,+0.06,,,,,,,
20180326,34302.51,,,,,,,,,$PDLMA,+12.17,+33.7,-0.1,+1.2,,,,,,,,
20180326,34303,51110,150.6634850,-34.0212983,69.33,92.13,0,0,gps,,,,,,,,,,,,,
20180326,34303.5,,,,,,,,,$PDLM1,134303,+2.9,+0.40,+3.0,+0.05,,,,,,,
20180326,34303.5,,,,,,,,,$PDLM2,134303,+6.6,+1.57,+2.0,+0.06,,,,,,,
20180326,34303.51,,,,,,,,,$PDLMA,+12.17,+33.7,-0.1,+1.2,,,,,,,,
20180326,34304,51110,150.6634850,-34.0212983,69.33,92.13,0,0,gps,,,,,,,,,,,,,
20180326,34304.49,,,,,,,,,$PDLM1,134304,+2.5,+0.40,+3.2,+0.04,,,,,,,
20180326,34304.51,,,,,,,,,$PDLM2,134304,+6.3,+1.57,+1.6,+0.10,,,,,,,
20180326,34304.51,,,,,,,,,$PDLMA,+12.20,+33.7,-0.1,+1.2,,,,,,,,
