,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,AVE(),1mHCPcon,1mPRPcon,AVE()
163,661,150.6628217,-34.026395,6,5.5,-0.02,1.53,12.4,7.6,-2.09,-3.13,9.2,6,12.4,9.2
164,665,150.662815,-34.0264317,5,5.1,0.03,1.76,12.7,7.5,-2.23,-3.3,8.85,5,12.7,8.85
165,669,150.6628083,-34.026465,5.5,5.1,0.06,1.81,13.2,7.7,-2.32,-3.42,9.35,5.5,13.2,9.35
166,673,150.6627967,-34.0264917,5.5,4.8,0.03,1.9,13,7.3,-2.36,-3.46,9.25,5.5,13,9.25
167,677,150.6627833,-34.0265117,5.3,4.9,0.03,1.79,13,7.2,-2.33,-3.46,9.15,5.3,13,9.15
168,681,150.662765,-34.026525,5.1,4.4,0.05,1.82,13,7,-2.32,-3.38,9.05,5.1,13,9.05
169,685,150.6627433,-34.0265317,3.9,3.6,0.17,2,12.9,6.7,-2.38,-3.25,8.4,3.9,12.9,8.4
170,689,150.6627217,-34.0265317,3.8,3,0.23,2.21,12.8,6.2,-2.44,-3.23,8.3,3.8,12.8,8.3
171,693,150.6627033,-34.0265233,3.1,3.6,0.26,2.24,12.8,5.9,-2.52,-3.32,7.95,3.1,12.8,7.95
172,697,150.6626917,-34.0265083,3.4,3.1,0.27,2.27,12.7,5.8,-2.5,-3.25,8.05,3.4,12.7,8.05
173,701,150.66269,-34.02649,4.2,3.2,0.14,2.33,12.9,6,-2.57,-3.3,8.55,4.2,12.9,8.55
174,705,150.6626933,-34.02647,3,3.1,0.3,2.45,13.4,6.4,-2.61,-3.32,8.2,3,13.4,8.2
175,709,150.6627017,-34.0264483,3.1,2.9,0.22,2.29,13.3,6.5,-2.65,-3.39,8.2,3.1,13.3,8.2
176,713,150.6627083,-34.0264217,2.9,3.1,0.21,2.24,13.3,6.6,-2.58,-3.38,8.1,2.9,13.3,8.1
177,717,150.6627167,-34.0263933,3.1,3,0.19,2.18,13.3,6.4,-2.59,-3.41,8.2,3.1,13.3,8.2
178,721,150.6627233,-34.0263617,3.5,3.4,0.26,2.22,13.2,6.2,-2.55,-3.33,8.35,3.5,13.2,8.35
179,725,150.6627333,-34.0263267,3,3.9,0.31,2.13,12.4,5.9,-2.35,-3,7.7,3,12.4,7.7
180,729,150.6627433,-34.0262917,3.3,3.9,0.28,2.06,12.1,5.9,-2.25,-2.91,7.7,3.3,12.1,7.7
181,733,150.662755,-34.0262533,4,4.6,0.29,1.95,11.7,6.2,-2.09,-2.7,7.85,4,11.7,7.85
182,737,150.6627667,-34.0262133,4.3,5.3,0.3,1.9,11.2,6.5,-1.97,-2.47,7.75,4.3,11.2,7.75
183,741,150.6627783,-34.0261717,4.2,5.1,0.33,1.96,10.8,6.3,-1.89,-2.32,7.5,4.2,10.8,7.5
184,745,150.66279,-34.02613,3.8,5.5,0.35,1.95,10.6,5.9,-1.87,-2.27,7.2,3.8,10.6,7.2
185,749,150.6628,-34.0260867,3.6,5.5,0.39,2.06,10.9,5.6,-1.98,-2.29,7.25,3.6,10.9,7.25
186,753,150.6628117,-34.0260433,3.9,5.4,0.42,2.21,11.8,6.2,-2.1,-2.3,7.85,3.9,11.8,7.85
187,757,150.6628233,-34.026,3.8,5.5,0.45,2.25,12.3,6.5,-2.13,-2.35,8.05,3.8,12.3,8.05
188,761,150.6628333,-34.02596,4.4,5.9,0.44,2.34,12.5,6.8,-2.21,-2.42,8.45,4.4,12.5,8.45
189,765,150.6628433,-34.02592,4.9,6.4,0.39,2.21,12.7,7,-2.15,-2.47,8.8,4.9,12.7,8.8
190,769,150.6628533,-34.0258833,5,6.5,0.33,1.97,12.5,7.2,-2.08,-2.5,8.75,5,12.5,8.75
191,773,150.6628633,-34.025845,5,7.3,0.44,1.95,13.2,7.9,-2.19,-2.58,9.1,5,13.2,9.1
192,777,150.6628717,-34.0258083,5.3,8.2,0.46,1.86,13.3,8.1,-2.16,-2.74,9.3,5.3,13.3,9.3
193,781,150.66288,-34.0257733,5.7,9.2,0.42,1.81,13.2,8.6,-2.12,-2.7,9.45,5.7,13.2,9.45
194,785,150.6628883,-34.02574,5.7,9.3,0.52,1.97,13.2,8.3,-2.08,-2.43,9.45,5.7,13.2,9.45
195,789,150.6628967,-34.0257067,5.3,9.2,0.57,2.1,13.2,8.2,-2.13,-2.27,9.25,5.3,13.2,9.25
196,793,150.662905,-34.0256733,5.9,9.4,0.6,2.1,14.9,8.9,-2.18,-2.56,10.4,5.9,14.9,10.4
197,797,150.6629133,-34.02564,6.1,9.8,0.63,2.3,15.4,9,-2.49,-2.81,10.75,6.1,15.4,10.75
198,801,150.6629217,-34.0256067,6.7,10.5,0.54,2.31,16,9.6,-2.6,-3.03,11.35,6.7,16,11.35
199,805,150.66293,-34.0255733,7.7,10.6,0.4,2.26,16.7,10.5,-2.74,-3.52,12.2,7.7,16.7,12.2
200,809,150.6629383,-34.0255383,8.7,10.5,0.26,2.24,17.9,11.6,-3.01,-4.21,13.3,8.7,17.9,13.3
201,813,150.6629483,-34.0255033,8.7,10.6,0.16,2.38,19.1,12.4,-3.29,-4.68,13.9,8.7,19.1,13.9
202,817,150.6629583,-34.0254683,9.1,10.2,0.1,2.44,19.5,12.6,-3.37,-4.93,14.3,9.1,19.5,14.3
203,821,150.6629667,-34.0254333,9.7,10.3,0.05,2.14,19.9,12.6,-3.29,-5.17,14.8,9.7,19.9,14.8
204,825,150.662975,-34.0253983,9.9,10.6,-0.09,2,18.6,12.5,-3.16,-5.15,14.25,9.9,18.6,14.25
205,829,150.6629833,-34.0253633,9.4,11.3,0.02,1.61,16.8,12,-2.7,-4.62,13.1,9.4,16.8,13.1
206,833,150.6629917,-34.0253283,8.3,11.6,0.12,1.33,15.6,11.8,-2.44,-4.24,11.95,8.3,15.6,11.95
207,837,150.6630017,-34.0252933,7.4,11.4,0.14,1.32,15,11.6,-2.39,-4.19,11.2,7.4,15,11.2
208,841,150.66301,-34.0252567,8,11.2,0.16,1.35,15.4,11.2,-2.46,-4.21,11.7,8,15.4,11.7
209,845,150.6630183,-34.02522,7.8,10.8,0.17,1.44,16.8,11.2,-2.61,-4.44,12.3,7.8,16.8,12.3
210,849,150.6630267,-34.0251817,8.3,10.7,0.06,1.61,16.9,11.6,-2.81,-4.73,12.6,8.3,16.9,12.6
211,853,150.6630367,-34.025145,10,11.7,-0.01,1.46,16.6,12.6,-2.65,-4.86,13.3,10,16.6,13.3
212,857,150.6630467,-34.0251083,10.2,12.7,-0.01,1.41,16.6,13.5,-2.62,-4.85,13.4,10.2,16.6,13.4
213,861,150.663055,-34.0250717,9.6,11.2,0,1.95,18.7,13.1,-3.18,-5.41,14.15,9.6,18.7,14.15
214,865,150.6630633,-34.025035,9,9,-0.11,2.66,22.4,14.2,-3.96,-6.33,15.7,9,22.4,15.7
215,869,150.6630717,-34.025,9.7,7.2,-0.26,3.53,27,14.6,-5.04,-7.49,18.35,9.7,27,18.35
216,873,150.66308,-34.0249667,10.2,5.3,-0.27,4.34,30.2,15.2,-5.84,-8.43,20.2,10.2,30.2,20.2
217,877,150.6630867,-34.02494,9.6,4.5,-0.3,4.28,30.6,15.9,-5.91,-8.7,20.1,9.6,30.6,20.1
218,881,150.6630933,-34.0249183,7.8,3.9,-0.22,4.28,29.8,15,-5.85,-8.6,18.8,7.8,29.8,18.8
219,885,150.6630983,-34.0248983,8,3.9,-0.3,4.15,29,14.4,-5.73,-8.43,18.5,8,29,18.5
220,889,150.663105,-34.0248767,8,3,-0.21,4.14,28.7,13.9,-5.47,-7.94,18.35,8,28.7,18.35
221,893,150.663105,-34.0248533,6.7,2.6,-0.1,4.09,28.5,13.8,-5.34,-7.48,17.6,6.7,28.5,17.6
222,897,150.6630917,-34.0248317,6.8,2.3,-0.05,4.2,27.5,12.9,-5.2,-7,17.15,6.8,27.5,17.15
223,901,150.6630667,-34.0248217,6.6,2.2,0.03,4.17,26.6,11.9,-4.96,-6.62,16.6,6.6,26.6,16.6
224,905,150.66304,-34.024825,6.6,2.3,0.04,4.33,26.6,12.6,-4.96,-6.48,16.6,6.6,26.6,16.6
225,909,150.6630217,-34.0248433,7.6,2.5,0.03,4.35,26.7,12.5,-5.01,-6.5,17.15,7.6,26.7,17.15
226,913,150.663015,-34.0248683,7.7,2.3,-0.06,4.39,27.3,13.1,-5.19,-6.98,17.5,7.7,27.3,17.5
227,917,150.6630133,-34.0248933,5.9,2.1,0.12,4.42,28.2,13.3,-5.38,-7.23,17.05,5.9,28.2,17.05
228,921,150.6630117,-34.02492,6.5,2,0.07,4.35,28.8,13.5,-5.43,-7.61,17.65,6.5,28.8,17.65
229,925,150.6630083,-34.0249467,8.2,2.8,-0.33,4.19,29.3,14.4,-5.66,-8.24,18.75,8.2,29.3,18.75
230,929,150.6630033,-34.024975,9,3.9,-0.43,4.04,29.5,15.1,-5.84,-8.7,19.25,9,29.5,19.25
231,933,150.6629967,-34.0250033,9.3,4.2,-0.41,4.08,29.8,15.3,-5.87,-8.81,19.55,9.3,29.8,19.55
232,937,150.6629883,-34.0250333,9,5.2,-0.28,4.07,28.8,15.4,-5.61,-8.47,18.9,9,28.8,18.9
233,941,150.6629817,-34.0250633,9.2,6.4,-0.25,3.7,26.7,15.3,-5.05,-7.73,17.95,9.2,26.7,17.95
234,945,150.6629733,-34.025095,9.5,7.7,-0.32,3.02,23.4,14.3,-4.27,-7.01,16.45,9.5,23.4,16.45
235,949,150.662965,-34.0251267,10,8.9,-0.37,2.39,20.9,13.9,-3.81,-6.63,15.45,10,20.9,15.45
236,953,150.6629567,-34.0251617,8.8,9.6,-0.19,2.12,19.6,13.7,-3.45,-6.11,14.2,8.8,19.6,14.2
237,957,150.6629483,-34.0251983,8.8,10.4,-0.06,1.61,17.4,13.3,-2.87,-5.26,13.1,8.8,17.4,13.1
238,961,150.66294,-34.025235,8.8,10.8,0.01,1.77,17.9,12.6,-2.99,-5.04,13.35,8.8,17.9,13.35
239,965,150.66293,-34.0252733,9.1,10.1,-0.08,1.51,17.8,12.2,-3.04,-5.39,13.45,9.1,17.8,13.45
240,969,150.66292,-34.0253117,8.6,9.7,-0.07,1.7,18.9,12.6,-3.3,-5.67,13.75,8.6,18.9,13.75
241,973,150.66291,-34.0253517,8.8,9.8,-0.11,1.77,19.1,12.7,-3.41,-5.86,13.95,8.8,19.1,13.95
242,977,150.6629,-34.02539,9,9.5,-0.07,1.83,18.8,12.2,-3.37,-5.71,13.9,9,18.8,13.9
243,981,150.66289,-34.0254283,9.1,9.8,-0.03,1.83,18.1,11,-3.28,-5.37,13.6,9.1,18.1,13.6
244,985,150.6628817,-34.0254683,9.4,10.2,0.01,2.02,18.5,12.5,-3.22,-5.09,13.95,9.4,18.5,13.95
245,989,150.6628717,-34.0255083,9.9,11.1,0.03,2.13,18.6,13,-3.23,-5.01,14.25,9.9,18.6,14.25
246,993,150.6628633,-34.0255483,10.1,11.4,0.08,2.18,18.2,12.7,-3.1,-4.6,14.15,10.1,18.2,14.15
247,997,150.6628533,-34.0255883,9.2,11.6,0.19,1.91,16.5,12.2,-2.72,-4.12,12.85,9.2,16.5,12.85
248,1001,150.6628433,-34.0256283,8.8,11.8,0.27,1.95,15.5,11.4,-2.56,-3.57,12.15,8.8,15.5,12.15
249,1005,150.6628333,-34.0256683,7.8,11.3,0.38,2.23,15.9,11,-2.61,-3.27,11.85,7.8,15.9,11.85
250,1009,150.6628217,-34.0257083,7.2,10.7,0.47,2.35,15.7,10.3,-2.6,-2.99,11.45,7.2,15.7,11.45
251,1013,150.6628117,-34.02575,6.6,10.4,0.49,2.37,15,9.3,-2.51,-2.77,10.8,6.6,15,10.8
252,1017,150.6628,-34.02579,7,9.8,0.44,2.26,14.3,9.3,-2.43,-2.72,10.65,7,14.3,10.65
253,1021,150.66279,-34.02583,6,10.1,0.48,2.11,14,9.5,-2.28,-2.73,10,6,14,10
254,1025,150.6627817,-34.02587,6.3,9.4,0.37,1.85,13,8.7,-2.22,-2.9,9.65,6.3,13,9.65
255,1029,150.6627717,-34.02591,5.2,8,0.45,1.93,13.3,8.1,-2.27,-2.8,9.25,5.2,13.3,9.25
256,1033,150.6627617,-34.02595,5.1,7.4,0.44,2.06,13,7.3,-2.27,-2.67,9.05,5.1,13,9.05
257,1037,150.6627517,-34.02599,4.6,6.4,0.41,2.15,12.6,6.9,-2.21,-2.61,8.6,4.6,12.6,8.6
258,1041,150.6627417,-34.02603,4.9,6.1,0.39,2.17,12.8,6.6,-2.16,-2.52,8.85,4.9,12.8,8.85
259,1045,150.6627333,-34.0260683,4.7,6.3,0.41,2.21,12.1,6.7,-2.13,-2.4,8.4,4.7,12.1,8.4
260,1049,150.6627233,-34.0261067,4.2,6,0.38,2.11,11.5,6.2,-2.04,-2.32,7.85,4.2,11.5,7.85
261,1053,150.662715,-34.026145,3.9,5.6,0.41,2.18,11.3,6,-2.04,-2.24,7.6,3.9,11.3,7.6
262,1057,150.662705,-34.026185,3.8,5.6,0.38,2.02,10.3,5.5,-1.88,-2.18,7.05,3.8,10.3,7.05
263,1061,150.6626933,-34.0262233,3.4,5.7,0.36,1.96,10,5.2,-1.86,-2.19,6.7,3.4,10,6.7
264,1065,150.6626833,-34.0262617,3.1,5.2,0.38,2.05,10,5.5,-1.93,-2.23,6.55,3.1,10,6.55
265,1069,150.6626717,-34.0263017,2.4,4.9,0.4,2.04,10.2,5.2,-1.94,-2.26,6.3,2.4,10.2,6.3
266,1073,150.66266,-34.0263383,3.2,4.7,0.33,2.02,10.4,5.5,-2.03,-2.52,6.8,3.2,10.4,6.8
267,1077,150.6626483,-34.0263767,3.3,4.4,0.37,2.06,11.2,6.1,-2.15,-2.7,7.25,3.3,11.2,7.25
268,1081,150.6626383,-34.0264117,3.1,4.4,0.37,2.2,12.8,6.7,-2.44,-3.1,7.95,3.1,12.8,7.95
269,1085,150.66263,-34.0264433,3.4,3.7,0.38,2.45,13.5,6,-2.69,-3.23,8.45,3.4,13.5,8.45
270,1089,150.662625,-34.02647,3.3,3.3,0.29,2.41,13.5,6.3,-2.71,-3.31,8.4,3.3,13.5,8.4
271,1093,150.66262,-34.0264933,3.6,3.2,0.24,2.29,13.5,6.3,-2.69,-3.36,8.55,3.6,13.5,8.55
272,1097,150.66261,-34.026515,3.1,3.2,0.24,2.27,13.2,5.9,-2.61,-3.2,8.15,3.1,13.2,8.15
273,1101,150.66259,-34.0265283,2.1,2.9,0.12,2.12,13.1,5.5,-2.55,-3.31,7.6,2.1,13.1,7.6
274,1105,150.662565,-34.02653,1.8,2.3,0.31,2.27,12.9,5.1,-2.63,-3.28,7.35,1.8,12.9,7.35
