,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,AVE(),1mHCPcon,1mPRPcon,AVE()
592,2377,150.6625283,-34.025075,12.2,2.2,-0.08,3.54,34.8,18.2,-5.14,-7.73,23.5,12.2,34.8,23.5
593,2381,150.66252,-34.02511,8.9,3.2,-0.2,3.25,26.6,15.5,-4.96,-7.69,17.75,8.9,26.6,17.75
594,2385,150.6625117,-34.0251467,8.8,3.8,-0.32,3.17,26.1,13.5,-5.13,-7.99,17.45,8.8,26.1,17.45
595,2389,150.6625017,-34.025185,7.4,3.7,-0.2,2.98,25.1,13,-4.88,-7.64,16.25,7.4,25.1,16.25
596,2393,150.6624917,-34.0252233,7.3,3.5,-0.19,2.99,25.4,12.6,-4.94,-7.62,16.35,7.3,25.4,16.35
597,2397,150.6624817,-34.0252617,8,4,-0.22,3,25.1,12.5,-4.87,-7.43,16.55,8,25.1,16.55
598,2401,150.6624717,-34.0253017,8.4,4.5,-0.16,2.64,23.8,13,-4.31,-6.69,16.1,8.4,23.8,16.1
599,2405,150.6624617,-34.0253417,8.1,5.4,-0.16,2.36,22.7,12.5,-4.01,-6.3,15.4,8.1,22.7,15.4
600,2409,150.6624517,-34.0253817,7.8,5.2,-0.15,2.28,21.7,12.1,-3.88,-6.13,14.75,7.8,21.7,14.75
601,2413,150.6624417,-34.0254217,8,5.1,-0.2,2.37,22,12,-3.95,-6.22,15,8,22,15
602,2417,150.6624333,-34.0254617,7.7,4.8,-0.18,2.63,22.1,11.8,-4.07,-6.29,14.9,7.7,22.1,14.9
603,2421,150.6624233,-34.0255017,7.6,4.8,-0.14,2.7,21.7,11.6,-3.95,-6,14.65,7.6,21.7,14.65
604,2425,150.6624117,-34.0255417,7.9,5,-0.09,2.58,21.2,11.4,-3.85,-5.79,14.55,7.9,21.2,14.55
605,2429,150.6624017,-34.0255817,7.5,4.9,-0.08,2.57,21.4,11.5,-3.83,-5.74,14.45,7.5,21.4,14.45
606,2433,150.6623917,-34.0256217,7.9,5.5,-0.07,2.32,20.1,11,-3.67,-5.59,14,7.9,20.1,14
607,2437,150.66238,-34.0256617,7.6,6,0,2.11,19.4,10.7,-3.41,-5.16,13.5,7.6,19.4,13.5
608,2441,150.66237,-34.0257033,7.7,6.4,0.08,1.94,18.1,10.8,-3.14,-4.77,12.9,7.7,18.1,12.9
609,2445,150.6623583,-34.0257433,7.1,7,0.19,1.9,17.3,10,-2.95,-4.28,12.2,7.1,17.3,12.2
610,2449,150.6623483,-34.0257833,6.4,7.9,0.4,1.99,16,9.8,-2.67,-3.64,11.2,6.4,16,11.2
611,2453,150.6623383,-34.0258233,6.1,8.5,0.58,2.01,15.2,9.9,-2.46,-2.98,10.65,6.1,15.2,10.65
612,2457,150.66233,-34.0258633,6,8.9,0.57,2.22,14.6,9.3,-2.47,-2.79,10.3,6,14.6,10.3
613,2461,150.6623183,-34.0259033,5.2,8.3,0.62,2.33,13.7,8.3,-2.41,-2.63,9.45,5.2,13.7,9.45
614,2465,150.6623067,-34.0259417,4.4,8.1,0.64,2.4,13.1,7.7,-2.34,-2.46,8.75,4.4,13.1,8.75
