ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64
0,4.210001,5.67,6.79,7.96,9.07,9.839998,10.59,11.26,11.58,11.89,12.53,12.79,13.02,13.16,13.2,13.18,12.85,12.55,11.95,11.19,10.13,9.16,8.0,6.7,5.31,4.01,2.86,1.64,0.42,-0.78,-1.88,-3.14,-4.5,-5.6,-6.73,-7.789999,-8.849998,-9.889999,-10.91,-11.68,-12.21,-12.58,-12.97,-13.1,-12.79,-12.85,-12.67,-12.5,-12.11,-11.37,-10.74,-10.11,-9.469999,-8.790001,-7.91,-6.970001,-6.12,-4.92,-3.66,-2.39,-0.87,0.4,1.5,2.82
1,1.23,2.61,3.900001,5.35,6.509999,7.67,8.509999,9.319999,10.17,10.92,11.58,12.22,12.97,13.38,13.68,13.85,13.75,13.38,12.96,12.29,11.55,10.89,9.929998,8.959999,7.99,7.040001,6.280001,5.46,4.38,2.99,1.49,0.02999998,-1.46,-3.01,-4.34,-5.68,-6.84,-7.819999,-9.150001,-10.1,-11.01,-11.58,-12.0,-12.39,-12.62,-12.86,-12.97,-13.02,-13.13,-12.78,-12.35,-11.69,-11.23,-10.61,-9.839999,-9.23,-8.44,-7.42,-6.31,-5.14,-3.83,-2.6,-1.48,-0.16
2,2.55,3.56,4.58,5.74,6.64,7.52,8.289999,9.17,9.88,10.57,11.52,12.36,13.26,13.75,14.17,14.15,13.96,13.43,12.74,12.12,11.31,10.69,10.0,9.119999,8.13,7.17,6.14,4.77,3.32,2.25,1.08,-0.28,-1.54,-2.97,-4.22,-5.42,-6.679999,-7.739999,-8.77,-9.819999,-10.77,-11.65,-12.36,-13.14,-13.41,-13.49,-13.38,-13.43,-13.16,-12.69,-12.3,-11.81,-11.22,-10.53,-10.05,-9.28,-8.57,-7.86,-6.67,-5.48,-3.95,-2.21,-0.61,0.96
3,1.28,2.8,4.33,5.78,7.24,8.360001,9.080001,9.699999,10.54,11.35,12.19,12.78,13.42,13.38,13.32,13.5,13.33,12.95,12.56,12.15,11.85,11.04,10.23,9.32,8.28,7.369999,6.49,5.319999,4.1,2.65,1.08,-0.6,-1.98,-3.43,-4.739999,-5.71,-6.78,-7.91,-8.849999,-9.549999,-10.32,-10.91,-11.63,-12.21,-12.73,-13.24,-13.71,-13.89,-13.76,-13.46,-12.73,-12.15,-11.62,-10.8,-9.89,-9.129999,-8.339999,-7.38,-6.3,-5.31,-4.14,-2.99,-1.56,-0.21
4,1.28,2.91,4.2,5.59,6.66,7.66,8.820001,9.910001,10.78,11.65,12.18,12.63,13.26,13.34,13.52,13.39,13.38,13.38,13.12,12.68,12.1,11.45,10.72,9.960001,8.84,7.44,6.21,4.78,3.38,1.83,0.33,-0.8200001,-1.86,-2.62,-3.61,-4.75,-5.84,-6.970001,-8.18,-9.419999,-10.6,-11.54,-12.24,-13.02,-13.48,-13.62,-13.68,-13.38,-13.05,-12.59,-12.2,-11.8,-11.47,-10.93,-10.37,-9.75,-9.019999,-8.0,-6.96,-5.95,-4.68,-3.25,-1.62,-0.21
5,0.89,2.04,3.43,4.84,6.24,7.63,8.91,9.959999,10.77,11.46,12.2,12.91,13.59,14.16,14.11,14.0,13.71,13.29,12.85,12.33,11.84,11.44,10.86,10.02,8.99,7.8,6.47,5.29,4.23,2.68,1.11,-0.19,-1.99,-3.67,-5.07,-6.14,-7.01,-7.74,-8.48,-9.36,-10.42,-11.42,-12.15,-12.57,-12.84,-13.11,-13.17,-13.16,-13.3,-13.22,-12.87,-12.25,-11.54,-10.92,-10.21,-9.55,-8.82,-7.92,-6.75,-5.69,-4.21,-2.8,-1.37,-0.08000004
6,1.31,2.49,3.75,4.83,6.010001,7.06,8.09,9.11,10.04,10.89,11.86,12.54,13.46,13.97,14.19,14.04,13.85,13.44,13.03,12.52,11.73,10.97,10.38,9.85,9.009999,8.09,6.95,5.69,4.4,2.9,1.14,-0.45,-2.05,-3.610001,-4.91,-6.239999,-7.460001,-8.059999,-8.82,-9.440001,-10.2,-10.9,-11.59,-12.27,-12.98,-13.41,-13.81,-13.6,-13.32,-12.95,-12.4,-11.75,-11.22,-10.41,-9.519998,-8.839999,-8.14,-7.380001,-6.56,-5.75,-4.54,-3.16,-1.48,-0.04000001
7,1.35,2.48,3.81,5.04,6.15,7.39,8.42,9.399999,10.6,11.34,12.1,12.59,12.94,13.19,13.41,13.47,13.57,13.33,12.9,12.2,11.61,11.02,10.41,9.690001,8.87,7.77,6.77,5.37,4.14,2.81,1.41,0.06,-1.21,-2.7,-4.1,-5.53,-6.559999,-7.8,-8.87,-9.89,-10.83,-11.69,-12.26,-12.77,-13.19,-13.47,-13.51,-13.78,-13.65,-13.39,-12.77,-12.22,-11.6,-10.77,-10.28,-9.459999,-8.37,-7.090001,-5.87,-4.670001,-3.49,-2.35,-1.14,-0.01999998
8,1.2,2.54,4.0,5.42,6.849999,8.22,9.4,10.14,10.88,11.77,12.32,12.57,12.94,13.2,13.21,13.16,13.27,13.06,13.03,13.06,12.57,11.95,11.11,9.73,8.43,7.08,5.66,4.49,3.38,2.35,1.06,-0.2799999,-1.52,-2.71,-4.0,-5.06,-6.35,-7.689999,-8.77,-9.92,-10.95,-11.88,-12.46,-12.77,-13.03,-13.25,-13.6,-13.8,-13.79,-13.56,-13.23,-12.51,-11.76,-11.11,-10.02,-9.139999,-8.500001,-7.56,-6.24,-5.12,-3.87,-2.6,-1.34,0.02
9,1.2,2.62,4.06,5.4,6.54,7.67,8.959999,10.02,10.95,11.85,12.64,13.28,13.7,14.12,14.07,14.03,13.8,13.73,13.21,12.53,11.77,11.19,10.3,9.25,8.249999,7.200001,6.380001,5.28,3.960001,2.67,0.9599999,-0.31,-1.81,-3.49,-5.06,-6.26,-7.249999,-8.17,-9.23,-10.23,-10.9,-11.59,-12.12,-12.53,-12.96,-13.24,-13.28,-13.43,-13.53,-13.39,-13.13,-12.48,-11.84,-11.3,-10.58,-9.69,-8.599999,-7.440001,-6.16,-4.83,-3.54,-2.3,-1.12,0.04000001
