Latitude,Longitude,Accuracy,Time,Reading 
-34.02122728,150.66359401,35.0,125106,5.44
-34.02121239,150.66352984,32.0,125107,5.32
-34.02118904,150.66347498,30.0,125108,5.39
-34.0211784,150.66345314,27.0,125109,5.22
-34.02117643,150.66344341,24.0,125110,4.879999
-34.02117641,150.66345291,20.0,125111,5.35
-34.02119231,150.66346692,16.0,125112,5.15
-34.021213,150.66345284,15.0,125113,5.52
-34.02123224,150.66344731,14.0,125114,5.17
-34.02124022,150.663446,14.0,125115,5.41
-34.02124478,150.66344338,16.0,125116,5.21
-34.02125171,150.66344058,12.0,125117,4.66
-34.02125951,150.66352525,3.0,125233,4.9
-34.02125941,150.66352524,3.0,125234,5.52
-34.02125935,150.66352524,3.0,125235,5.34
-34.02125932,150.66352525,3.0,125236,5.40999
-34.02125933,150.66352525,3.0,125238,5.173
-34.02125935,150.66352524,3.0,125239,5.489999
-34.02125936,150.66352525,3.0,125240,5.26
-34.02125937,150.66352527,3.0,125242,5.45
-34.0212591,150.66352611,3.0,125248,5.51
-34.02125883,150.66352681,3.0,125250,5.610001313
-34.02125887,150.66352688,4.0,125251,5.04
-34.02125909,150.66352688,4.0,125253,5.47
-34.02129357,150.66352484,4.0,125444,5.01
-34.02129331,150.66352453,4.0,125445,5.28
-34.02129314,150.66352437,4.0,125446,5.01
-34.021293,150.66352429,4.0,125447,5.65
-34.0212928,150.66352423,4.0,125448,5.27
-34.0212927,150.66352418,4.0,125449,5.65
-34.02129262,150.66352414,4.0,125450,5.13
-34.02129256,150.6635241,4.0,125451,4.84
-34.0212924,150.66352402,4.0,125453,4.99
-34.02129232,150.66352398,4.0,125454,5.55
-34.02129263,150.66352388,4.0,125455,5.92
-34.02129319,150.66352374,4.0,125456,5.61
-34.02129355,150.66352362,4.0,125457,5.42
-34.02129376,150.66352354,4.0,125458,5.23
-34.02129383,150.66352348,4.0,125459,5.12
-34.02129387,150.66352341,4.0,125501,5.44
-34.02129391,150.66352338,4.0,125503,4.87
-34.02129384,150.66352337,4.0,125504,5.15
-34.0212938,150.66352336,4.0,125505,5.3
-34.02129377,150.66352335,3.0,125506,5.36
