Latitude,Longitude,Accuracy,Time,Reading
-34.02497164,150.66319129,10,131416,4.98
-34.02497145,150.66319064,8,131417,4.839999
-34.02497125,150.6631895,6,131418,4.58
-34.02497097,150.66318879,5,131419,4.98
-34.02497089,150.66318764,4,131420,4.43
-34.02497063,150.66318729,3,131421,4.3
-34.02496997,150.66318674,3,131422,4.52
-34.02496894,150.66318649,3,131423,4.95
-34.02496787,150.66318578,3,131424,5.07
-34.02496718,150.66318537,3,131425,5.400001
-34.02496696,150.66318522,3,131426,5.04
-34.02496682,150.66318512,3,131427,5.77
-34.02496677,150.66318506,3,131428,5.380001
-34.02496672,150.66318502,3,131429,5.39
-34.02496668,150.66318501,3,131430,5.93
-34.02496666,150.663185,3,131431,5.53
-34.02496664,150.663185,3,131432,5.58
-34.02496663,150.66318499,3,131433,5.72
-34.02496662,150.663185,3,131434,4.9
-34.02496662,150.663185,3,131435,5.58
-34.02496662,150.66318499,3,131436,4.71
-34.02496662,150.66318499,3,131437,4.74
-34.02496662,150.66318499,3,131438,4.690001
-34.02496688,150.66318675,4,131439,4.73
-34.02496807,150.6631853,3,131440,4.81
-34.02497424,150.66318392,3,131441,5.3
-34.02498204,150.66318252,3,131442,4.87
-34.02498657,150.66318291,3,131443,5.08
-34.02498828,150.66318334,3,131444,5.08
-34.02498934,150.66318415,3,131445,5.12
-34.02498933,150.66318468,3,131446,4.65
-34.02499009,150.66318468,3,131447,4.89
-34.02498854,150.6631843,3,131449,4.949999
-34.02498973,150.66318595,3,131451,5.01
-34.02499094,150.66318599,3,131452,5.12
-34.02499594,150.66318351,3,131453,5.08
-34.025003,150.66318113,4,131454,5.18
-34.02501559,150.66317747,4,131455,5.15
-34.02502939,150.66317447,4,131456,4.73
-34.0250443,150.66317158,3,131457,5.09
-34.02506068,150.66316893,4,131458,5.26
-34.02507693,150.66316501,4,131459,5.01
-34.02509459,150.66315957,3,131500,5.039999
-34.02511376,150.66315386,3,131501,4.95
-34.0251403,150.66314587,3,131502,4.99
-34.0251671,150.66313735,3,131503,5.2
-34.02519509,150.66312872,3,131504,4.76
-34.02522423,150.66312037,3,131505,5.13
-34.02529388,150.66310193,3,131507,4.92
-34.02532818,150.66309281,3,131508,4.72
-34.02536226,150.66308243,3,131509,4.62
-34.02539594,150.66307224,3,131510,4.900001
-34.0254296,150.66306186,3,131511,4.81
-34.02546463,150.66305226,3,131512,4.77
-34.02550018,150.66304243,4,131513,4.76
-34.02553548,150.66303253,3,131514,4.8
-34.02560684,150.66301215,4,131516,4.88
-34.02564288,150.66300175,3,131517,4.68
-34.02567927,150.66299159,3,131518,5.1
-34.02571915,150.66298012,3,131519,4.800001
-34.02575831,150.66296894,3,131520,4.89
-34.02579743,150.66295841,3,131521,4.87
-34.02583669,150.66294807,3,131522,4.849999
-34.02587608,150.6629375,3,131523,4.75
-34.02591556,150.66292729,3,131524,4.96
-34.02595491,150.662917,3,131525,4.79
-34.02599384,150.66290626,3,131526,4.93
-34.0260326,150.66289571,4,131527,4.73
-34.0260717,150.66288487,3,131528,4.94
-34.02614923,150.66286491,3,131530,4.75
-34.0261882,150.66285462,3,131531,4.809999
-34.02622693,150.66284409,4,131532,4.74
-34.02626514,150.66283341,4,131533,4.94
-34.02630292,150.66282411,4,131534,5
-34.02633974,150.66281613,3,131535,4.77
-34.02635986,150.66281194,3,131536,4.99
-34.02637296,150.66280921,3,131537,4.82
-34.02638332,150.66280769,4,131538,4.76
-34.02638392,150.66280721,3,131539,4.739999
-34.02637248,150.66280764,3,131541,4.7
-34.02637047,150.66280715,3,131542,4.77
-34.02636819,150.66280636,3,131543,5.05
-34.02636716,150.66280545,3,131544,4.79
-34.0263673,150.66280608,3,131545,4.72
-34.02636853,150.66280387,3,131546,4.68
-34.0263672,150.66280179,3,131547,4.929999
-34.02636827,150.66280116,3,131548,4.93
-34.02637082,150.66280073,3,131549,4.759999
-34.02637226,150.66280053,3,131550,4.969999
-34.02637439,150.66279966,3,131551,4.659999
-34.02637974,150.66279828,3,131552,5.02
-34.02638769,150.66279667,3,131553,4.91
-34.02640607,150.6627941,3,131554,4.7
-34.02642375,150.66279244,3,131555,4.66
-34.02645942,150.66278667,3,131557,4.98
-34.02647805,150.6627819,3,131558,4.77
-34.02649657,150.6627753,4,131559,4.61
-34.02651339,150.66276559,3,131600,4.69
-34.02652774,150.6627522,3,131601,4.91
-34.02653793,150.66273434,3,131602,4.789999
-34.02654218,150.66271481,4,131603,4.59
-34.0265385,150.6626951,3,131604,4.35
-34.02652682,150.66267882,3,131605,4.48
-34.02651002,150.66267012,3,131606,4.62
-34.02649048,150.66267065,3,131607,4.6
-34.02647138,150.6626785,3,131608,4.89
-34.02645315,150.66268971,3,131609,4.92
-34.02641566,150.66270666,3,131611,4.62
-34.02639716,150.66271019,3,131612,4.89
-34.02637843,150.66271238,3,131613,4.82
-34.02635945,150.66271657,3,131614,4.58
-34.02634049,150.66272212,4,131615,4.86
-34.02632132,150.66272798,3,131616,4.76
-34.02629848,150.66273445,3,131617,4.88
-34.02627457,150.66274162,3,131618,4.44
-34.02624983,150.66274967,3,131619,4.7
-34.02622499,150.66275893,3,131620,4.719999
-34.02616903,150.66277845,3,131622,4.61
-34.02614078,150.66278714,3,131623,4.81
-34.02611216,150.66279543,3,131624,4.75
-34.0260829,150.66280301,3,131625,4.84
-34.02605344,150.66281061,3,131626,4.74
-34.02602419,150.66281809,3,131627,4.46
-34.02599476,150.66282602,3,131628,4.48
-34.02596603,150.66283377,3,131629,4.7
