,Latitude,Longitude,Accuracy,Time,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,AveS1,AveS2,AveS3,AveS4,AveS5,AveS6,AveS7,AveS8,AveS9,AveS10,AveS11,AveS12,AveS13,AveS14,AveS15,AveS16,AveS17,AveS18,AveS19,AveS20,AveS21,AveS22,AveS23,AveS24,AveS25,AveS26,AveS27,AveS28,AveS29,AveS30,AveS31,AveS32,AveS33,AveS34,AveS35,AveS36,AveS37,AveS38,AveS39,AveS40,AveS41,AveS42,AveS43,AveS44,AveS45,AveS46,AveS47,AveS48,AveS49,AveS50,AveS51,AveS52,AveS53,AveS54,AveS55,AveS56,AveS57,AveS58,AveS59,AveS60,AveS61,AveS62,AveS63,AveS64,S6S22,S7S23,S38S54
571,-34.02490565,150.66257514,3,132411,655,1.33,1.68,2.11,2.55,3.01,3.3,3.68,3.84,4.02,4.2,4.38,4.4,4.36,4.46,4.48,4.48,4.45,4.29,4.04,3.82,3.44,3.15,2.67,2.42,2.01,1.64,1.23,0.81,0.26,-0.24,-0.73,-1.14,-1.48,-2.02,-2.39,-2.72,-3.04,-3.52,-3.78,-4.03,-4.25,-4.47,-4.57,-4.63,-4.66,-4.62,-4.5,-4.46,-4.37,-4.17,-3.98,-3.78,-3.49,-3.04,-2.66,-2.21,-1.74,-1.2,-0.86,-0.4,-0.03,0.28,0.59,0.95,1.414,1.81,2.179,2.572,2.974,3.314,3.635,3.917,4.174,4.38,4.517,4.617,4.657,4.636,4.641,4.58,4.496,4.342,4.144,3.918,3.587,3.272,2.915,2.527,2.117,1.715,1.283,0.873,0.404,-0.021,-0.526,-1.021,-1.541,-2.06,-2.502,-2.909,-3.241,-3.566,-3.811,-4.03,-4.24,-4.451,-4.589,-4.715,-4.801,-4.821,-4.756,-4.644,-4.447,-4.229,-3.979,-3.681,-3.433,-3.11,-2.789,-2.421,-1.988,-1.545,-1.103,-0.644,-0.205,0.216,0.618,1.038,6.586,6.55,6.676
572,-34.02492987,150.66257107,3,132412,656,1.9,2.3,2.47,2.53,2.78,2.97,3.23,3.73,4.28,4.55,4.94,5.07,5.01,4.7,4.6,4.34,4.21,4.09,4.07,4.14,3.98,3.73,3.34,2.68,2.06,1.4,0.79,0.31,-0.04,-0.13,-0.41,-0.57,-1.03,-1.54,-2.32,-2.98,-3.52,-3.92,-4.09,-4.1,-4.04,-4.12,-4.13,-4.28,-4.47,-4.84,-4.98,-5.11,-4.91,-4.7,-4.28,-3.71,-3.37,-2.87,-2.58,-2.35,-2.1,-1.88,-1.6,-1.15,-0.69,0.05,0.7,1.37,1.423,1.836,2.199,2.594,2.995,3.342,3.643,3.941,4.198,4.405,4.535,4.646,4.707,4.675,4.683,4.609,4.514,4.354,4.162,3.932,3.606,3.289,2.949,2.55,2.134,1.734,1.293,0.877,0.406,-0.021,-0.54,-1.042,-1.573,-2.077,-2.523,-2.933,-3.255,-3.555,-3.803,-4.024,-4.229,-4.444,-4.586,-4.716,-4.808,-4.842,-4.784,-4.675,-4.481,-4.262,-4.005,-3.696,-3.449,-3.129,-2.806,-2.45,-2.024,-1.588,-1.137,-0.677,-0.238,0.213,0.626,1.047,6.631,6.592,6.684
573,-34.0249541,150.6625663,3,132413,657,1.18,1.58,2.06,2.6,3.09,3.57,3.99,4.19,4.31,4.31,4.32,4.29,4.35,4.41,4.62,4.62,4.67,4.48,4.18,3.8,3.32,2.94,2.57,2.34,2.11,1.89,1.56,1.24,0.65,0.01,-0.72,-1.4,-1.95,-2.43,-2.73,-2.88,-3.1,-3.32,-3.53,-3.91,-4.31,-4.76,-4.97,-5.18,-5.22,-5.07,-4.84,-4.52,-4.17,-3.93,-3.76,-3.64,-3.55,-3.37,-3.04,-2.48,-1.78,-1.07,-0.41,0.16,0.46,0.68,0.83,0.97,1.368,1.79,2.173,2.603,3.007,3.366,3.667,3.947,4.178,4.381,4.489,4.606,4.684,4.687,4.701,4.641,4.541,4.375,4.164,3.913,3.58,3.279,2.957,2.589,2.187,1.799,1.349,0.911,0.417,-0.058,-0.583,-1.102,-1.612,-2.1,-2.506,-2.894,-3.211,-3.516,-3.789,-4.035,-4.271,-4.492,-4.638,-4.751,-4.827,-4.831,-4.757,-4.638,-4.453,-4.242,-3.992,-3.699,-3.436,-3.137,-2.797,-2.437,-2.012,-1.569,-1.12,-0.664,-0.23,0.193,0.587,0.993,6.645,6.624,6.653
574,-34.02497823,150.66256107,3,132414,658,1.3,1.79,2.15,2.68,3.17,3.6,3.93,4.06,4.18,4.32,4.42,4.56,4.65,4.74,4.76,4.77,4.71,4.45,4.22,3.96,3.56,3.2,2.85,2.45,2.07,1.74,1.33,0.88,0.35,-0.13,-0.71,-1.18,-1.71,-2.14,-2.55,-2.88,-3.1,-3.41,-3.66,-3.83,-4.15,-4.54,-4.75,-4.88,-4.91,-4.83,-4.66,-4.46,-4.18,-4.07,-3.86,-3.69,-3.62,-3.44,-3.16,-2.71,-2.22,-1.66,-1.12,-0.58,-0.12,0.22,0.57,1.02,1.376,1.799,2.182,2.605,3.001,3.341,3.625,3.91,4.144,4.365,4.491,4.632,4.714,4.726,4.724,4.659,4.533,4.357,4.155,3.92,3.616,3.325,3.02,2.637,2.231,1.838,1.374,0.906,0.41,-0.072,-0.59,-1.097,-1.597,-2.08,-2.494,-2.898,-3.226,-3.533,-3.83,-4.066,-4.293,-4.492,-4.632,-4.719,-4.802,-4.8,-4.735,-4.629,-4.464,-4.249,-3.984,-3.693,-3.415,-3.093,-2.748,-2.411,-2.009,-1.602,-1.19,-0.758,-0.31,0.119,0.539,0.978,6.666,6.645,6.626
575,-34.02500206,150.66255563,3,132415,659,1.09,1.63,2.13,2.61,3.1,3.39,3.52,3.84,3.94,4.2,4.29,4.51,4.7,4.83,4.96,4.98,4.72,4.47,4.1,3.77,3.38,3.11,3.05,2.8,2.62,2.22,1.8,1.2,0.46,-0.09,-0.74,-1.4,-1.85,-2.22,-2.45,-2.71,-3.06,-3.34,-3.73,-4.05,-4.44,-4.62,-4.78,-4.84,-4.9,-4.78,-4.7,-4.6,-4.49,-4.34,-4.04,-3.84,-3.45,-3.11,-2.58,-2.3,-1.75,-1.4,-0.98,-0.75,-0.39,-0.1,0.23,0.62,1.408,1.819,2.211,2.605,2.987,3.306,3.589,3.889,4.143,4.379,4.516,4.646,4.724,4.72,4.715,4.632,4.501,4.328,4.134,3.91,3.619,3.344,3.029,2.643,2.22,1.814,1.328,0.864,0.376,-0.091,-0.577,-1.068,-1.548,-2.036,-2.449,-2.859,-3.215,-3.531,-3.834,-4.082,-4.289,-4.478,-4.603,-4.697,-4.784,-4.798,-4.735,-4.654,-4.503,-4.273,-4.001,-3.695,-3.391,-3.055,-2.71,-2.386,-2.002,-1.611,-1.216,-0.783,-0.333,0.113,0.551,0.996,6.65,6.618,6.586
576,-34.02502646,150.66255086,3,132416,660,1.87,2.17,2.42,2.69,2.86,3.05,3.35,3.72,4.13,4.53,4.76,4.87,4.99,4.81,4.64,4.43,4.27,4.07,3.97,3.81,3.66,3.4,3.1,2.6,2.05,1.44,0.95,0.53,0.24,-0.05,-0.39,-0.7,-1.22,-1.74,-2.31,-2.82,-3.32,-3.66,-3.95,-4.11,-4.27,-4.32,-4.48,-4.52,-4.65,-4.74,-4.88,-4.92,-4.79,-4.56,-4.25,-3.81,-3.42,-2.99,-2.62,-2.25,-2.01,-1.76,-1.38,-0.97,-0.42,0.17,0.86,1.43,1.43,1.828,2.215,2.606,2.988,3.313,3.607,3.907,4.172,4.403,4.544,4.654,4.721,4.703,4.696,4.599,4.488,4.325,4.143,3.931,3.64,3.367,3.023,2.638,2.194,1.787,1.298,0.847,0.377,-0.09,-0.575,-1.049,-1.538,-2.029,-2.462,-2.878,-3.234,-3.563,-3.856,-4.104,-4.292,-4.49,-4.605,-4.691,-4.773,-4.793,-4.718,-4.648,-4.496,-4.267,-4.001,-3.692,-3.398,-3.053,-2.722,-2.39,-2.018,-1.62,-1.226,-0.771,-0.319,0.14,0.58,1.027,6.68,6.63,6.616
577,-34.02505038,150.66254744,3,132417,661,1.09,1.47,1.93,2.47,3.01,3.43,3.76,4.05,4.24,4.41,4.48,4.56,4.6,4.6,4.66,4.74,4.71,4.62,4.46,4.08,3.73,3.25,2.78,2.33,1.99,1.67,1.35,1.01,0.5,0,-0.53,-1.14,-1.78,-2.28,-2.72,-3,-3.21,-3.29,-3.44,-3.63,-3.92,-4.18,-4.47,-4.73,-4.9,-4.84,-4.78,-4.57,-4.31,-4.08,-3.78,-3.63,-3.47,-3.29,-3.05,-2.74,-2.26,-1.79,-1.19,-0.69,-0.27,0.04,0.35,0.68,1.361,1.785,2.193,2.609,3.024,3.364,3.655,3.928,4.169,4.378,4.511,4.619,4.686,4.694,4.702,4.621,4.509,4.34,4.143,3.914,3.604,3.328,2.991,2.635,2.221,1.851,1.375,0.919,0.423,-0.074,-0.583,-1.08,-1.576,-2.065,-2.482,-2.889,-3.23,-3.568,-3.862,-4.134,-4.331,-4.552,-4.65,-4.733,-4.784,-4.779,-4.675,-4.592,-4.45,-4.239,-4.006,-3.72,-3.438,-3.092,-2.743,-2.378,-1.977,-1.539,-1.145,-0.692,-0.272,0.15,0.543,0.963,6.692,6.646,6.66
578,-34.02507475,150.66254287,3,132418,662,1.7,1.94,2.08,2.33,2.65,3.01,3.45,3.85,4.23,4.52,4.66,4.77,4.72,4.61,4.47,4.35,4.38,4.31,4.15,3.97,3.6,3.24,2.74,2.26,1.75,1.33,0.96,0.78,0.56,0.28,-0.13,-0.67,-1.29,-2.08,-2.65,-3.22,-3.54,-3.9,-4.02,-4.16,-4.21,-4.3,-4.34,-4.5,-4.6,-4.72,-4.66,-4.5,-4.38,-4.1,-3.9,-3.49,-3.23,-3.01,-2.8,-2.54,-2.16,-1.75,-1.34,-0.75,-0.15,0.45,0.99,1.45,1.405,1.832,2.237,2.624,3.018,3.339,3.619,3.891,4.146,4.367,4.523,4.647,4.722,4.729,4.72,4.609,4.478,4.297,4.097,3.897,3.602,3.351,3.04,2.688,2.258,1.865,1.364,0.889,0.39,-0.096,-0.592,-1.067,-1.528,-2.008,-2.423,-2.863,-3.236,-3.612,-3.93,-4.207,-4.388,-4.591,-4.661,-4.717,-4.752,-4.759,-4.657,-4.586,-4.459,-4.254,-4.026,-3.728,-3.43,-3.069,-2.711,-2.342,-1.954,-1.543,-1.166,-0.722,-0.299,0.145,0.558,1.003,6.69,6.659,6.681
579,-34.02509939,150.6625375,3,132419,663,1.37,1.68,2.1,2.5,2.99,3.39,3.82,4.07,4.26,4.39,4.38,4.45,4.45,4.49,4.58,4.63,4.54,4.46,4.2,3.92,3.53,3.24,2.88,2.58,2.17,1.9,1.44,1.03,0.53,0.01,-0.52,-1.07,-1.64,-2.18,-2.51,-2.94,-3.2,-3.52,-3.85,-4.13,-4.34,-4.59,-4.73,-4.81,-4.83,-4.85,-4.68,-4.45,-4.18,-3.92,-3.77,-3.53,-3.42,-3.15,-2.95,-2.62,-2.24,-1.66,-1.1,-0.57,-0.04,0.4,0.67,1.04,1.408,1.847,2.269,2.648,3.026,3.332,3.597,3.864,4.133,4.36,4.535,4.661,4.751,4.755,4.737,4.609,4.458,4.273,4.074,3.897,3.624,3.389,3.093,2.754,2.315,1.91,1.372,0.873,0.343,-0.157,-0.654,-1.108,-1.555,-1.998,-2.407,-2.847,-3.234,-3.621,-3.949,-4.237,-4.406,-4.603,-4.654,-4.689,-4.71,-4.714,-4.626,-4.581,-4.464,-4.276,-4.044,-3.752,-3.436,-3.057,-2.696,-2.317,-1.949,-1.545,-1.185,-0.748,-0.337,0.104,0.523,0.98,6.721,6.69,6.678
580,-34.02515504,150.66252483,3,132421,665,1.31,1.86,2.34,2.76,3.08,3.43,3.62,3.82,4.15,4.37,4.54,4.69,4.74,4.71,4.64,4.46,4.3,4.18,4.05,3.91,3.67,3.46,3.17,2.81,2.34,1.92,1.42,0.94,0.53,0.13,-0.38,-0.94,-1.46,-1.97,-2.39,-2.94,-3.32,-3.78,-4.06,-4.35,-4.47,-4.61,-4.67,-4.78,-4.87,-4.92,-4.88,-4.85,-4.69,-4.42,-4.17,-3.69,-3.31,-2.83,-2.45,-2.01,-1.62,-1.28,-1.05,-0.74,-0.4,-0.03,0.39,0.85,1.438,1.869,2.274,2.642,3.012,3.32,3.589,3.868,4.148,4.387,4.569,4.688,4.768,4.762,4.735,4.604,4.452,4.266,4.091,3.924,3.664,3.422,3.104,2.743,2.288,1.853,1.322,0.822,0.315,-0.168,-0.653,-1.092,-1.532,-1.98,-2.409,-2.853,-3.265,-3.652,-3.964,-4.241,-4.408,-4.588,-4.642,-4.68,-4.713,-4.716,-4.641,-4.596,-4.481,-4.285,-4.033,-3.746,-3.425,-3.059,-2.703,-2.327,-1.965,-1.574,-1.209,-0.757,-0.331,0.125,0.563,1.018,6.742,6.693,6.711
