ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64
6,1.23,1.75,2.12,2.56,2.91,3.19,3.450001,3.800001,4.06,4.36,4.59,4.82,4.96,5.09,5.08,4.98,4.72,4.55,4.35,4.09,3.940001,3.69,3.52,3.09,2.7,2.15,1.6,1.05,0.57,0.08999998,-0.34,-0.8599999,-1.23,-1.74,-2.25,-2.6,-3.04,-3.450001,-3.850001,-4.18,-4.41,-4.57,-4.78,-4.77,-4.900001,-4.94,-4.98,-4.930001,-4.95,-4.69,-4.44,-4.16,-3.74,-3.36,-2.97,-2.63,-2.18,-1.81,-1.4,-1.11,-0.65,-0.2,0.22,0.7099999
7,1.19,1.59,2.05,2.44,2.89,3.27,3.64,3.97,4.34,4.46,4.75,4.84,4.900001,4.95,4.95,4.839999,4.67,4.54,4.3,4.04,3.74,3.42,3.14,2.83,2.51,2.19,1.83,1.41,0.93,0.48,-0.02000001,-0.63,-1.11,-1.76,-2.31,-2.8,-3.31,-3.6,-3.91,-4.260001,-4.41,-4.65,-4.77,-4.84,-4.95,-4.89,-4.96,-4.95,-4.96,-4.88,-4.75,-4.49,-4.06,-3.540001,-3.07,-2.52,-2.02,-1.6,-1.24,-0.8299999,-0.4,0.03999999,0.43,0.75
8,1.08,1.42,1.83,2.21,2.76,3.13,3.63,3.950001,4.18,4.48,4.57,4.64,4.66,4.65,4.6,4.58,4.4,4.3,4.05,3.920001,3.63,3.34,3.04,2.85,2.56,2.14,1.76,1.24,0.7300001,0.2,-0.37,-0.9,-1.27,-1.83,-2.3,-2.77,-3.09,-3.5,-3.87,-4.14,-4.37,-4.56,-4.700001,-4.740001,-4.77,-4.74,-4.670001,-4.6,-4.48,-4.3,-4.150001,-3.88,-3.63,-3.34,-2.97,-2.48,-1.99,-1.46,-1,-0.5,-0.15,0.17,0.42,0.67
9,1.19,1.64,2.16,2.57,2.9,3.14,3.310001,3.48,3.630001,3.83,4.07,4.44,4.59,4.88,4.95,4.98,4.69,4.57,4.150001,3.830001,3.560001,3.27,3.06,2.74,2.39,2.06,1.58,0.9599999,0.5,-0.14,-0.64,-1.14,-1.52,-1.93,-2.28,-2.65,-3.04,-3.38,-3.66,-3.96,-4.15,-4.37,-4.46,-4.41,-4.35,-4.150001,-4,-3.910001,-3.810001,-3.83,-3.9,-3.84,-3.77,-3.48,-3.11,-2.68,-2.18,-1.69,-1.29,-0.88,-0.52,-0.16,0.2,0.65
10,1.29,1.53,1.91,2.22,2.58,2.96,3.32,3.64,3.940001,4.220001,4.46,4.55,4.63,4.67,4.619999,4.43,4.3,4.16,4.020001,3.790001,3.53,3.18,2.81,2.42,1.99,1.63,1.3,0.92,0.5599999,0.21,-0.3,-0.72,-1.25,-1.74,-2.21,-2.66,-3.09,-3.370001,-3.540001,-3.700001,-3.85,-3.92,-4.03,-4.09,-4.22,-4.25,-4.450001,-4.51,-4.45,-4.36,-4.17,-3.98,-3.72,-3.380001,-3.03,-2.56,-2.09,-1.61,-1.19,-0.6799999,-0.26,0.17,0.52,0.93
11,1.49,1.82,2.12,2.46,2.78,3.05,3.3,3.720001,4.03,4.29,4.59,4.62,4.67,4.57,4.5,4.3,4.14,4.010001,3.960001,3.74,3.560001,3.29,3.01,2.5,2.06,1.64,1.21,0.78,0.32,-0.12,-0.51,-0.87,-1.25,-1.74,-2.24,-2.68,-3.02,-3.28,-3.400001,-3.57,-3.65,-3.86,-4.17,-4.26,-4.58,-4.71,-4.8,-4.73,-4.51,-4.33,-3.960001,-3.700001,-3.39,-3.09,-2.75,-2.44,-2.12,-1.81,-1.37,-1,-0.43,0.11,0.61,1.02
12,1.21,1.69,2.06,2.45,2.7,3.04,3.31,3.72,3.910001,4.25,4.39,4.58,4.68,4.82,4.68,4.52,4.29,4.16,3.960001,3.800001,3.61,3.34,3,2.64,2.24,1.68,1.28,0.8699999,0.29,-0.24,-0.5699999,-1.05,-1.43,-1.88,-2.22,-2.59,-2.91,-3.140001,-3.48,-3.6,-3.85,-4.01,-4.17,-4.33,-4.52,-4.62,-4.710001,-4.550001,-4.400001,-4.15,-3.87,-3.62,-3.26,-3.06,-2.62,-2.32,-1.93,-1.71,-1.37,-1.03,-0.52,-0.17,0.35,0.7399999
13,1.18,1.62,2.12,2.59,3.06,3.36,3.690001,3.830001,4.030001,4.3,4.54,4.79,4.91,5.03,5.039999,4.95,4.72,4.57,4.43,4.220001,3.910001,3.56,3.140001,2.72,2.29,1.97,1.53,1.11,0.68,0.18,-0.32,-0.75,-1.25,-1.81,-2.25,-2.64,-2.89,-3.23,-3.460001,-3.81,-4.1,-4.42,-4.73,-4.96,-5.06,-5.03,-5,-4.92,-4.69,-4.52,-4.35,-4.03,-3.87,-3.57,-3.2,-2.7,-2.24,-1.72,-1.19,-0.8299999,-0.42,-0.16,0.31,0.6599999
14,1.32,1.66,2.04,2.45,2.82,3.19,3.61,4.01,4.47,4.84,5.08,5.18,5.25,5.14,5.12,5.07,4.9,4.81,4.61,4.32,4.18,3.98,3.67,3.39,2.93,2.56,2.05,1.46,1,0.51,0.05000001,-0.45,-1,-1.75,-2.44,-2.97,-3.63,-4.03,-4.36,-4.56,-4.619999,-4.74,-4.88,-4.92,-5.12,-5.3,-5.45,-5.54,-5.529999,-5.24,-4.94,-4.66,-4.08,-3.59,-3.22,-2.69,-2.19,-1.97,-1.44,-1.07,-0.55,-0.02000002,0.4,0.8
15,1.25,1.75,2.13,2.54,3,3.22,3.45,3.9,4.27,4.65,4.91,5.18,5.25,5.29,5.23,5.400001,5.15,4.97,4.86,4.610001,4.37,4.13,4.05,3.64,3.15,2.71,2.08,1.41,0.72,0.23,-0.15,-0.67,-1.11,-1.63,-2.15,-2.68,-3.17,-3.58,-4.12,-4.6,-4.96,-5.11,-5.28,-5.34,-5.21,-5.18,-5.05,-5.079999,-5.09,-4.96,-4.86,-4.539999,-4.21,-3.75,-3.28,-2.86,-2.52,-2.14,-1.82,-1.51,-1.08,-0.55,0.04000001,0.62
