DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20180412,75028.6,,,,,,,,,$PDLM1,175031,-0.1,+0.40,+23.6,-5.62,,,,,,,
20180412,75028.62,,,,,,,,,$PDLM2,175031,+1.2,+3.99,+10.9,-8.31,,,,,,,
20180412,75028.63,,,,,,,,,$PDLMA,+14.11,+27.2,+0.0,-5.2,,,,,,,,
20180412,75029,51906,150.6632150,-34.0248233,63.69,86.49,0,0,gps,,,,,,,,,,,,,
20180412,75029.62,,,,,,,,,$PDLM1,175032,+0.0,+0.41,+23.5,-5.62,,,,,,,
20180412,75029.62,,,,,,,,,$PDLM2,175032,+1.1,+4.03,+11.1,-8.34,,,,,,,
20180412,75029.64,,,,,,,,,$PDLMA,+14.11,+27.2,+0.0,-5.2,,,,,,,,
20180412,75030,51906,150.6632150,-34.0248233,63.69,86.49,0,0,gps,,,,,,,,,,,,,
20180412,75030.6,,,,,,,,,$PDLM1,175033,-0.4,+0.41,+23.6,-5.61,,,,,,,
20180412,75030.6,,,,,,,,,$PDLM2,175033,+1.7,+4.03,+11.1,-8.35,,,,,,,
20180412,75030.62,,,,,,,,,$PDLMA,+14.10,+27.2,+0.0,-5.2,,,,,,,,
20180412,75031,51906,150.6632150,-34.0248233,63.69,86.49,0,0,gps,,,,,,,,,,,,,
20180412,75031.6,,,,,,,,,$PDLM1,175034,-0.1,+0.40,+23.6,-5.61,,,,,,,
20180412,75031.6,,,,,,,,,$PDLM2,175034,+1.5,+4.03,+11.0,-8.30,,,,,,,
20180412,75031.62,,,,,,,,,$PDLMA,+14.18,+27.2,+0.0,-5.2,,,,,,,,
20180412,75032,51906,150.6632150,-34.0248233,63.69,86.49,0,0,gps,,,,,,,,,,,,,
20180412,75032.6,,,,,,,,,$PDLM1,175035,-0.1,+0.40,+23.7,-5.61,,,,,,,
20180412,75032.62,,,,,,,,,$PDLM2,175035,+1.2,+3.99,+11.1,-8.32,,,,,,,
20180412,75032.62,,,,,,,,,$PDLMA,+14.19,+27.2,+0.0,-5.2,,,,,,,,
20180412,75033,51906,150.6632150,-34.0248233,63.7,86.5,0,0,gps,,,,,,,,,,,,,
20180412,75033.6,,,,,,,,,$PDLM1,175036,-0.4,+0.40,+23.8,-5.61,,,,,,,
20180412,75033.62,,,,,,,,,$PDLM2,175036,+1.7,+4.03,+11.3,-8.36,,,,,,,
20180412,75033.62,,,,,,,,,$PDLMA,+14.12,+27.2,+0.0,-5.2,,,,,,,,
20180412,75034,51906,150.6632150,-34.0248233,63.7,86.5,0,0,gps,,,,,,,,,,,,,
20180412,75034.6,,,,,,,,,$PDLM1,175037,-0.2,+0.41,+23.9,-5.62,,,,,,,
20180412,75034.62,,,,,,,,,$PDLM2,175037,+1.4,+4.03,+10.8,-8.32,,,,,,,
20180412,75034.62,,,,,,,,,$PDLMA,+14.11,+27.2,+0.1,-5.2,,,,,,,,
20180412,75035,51906,150.6632150,-34.0248233,63.71,86.51,0,0,gps,,,,,,,,,,,,,
20180412,75035.6,,,,,,,,,$PDLM1,175038,-0.1,+0.41,+23.6,-5.61,,,,,,,
20180412,75035.62,,,,,,,,,$PDLM2,175038,+1.6,+4.02,+11.0,-8.34,,,,,,,
20180412,75035.62,,,,,,,,,$PDLMA,+14.12,+27.2,+0.1,-5.2,,,,,,,,
20180412,75036,51906,150.6632150,-34.0248233,63.71,86.51,0,0,gps,,,,,,,,,,,,,
20180412,75036.6,,,,,,,,,$PDLM1,175039,+0.0,+0.41,+23.7,-5.62,,,,,,,
20180412,75036.62,,,,,,,,,$PDLM2,175039,+1.3,+4.02,+10.8,-8.33,,,,,,,
20180412,75036.64,,,,,,,,,$PDLMA,+14.07,+27.2,+0.0,-5.2,,,,,,,,
20180412,75037,51906,150.6632150,-34.0248233,63.72,86.52,0,0,gps,,,,,,,,,,,,,
20180412,75037.6,,,,,,,,,$PDLM1,175040,+0.2,+0.41,+23.6,-5.62,,,,,,,
20180412,75037.62,,,,,,,,,$PDLM2,175040,+1.4,+4.00,+10.8,-8.33,,,,,,,
20180412,75037.63,,,,,,,,,$PDLMA,+13.08,+27.2,+0.0,-5.2,,,,,,,,
20180412,75038,51906,150.6632150,-34.0248233,63.73,86.53,0,0,gps,,,,,,,,,,,,,
20180412,75038.62,,,,,,,,,$PDLM1,175041,+0.1,+0.41,+23.7,-5.62,,,,,,,
20180412,75038.62,,,,,,,,,$PDLM2,175041,+1.6,+4.02,+11.2,-8.33,,,,,,,
20180412,75038.64,,,,,,,,,$PDLMA,+13.25,+27.2,+0.0,-5.2,,,,,,,,
20180412,75039,51906,150.6632150,-34.0248233,63.73,86.53,0,0,gps,,,,,,,,,,,,,
20180412,75039.6,,,,,,,,,$PDLM1,175042,+0.1,+0.41,+23.4,-5.62,,,,,,,
20180412,75039.6,,,,,,,,,$PDLM2,175042,+1.2,+4.03,+11.0,-8.31,,,,,,,
20180412,75039.62,,,,,,,,,$PDLMA,+13.27,+27.2,+0.0,-5.2,,,,,,,,
20180412,75040,51906,150.6632150,-34.0248233,63.74,86.54,0,0,gps,,,,,,,,,,,,,
20180412,75040.6,,,,,,,,,$PDLM1,175043,+0.2,+0.41,+23.6,-5.62,,,,,,,
