,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,Between
0,3,150.663215,-34.0248233,0,1.1,0.41,4.03,23.5,11.1,-5.62,-8.34,11.75
1,7,150.663215,-34.0248233,-0.4,1.7,0.41,4.03,23.6,11.1,-5.61,-8.35,11.6
2,11,150.663215,-34.0248233,-0.1,1.5,0.4,4.03,23.6,11,-5.61,-8.3,11.75
3,15,150.663215,-34.0248233,-0.1,1.2,0.4,3.99,23.7,11.1,-5.61,-8.32,11.8
4,19,150.663215,-34.0248233,-0.4,1.7,0.4,4.03,23.8,11.3,-5.61,-8.36,11.7
5,23,150.663215,-34.0248233,-0.2,1.4,0.41,4.03,23.9,10.8,-5.62,-8.32,11.85
6,27,150.663215,-34.0248233,-0.1,1.6,0.41,4.02,23.6,11,-5.61,-8.34,11.75
7,31,150.663215,-34.0248233,0,1.3,0.41,4.02,23.7,10.8,-5.62,-8.33,11.85
8,35,150.663215,-34.0248233,0.2,1.4,0.41,4,23.6,10.8,-5.62,-8.33,11.9
9,39,150.663215,-34.0248233,0.1,1.6,0.41,4.02,23.7,11.2,-5.62,-8.33,11.9
10,43,150.663215,-34.0248233,0.1,1.2,0.41,4.03,23.4,11,-5.62,-8.31,11.75
11,47,150.663215,-34.0248233,0.2,1.2,0.41,4.01,23.6,10.9,-5.62,-8.3,11.9
12,51,150.663215,-34.0248233,0.1,1.4,0.41,4.03,23.7,11.2,-5.62,-8.32,11.9
13,55,150.663215,-34.0248233,0.3,1.3,0.41,4.01,23.7,11.2,-5.61,-8.33,12
14,59,150.663215,-34.0248233,0.2,1.5,0.4,4.03,23.8,11.2,-5.62,-8.34,12
15,63,150.663215,-34.0248233,0.1,1.3,0.4,4.01,23.7,11.1,-5.62,-8.32,11.9
16,67,150.663215,-34.0248233,0.3,1,0.41,4.01,23.7,10.9,-5.62,-8.35,12
17,71,150.663215,-34.0248233,0,1.2,0.41,4.04,23.6,11.1,-5.62,-8.34,11.8
18,75,150.663215,-34.0248233,-0.3,1.6,0.41,3.99,23.7,10.9,-5.62,-8.34,11.7
19,79,150.6632167,-34.0248233,-0.1,1.7,0.41,4.01,23.7,11.3,-5.61,-8.34,11.8
20,83,150.6632167,-34.0248233,0.3,1.9,0.41,4.02,23.7,10.8,-5.62,-8.33,12
21,87,150.6632167,-34.0248233,0.1,1.4,0.4,4.03,23.6,11,-5.62,-8.34,11.85
22,91,150.6632167,-34.0248233,-0.2,1.6,0.41,4.03,23.7,10.9,-5.61,-8.3,11.75
23,95,150.6632167,-34.0248233,-0.2,1.7,0.41,4.04,23.7,11.1,-5.62,-8.33,11.75
24,99,150.6632167,-34.0248233,-0.1,1,0.41,4,23.5,10.8,-5.62,-8.34,11.7
25,103,150.6632167,-34.0248233,0,1.6,0.41,4.03,23.9,11.1,-5.62,-8.33,11.95
26,107,150.6632167,-34.0248233,-0.1,1.5,0.41,4.03,23.7,11,-5.62,-8.32,11.8
27,111,150.6632167,-34.0248233,0.2,1.8,0.41,4,23.6,11,-5.62,-8.34,11.9
28,115,150.6632167,-34.0248233,0.4,1.5,0.41,3.99,23.7,11.1,-5.62,-8.34,12.05
29,119,150.6632167,-34.0248233,0.3,1.6,0.42,4,23.7,11.1,-5.62,-8.32,12
30,123,150.6632167,-34.0248233,0,1.6,0.41,4.03,23.7,11.4,-5.62,-8.33,11.85
31,127,150.6632167,-34.0248233,0.2,1.4,0.41,4.01,23.7,10.9,-5.62,-8.33,11.95
32,131,150.6632167,-34.0248233,0.6,1.7,0.41,4.02,23.6,11.1,-5.62,-8.31,12.1
33,135,150.6632167,-34.0248233,0.6,1.2,0.41,4.03,23.6,11.2,-5.62,-8.31,12.1
34,139,150.6632167,-34.0248233,0.1,1.4,0.41,4.04,23.6,11.1,-5.62,-8.31,11.85
35,143,150.6632167,-34.0248233,0,1.7,0.4,4.02,23.6,11,-5.62,-8.33,11.8
