,DUALEM,OpenEM,X1,X2,Y1,Y2
0,2.63062,8.61022,150.662205,150.662205,-34.024635,-34.024635
1,2.68396,8.58454,150.662215,150.662215,-34.024635,-34.024635
2,2.74706,8.55925,150.662225,150.662225,-34.024635,-34.024635
3,2.81534,8.53454,150.662235,150.662235,-34.024635,-34.024635
4,2.87582,8.51055,150.662245,150.662245,-34.024635,-34.024635
5,2.90683,8.48746,150.662255,150.662255,-34.024635,-34.024635
6,2.88943,8.46541,150.662265,150.662265,-34.024635,-34.024635
7,2.82501,8.44457,150.662275,150.662275,-34.024635,-34.024635
8,2.66788,8.57915,150.662205,150.662205,-34.024645,-34.024645
9,2.73851,8.55104,150.662215,150.662215,-34.024645,-34.024645
10,2.83007,8.5233,150.662225,150.662225,-34.024645,-34.024645
11,2.94174,8.49613,150.662235,150.662235,-34.024645,-34.024645
12,3.05656,8.46972,150.662245,150.662245,-34.024645,-34.024645
13,3.12987,8.44421,150.662255,150.662255,-34.024645,-34.024645
14,3.11031,8.41974,150.662265,150.662265,-34.024645,-34.024645
15,2.99832,8.39648,150.662275,150.662275,-34.024645,-34.024645
16,2.84902,8.37466,150.662285,150.662285,-34.024645,-34.024645
17,2.71132,8.35464,150.662295,150.662295,-34.024645,-34.024645
18,2.6026,8.33681,150.662305,150.662305,-34.024645,-34.024645
19,2.52155,8.32152,150.662315,150.662315,-34.024645,-34.024645
20,2.46156,8.30893,150.662325,150.662325,-34.024645,-34.024645
21,2.41602,8.29903,150.662335,150.662335,-34.024645,-34.024645
22,2.37949,8.2918,150.662345,150.662345,-34.024645,-34.024645
23,2.34764,8.28731,150.662355,150.662355,-34.024645,-34.024645
24,2.69786,8.54658,150.662205,150.662205,-34.024655,-34.024655
25,2.78526,8.51573,150.662215,150.662215,-34.024655,-34.024655
26,2.90915,8.48522,150.662225,150.662225,-34.024655,-34.024655
27,3.08106,8.45528,150.662235,150.662235,-34.024655,-34.024655
28,3.29102,8.42614,150.662245,150.662245,-34.024655,-34.024655
29,3.45728,8.39792,150.662255,150.662255,-34.024655,-34.024655
30,3.43891,8.37072,150.662265,150.662265,-34.024655,-34.024655
31,3.22981,8.34463,150.662275,150.662275,-34.024655,-34.024655
32,2.97716,8.31988,150.662285,150.662285,-34.024655,-34.024655
33,2.77488,8.29693,150.662295,150.662295,-34.024655,-34.024655
34,2.6337,8.27648,150.662305,150.662305,-34.024655,-34.024655
35,2.53823,8.25913,150.662315,150.662315,-34.024655,-34.024655
