Lat,Lon,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,AVE1,AVE2,AVE3,AVE4,AVE5,AVE6,AVE7,AVE8,AVE9,AVE10,AVE11,AVE12,AVE13,AVE14,AVE15,AVE16,AVE17,AVE18,AVE19,AVE20,AVE21,AVE22,AVE23,AVE24,AVE25,AVE26,AVE27,AVE28,AVE29,AVE30,AVE31,AVE32,AVE33,AVE34,AVE35,AVE36,AVE37,AVE38,AVE39,AVE40,AVE41,AVE42,AVE43,AVE44,AVE45,AVE46,AVE47,AVE48,AVE49,AVE50,AVE51,AVE52,AVE53,AVE54,AVE55,AVE56,AVE57,AVE58,AVE59,AVE60,AVE61,AVE62,AVE63,AVE64
-34.02483843,150.66320072,15,4.31,5.56,6.25,5.87,5.640001,6.67,7.65,7.42,6.739999,6.800001,7.41,7.460001,6.41,5.58,5.43,5.72,5.259999,3.69,2.96,3.27,3.23,1.83,0.42,0.23,0.24,-0.2,-1.53,-2.61,-2.81,-2.83,-3.91,-5.170001,-5.719999,-5.23,-5.22,-6.4,-7.27,-6.63,-5.88,-6.35,-6.93,-7.11,-6.28,-5.75,-5.99,-6.47,-5.83,-4.7,-4.24,-4.6,-4.48,-2.97,-2.18,-1.79,-1.81,-0.83,0.61,1.17,0.99,1.38,2.66,3.72,3.94,3.64,4.91833333333333,5.72999983333333,6.511667,6.7233335,6.72333333333333,7.16500016666667,7.89166666666667,8.17999983333333,7.86500033333333,7.7300005,7.90666683333333,8.03,7.63,6.928333,6.578333,6.53000016666667,6.23166633333333,5.41166633333333,4.52500016666667,4.0616665,3.7916665,2.89,1.82166666666667,1.00833335,0.525,-0.076666666666667,-1.09999998333333,-2.12166666666667,-2.82666666666667,-3.18833333333333,-4.005,-4.975,-5.705,-5.9716665,-6.14666633333333,-6.823333,-7.48833333333333,-7.6,-7.40833383333333,-7.56166666666667,-8.00833333333333,-8.13999966666667,-7.79500016666667,-7.51666666666667,-7.341666,-7.42499966666667,-7.06666666666667,-6.2433335,-5.63999983333333,-5.35666683333333,-5.05000016666667,-4.1133335,-3.10833333333333,-2.43333333333333,-2.03833331666667,-1.26666666666667,-0.141666666666667,0.725,1.205,1.69666666666667,2.59166666666667,3.55166666666667,4.255,4.45
-34.02487523,150.66319272,16,3.92,4.88,5.190001,5.13,5.13,5.81,6.609999,6.68,6.06,6.35,6.69,6.609999,5.82,4.97,4.95,4.95,4.35,3.38,2.86,2.6,2.59,1.51,0.74,0.5500001,0.37,-0.3,-1.61,-2.13,-2.15,-2.42,-3.57,-4.559999,-4.460001,-4.55,-4.92,-5.96,-6.36,-6.09,-5.780001,-6.55,-7.15,-6.75,-5.93,-6.01,-6.329999,-6.4,-5.59,-4.57,-4.44,-4.240001,-3.55,-2.23,-1.36,-1.21,-0.9099999,0.1,1.18,1.44,1.42,1.69,2.77,3.35,3.34,3.27,4.65666666666667,5.5166665,6.23000033333333,6.35166683333333,6.32333333333333,6.82000016666667,7.52499983333333,7.69166666666667,7.33500016666667,7.241667,7.4533335,7.48999983333333,7.06833333333333,6.37999966666667,6.08999966666667,6.09666683333333,5.768333,4.90999983333333,4.08000016666667,3.74333316666667,3.46333333333333,2.55666666666667,1.50499996666667,0.825000016666666,0.418333333333333,-0.181666666666667,-1.28833331666667,-2.20333333333333,-2.85666666666667,-3.13666666666667,-3.94333333333333,-4.89166666666667,-5.50666666666667,-5.66,-5.783333,-6.4816665,-7.13166666666667,-7.125,-6.85500033333333,-7.08833333333333,-7.56,-7.683333,-7.2633335,-6.955,-6.83999966666667,-6.94833333333333,-6.57166666666667,-5.74166683333333,-5.22999983333333,-4.98000016666667,-4.7,-3.71,-2.71333333333333,-2.14,-1.80833331666667,-1.02,0.096666666666667,0.908333333333333,1.275,1.71666666666667,2.625,3.535,4.115,4.20833333333333
-34.02491886,150.66318062,17,4.64,4.839999,5.72,6.330001,6.18,5.94,6.190001,6.76,6.56,5.95,5.570001,5.829999,6.08,5.409999,4.84,4.53,4.659999,4.5,3.65,2.6,2.37,2.34,1.73,0.48,-0.32,-0.52,-0.9,-1.52,-3.09,-3.51,-3.44,-3.94,-5.05,-5.76,-5.66,-5.66,-6.010001,-6.76,-6.77,-6.28,-6.13,-6.37,-6.26,-5.95,-5.079999,-4.83,-5.15,-4.75,-3.96,-3.18,-3.39,-3.24,-2.54,-1.45,-1.09,-0.94,-0.53,0.53,1.51,1.84,2.03,2.68,4,4.390001,4.43333333333333,5.19499966666667,5.931667,6.1783335,6.05166666666667,6.39166666666667,6.98833316666667,7.29666666666667,6.9516665,6.72166683333333,6.7783335,6.9066665,6.59833333333333,5.873333,5.4516665,5.42833333333333,5.29166616666667,4.54166666666667,3.7233335,3.26499983333333,3.05,2.42166666666667,1.41666663333333,0.616666683333333,0.113333333333333,-0.32,-1.32666666666667,-2.19,-3.06166666666667,-3.23833333333333,-3.83666666666667,-4.72166666666667,-5.36333333333333,-5.58333333333333,-5.583333,-6.0666665,-6.67333333333333,-6.81333333333333,-6.4533335,-6.55666666666667,-6.88666666666667,-7.10333333333333,-6.77666683333333,-6.35666666666667,-6.17333316666667,-6.315,-6.08333333333333,-5.30666666666667,-4.7166665,-4.3783335,-4.20666666666667,-3.37333333333333,-2.39833333333333,-1.71333335,-1.45833331666667,-0.88,0.1,1.005,1.44833333333333,1.745,2.47666666666667,3.345,4.04166666666667,4.1383335
-34.02497309,150.66316427,18,4.03,5.01,5.86,5.7,5.29,5.71,6.529999,6.670001,6.01,5.76,6.06,6.159999,5.82,4.98,4.64,4.97,4.83,3.82,2.93,2.98,2.72,2.06,0.9299998,0.42,0.32,-0.2,-1.63,-2.5,-3.18,-3.06,-3.67,-4.82,-5.4,-5.170001,-4.959999,-5.63,-6.53,-6.17,-5.51,-5.6,-6.27,-6.580001,-5.96,-5.31,-5.420001,-5.950001,-5.6,-4.65,-4.16,-4.2,-4.22,-3.15,-1.83,-1.44,-1.46,-0.75,0.53,1.59,1.71,1.85,2.71,3.83,4.26,3.94,4.245,4.91333316666667,5.6433335,5.8883335,5.68500016666667,5.895,6.388333,6.77666666666667,6.46166633333333,6.11666683333333,6.08000033333333,6.283333,6.11999983333333,5.3466665,4.87833333333333,4.85833333333333,4.82833283333333,4.12,3.295,2.79166666666667,2.57833333333333,2.115,1.19666663333333,0.365000016666667,-0.136666666666667,-0.43,-1.35,-2.22166666666667,-3.16666666666667,-3.28666666666667,-3.69333333333333,-4.53333333333333,-5.185,-5.3533335,-5.28666616666667,-5.65333333333333,-6.20833333333333,-6.40833333333333,-6.0533335,-6.01333333333333,-6.21666666666667,-6.5,-6.23333316666667,-5.73166666666667,-5.4666665,-5.636667,-5.58666666666667,-4.87,-4.24166666666667,-3.92166683333333,-3.82833333333333,-3.11666666666667,-2.185,-1.42666668333333,-1.16166665,-0.678333333333333,0.246666666666667,1.165,1.68333333333333,1.89666666666667,2.44666666666667,3.325,4.03666666666667,4.07333333333333
-34.02503422,150.66314794,19,3.93,4.599999,5.61,6.31,5.76,5.5,5.96,6.819999,6.599999,5.57,5.31,5.98,6.22,5.19,4.39,4.48,5.039999,4.62,3.46,2.58,2.74,2.93,1.81,0.26,-0.56,-0.34,-1.21,-2.42,-4.12,-3.82,-3.61,-4.48,-5.42,-5.91,-5.379999,-5.01,-5.73,-6.65,-5.91,-5.35,-5.44,-6.24,-6.52,-5.54,-5.06,-5.43,-5.91,-5.22,-4.15,-3.55,-3.76,-3.45,-2.14,-0.9900001,-0.81,-1.01,-0.1,1.49,2.2,1.92,2.05,3.22,4.34,4.37,4.3583335,4.7516665,5.36166683333333,5.77000016666667,5.69,5.71500016666667,6.03499966666667,6.52666666666667,6.39999983333333,6.06833333333333,5.84500033333333,5.9999995,6.0766665,5.48999983333333,4.94666666666667,4.72,4.703333,4.245,3.47666666666667,2.78833333333333,2.34666666666667,2.02166666666667,1.30666663333333,0.366666683333333,-0.311666666666667,-0.735,-1.44166666666667,-2.18,-3.21833333333333,-3.47833333333333,-3.76,-4.3766665,-4.9233335,-5.29000016666667,-5.28833283333333,-5.44166666666667,-5.82833316666667,-6.19499983333333,-6.06166683333333,-5.99333333333333,-6.06666666666667,-6.29166666666667,-6.18499983333333,-5.8216665,-5.473333,-5.4733335,-5.49833333333333,-5.02666666666667,-4.35,-3.81500016666667,-3.59666666666667,-3.07666666666667,-2.235,-1.40166668333333,-0.92666665,-0.521666666666667,0.233333333333333,1.14166666666667,1.86333333333333,2.13666666666667,2.515,3.20833333333333,3.96,4.21
-34.02526297,150.66308534,22,4.64,4.590001,5.23,5.99,6.11,5.74,5.389999,6.31,6.8,6.27,5.440001,5.66,6.369999,5.95,5.02,4.5,4.83,4.71,3.91,2.72,1.82,2.02,1.55,0.25,-0.87,-1.02,-1.22,-2.15,-3.65,-4.08,-3.96,-4.23,-5.06,-5.5,-5.579999,-5.26,-5.349999,-6.15,-6.47,-5.95,-5.38,-5.949999,-6.449999,-5.83,-4.92,-4.740001,-5.44,-5.33,-4.5,-3.76,-3.57,-3.66,-3.06,-1.68,-0.89,-0.64,-0.21,0.77,2.27,2.7,2.46,3.15,4.34,4.829999,4.4783335,4.728333,5.24333333333333,5.776667,5.87333333333333,5.82666683333333,5.95833316666667,6.445,6.5316665,6.22999983333333,5.87666683333333,5.91666633333333,6.058333,5.6766665,5.07999983333333,4.645,4.56499966666667,4.28333333333333,3.61166666666667,2.78666666666667,2.12666666666667,1.89333335,1.28499998333333,0.368333333333333,-0.47833335,-0.97,-1.46166666666667,-2.145,-3.22666666666667,-3.635,-3.83666666666667,-4.24333333333333,-4.785,-5.3283335,-5.4049995,-5.38666666666667,-5.67833333333333,-6.13833316666667,-6.20833333333333,-6.06833333333333,-5.93,-6.16333333333333,-6.2416665,-5.9466665,-5.44999983333333,-5.28000016666667,-5.35333333333333,-5.08666666666667,-4.39,-3.7,-3.40666666666667,-3.06833333333333,-2.32833333333333,-1.50166668333333,-0.841666666666667,-0.48,0.091666666666667,0.978333333333333,1.84333333333333,2.26333333333333,2.53,3.07166666666667,3.88166666666667,4.32666666666667
-34.02532965,150.66306913,23,4.990001,4.59,4.56,5.16,5.67,5.590001,5.53,5.92,6.37,6.51,6,5.76,6.15,6.44,5.84,4.89,4.51,4.44,4.05,3.25,1.84,1.27,1.08,0.24,-0.81,-2.03,-2.08,-2.36,-3.12,-3.98,-4.31,-4.23,-4.15,-4.85,-5.23,-5.13,-4.989999,-5.349999,-5.93,-6.23,-6.03,-5.86,-5.99,-6.289999,-6.029999,-5.489999,-5.3,-5.64,-4.89,-3.96,-3.09,-2.73,-2.48,-1.64,-0.4,0.11,0.53,1.03,2.07,2.82,3.07,3.02,3.48,4.46,4.29000016666667,4.57499983333333,5.18,5.77500033333333,5.77,5.6683335,5.86666633333333,6.46333333333333,6.54333316666667,6.13499983333333,5.775,5.8866665,6.063333,5.58,4.9216665,4.53166666666667,4.56999983333333,4.27,3.50666666666667,2.69,2.15666666666667,1.96666668333333,1.24333331666667,0.266666666666667,-0.535,-0.906666666666667,-1.43666668333333,-2.30666666666667,-3.355,-3.67833333333333,-3.775,-4.225,-4.84,-5.33166683333333,-5.25666616666667,-5.21333333333333,-5.63499983333333,-6.1216665,-6.03833333333333,-5.84,-5.7633335,-6.15833333333333,-6.2766665,-5.84999983333333,-5.38833333333333,-5.31833333333333,-5.48166666666667,-5.10166666666667,-4.27666666666667,-3.62,-3.42,-3.065,-2.23666666666667,-1.33666668333333,-0.76666665,-0.511666666666667,0.19166666,1.15333333333333,1.97166666666667,2.28833333333333,2.44833333333333,3.08,3.93333333333333,4.31999983333333
-34.02539378,150.66305357,24,4.64,4.739999,4.48,5.170001,6.23,6.48,6.15,6.19,6.85,7.319999,6.879999,6.11,5.709999,6.09,5.749999,4.5,3.52,3.61,3.67,2.59,1.27,0.7400001,0.6100001,0.56,-0.6300001,-1.71,-1.73,-1.92,-2.2,-3.36,-4.03,-3.76,-3.63,-4.78,-5.62,-5.63,-5.460001,-5.75,-6.66,-7,-6.33,-5.98,-6.27,-6.76,-6.19,-5.24,-4.72,-4.93,-4.68,-3.55,-2.41,-2.18,-1.92,-1.81,-0.4,0.35,0.33,0.46,1.3,2.45,2.86,2.53,2.87,3.97,4.32166683333333,4.548333,5.17999983333333,5.851667,5.84833333333333,5.671667,5.81333316666667,6.46999983333333,6.6216665,6.1466665,5.70333333333333,5.88333333333333,6.10999966666667,5.63,4.9216665,4.5,4.58499983333333,4.37833333333333,3.605,2.64666666666667,2.15333333333333,2.01500001666667,1.30500001666667,0.216666666666667,-0.66,-0.98333335,-1.36666668333333,-2.27166666666667,-3.36,-3.705,-3.70333333333333,-4.10833333333333,-4.77,-5.33166666666667,-5.26499966666667,-5.175,-5.57999983333333,-6.1916665,-6.18333333333333,-5.99,-5.83166683333333,-6.22833316666667,-6.47833316666667,-5.988333,-5.44333316666667,-5.30999983333333,-5.495,-5.1316665,-4.22333333333333,-3.49999983333333,-3.28,-3.005,-2.23,-1.23833335,-0.673333283333333,-0.476666666666667,0.143333326666667,1.115,1.99,2.27833333333333,2.36,2.96666666666667,3.90166666666667,4.32333333333333
-34.02545794,150.66303628,25,3.51,3.92,5.34,6.320001,5.56,4.99,5.64,6.87,6.63,5.38,4.96,5.65,6.11,4.83,3.89,3.85,4.69,4.42,3.02,2.02,2.55,2.78,1.48,-0.13,-0.6599999,-0.14,-0.7500001,-2.49,-3.86,-3.77,-3.07,-3.83,-5.38,-5.78,-4.77,-4.62,-5.75,-6.66,-5.75,-4.91,-5.130001,-6.34,-6.47,-5.37,-4.71,-5.059999,-5.92,-4.84,-3.28,-2.7,-3.47,-3.22,-1.99,-0.46,-0.6399999,-1.13,0.06999996,1.58,2.28,1.99,1.54,2.73,4.31,4.35,4.35500016666667,4.52333316666667,5.14333316666667,5.83000033333333,5.89666666666667,5.7433335,5.8666665,6.50999983333333,6.735,6.33333316666667,5.865,5.93833333333333,6.12999966666667,5.765,5.0466665,4.54666666666667,4.58166666666667,4.39000016666667,3.64333333333333,2.67833333333333,2.09833333333333,1.85500001666667,1.19166668333333,0.206666666666667,-0.695,-1.07333333333333,-1.38833335,-2.28333333333333,-3.24,-3.66666666666667,-3.705,-4.055,-4.72833333333333,-5.29166666666667,-5.25499983333333,-5.23333333333333,-5.61333316666667,-6.203333,-6.31666683333333,-6.1216665,-6.04000016666667,-6.31999983333333,-6.5866665,-6.178333,-5.6216665,-5.40999983333333,-5.52166666666667,-5.19499983333333,-4.23333333333333,-3.5016665,-3.23166666666667,-2.94333333333333,-2.22,-1.22833333333333,-0.621666616666667,-0.376666666666667,0.228333326666667,1.065,1.99833333333333,2.36166666666667,2.42166666666667,2.93666666666667,3.84333333333333,4.31833333333333
-34.02552398,150.66302078,26,4.22,4.849999,5.859999,6.16,5.76,5.730001,6.21,6.71,6.48,5.83,5.63,6.14,6.1,5.28,4.64,4.78,4.92,4.47,3.52,2.72,2.7,2.35,1.3,0.12,-0.43,-0.6600001,-1.21,-2.29,-3.21,-3.22,-3.24,-4.12,-4.98,-5.17,-5.01,-5.4,-6.2,-6.59,-6.38,-6.5,-6.68,-7,-7.17,-6.139999,-5.75,-5.9,-5.68,-4.829999,-3.84,-3.479999,-3.38,-2.79,-1.79,-0.85,-0.8999998,-0.54,0.24,1.36,1.82,1.79,2.18,3.15,4.07,3.960001,4.2783335,4.46999966666667,5.14999983333333,5.85333366666667,5.91,5.7833335,6.01999983333333,6.62499983333333,6.81666666666667,6.4516665,5.99999983333333,6.06166666666667,6.17333333333333,5.8,5.07666633333333,4.57833333333333,4.55833333333333,4.33666683333333,3.615,2.63666666666667,2.14666666666667,1.84333335,1.15166668333333,0.19,-0.623333333333333,-1.07,-1.39000001666667,-2.29,-3.14666666666667,-3.57166666666667,-3.62333333333333,-3.98,-4.65833316666667,-5.25333333333333,-5.195,-5.235,-5.69,-6.27833316666667,-6.36166683333333,-6.2016665,-6.196667,-6.44833333333333,-6.68333333333333,-6.33166633333333,-5.79333316666667,-5.5849995,-5.60333333333333,-5.24333316666667,-4.24666666666667,-3.51333316666667,-3.21666666666667,-2.81666666666667,-2.05166666666667,-1.09833333333333,-0.5533333,-0.33166665,0.256666663333333,1.08833333333333,1.99833333333333,2.30333333333333,2.36,2.82666666666667,3.74333333333333,4.20666683333333
