Lat,Lon,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64
-34.02130219,150.66356393,3,4.12,4.59,4.96,5.3,5.67,5.960001,6.08,6.2,6.31,6.4,6.34,6.129999,5.99,5.840001,5.62,5.23,4.79,4.420001,3.95,3.44,2.91,2.3,1.67,1.01,0.31,-0.4199999,-1.07,-1.69,-2.26,-2.88,-3.450001,-3.87,-4.29,-4.7,-5.08,-5.44,-5.68,-5.98,-6.21,-6.43,-6.46,-6.44,-6.34,-6.21,-5.98,-5.62,-5.25,-4.88,-4.48,-4.04,-3.51,-3.04,-2.56,-2.1,-1.51,-0.9400001,-0.4200001,0.2,0.7300001,1.43,2.02,2.55,3.09,3.640001
-34.02129795,150.6635682,4,4.090001,4.54,5.069999,5.52,5.86,6.2,6.460001,6.7,6.66,6.73,6.72,6.62,6.43,6.14,5.81,5.45,5.119999,4.68,4.14,3.560001,3.08,2.48,1.81,1.11,0.5400001,-0.08,-0.74,-1.47,-2.23,-2.83,-3.53,-4.12,-4.64,-5.02,-5.28,-5.54,-5.79,-5.97,-6.11,-6.2,-6.33,-6.43,-6.44,-6.32,-6.15,-6.07,-5.83,-5.55,-5.11,-4.68,-4.21,-3.72,-3.02,-2.41,-1.82,-1.15,-0.4799999,0.2,0.81,1.35,1.94,2.57,3.16,3.64
-34.02129458,150.66356783,5,3.82,4.31,4.809999,5.15,5.39,5.69,5.969999,6.11,6.15,6.18,6.27,6.24,6.11,5.81,5.6,5.35,5.04,4.57,4.02,3.5,2.99,2.34,1.7,1.0,0.38,-0.16,-0.8999999,-1.58,-2.28,-2.84,-3.440001,-4.04,-4.53,-4.95,-5.19,-5.5,-5.789999,-5.970001,-6.06,-6.13,-6.25,-6.06,-5.859999,-5.610001,-5.45,-5.2,-4.92,-4.6,-4.31,-3.990001,-3.670001,-3.280001,-2.77,-2.2,-1.67,-1.13,-0.45,0.11,0.7,1.21,1.77,2.38,2.87,3.34
-34.02129595,150.66356605,6,4.07,4.530001,4.96,5.290001,5.44,5.72,6.0,6.210001,6.26,6.3,6.25,6.25,6.14,5.84,5.51,5.23,4.9,4.39,3.84,3.27,2.78,2.17,1.51,0.8400001,0.25,-0.3,-0.85,-1.49,-2.09,-2.56,-3.08,-3.69,-4.22,-4.71,-5.049999,-5.420001,-5.8,-6.03,-6.140001,-6.23,-6.32,-6.390001,-6.239999,-6.05,-5.85,-5.6,-5.289999,-4.86,-4.43,-4.08,-3.75,-3.340001,-2.78,-2.26,-1.71,-1.09,-0.43,0.22,0.9,1.43,2.04,2.69,3.27,3.7
-34.02129387,150.66356598,7,4.37,4.76,5.07,5.52,5.85,6.210001,6.36,6.54,6.62,6.67,6.590001,6.39,6.159999,5.94,5.740001,5.32,4.83,4.46,4.01,3.49,2.84,2.23,1.81,1.26,0.63,-0.13,-0.8,-1.47,-2.15,-2.89,-3.690001,-4.2,-4.64,-5.119999,-5.56,-5.82,-6.000001,-6.18,-6.4,-6.59,-6.68,-6.57,-6.51,-6.28,-6.09,-5.75,-5.339999,-5.13,-4.94,-4.54,-3.950001,-3.5,-2.99,-2.44,-1.66,-0.92,-0.23,0.36,0.99,1.71,2.26,2.77,3.27,3.8
-34.02129224,150.66356939,9,3.860001,4.37,4.81,5.19,5.59,5.929999,6.19,6.200001,6.21,6.27,6.17,6.03,5.85,5.610001,5.37,5.090001,4.74,4.32,3.890001,3.460001,2.88,2.37,1.83,1.24,0.61,-0.08999998,-0.77,-1.5,-2.16,-2.82,-3.43,-3.91,-4.25,-4.57,-5.03,-5.329999,-5.52,-5.660001,-5.82,-6.0,-6.050001,-6.039999,-6.04,-5.97,-5.83,-5.6,-5.37,-5.039999,-4.76,-4.37,-3.79,-3.22,-2.67,-2.09,-1.55,-0.8999999,-0.25,0.23,0.77,1.29,1.8,2.28,2.77,3.32
-34.02129108,150.66357177,10,3.560001,4.07,4.57,5.059999,5.440001,5.78,6.039999,6.28,6.420001,6.36,6.19,6.05,5.91,5.58,5.24,4.89,4.7,4.46,4.07,3.63,3.1,2.6,2.03,1.3,0.59,0.07,-0.55,-1.29,-2.02,-2.68,-3.22,-3.78,-4.34,-4.82,-5.19,-5.379999,-5.62,-5.86,-6.079999,-6.210001,-6.3,-6.41,-6.49,-6.35,-6.06,-5.76,-5.44,-5.02,-4.45,-3.97,-3.42,-2.97,-2.42,-1.8,-1.26,-0.77,-0.31,0.23,0.81,1.3,1.66,2.11,2.66,3.16
-34.02129025,150.66357286,11,3.9,4.29,4.76,5.19,5.49,5.79,6.1,6.360001,6.43,6.46,6.330001,6.15,5.98,5.76,5.43,5.05,4.74,4.38,3.99,3.47,2.95,2.43,1.88,1.17,0.49,-0.12,-0.72,-1.39,-2.09,-2.72,-3.24,-3.83,-4.37,-4.869999,-5.22,-5.48,-5.76,-5.98,-6.130001,-6.17,-6.17,-6.23,-6.2,-6.03,-5.79,-5.52,-5.259999,-4.92,-4.45,-4.05,-3.66,-3.24,-2.8,-2.17,-1.65,-1.08,-0.42,0.25,0.9,1.47,1.96,2.48,3.03,3.58
-34.02128986,150.66357328,12,4.04,4.38,4.81,5.19,5.59,5.75,6.01,6.26,6.43,6.48,6.43,6.33,6.13,5.89,5.52,5.12,4.78,4.38,3.83,3.31,2.79,2.36,1.82,1.18,0.5,-0.16,-0.72,-1.46,-2.18,-2.84,-3.44,-3.950001,-4.53,-4.94,-5.3,-5.46,-5.770001,-6.0,-6.21,-6.260001,-6.29,-6.31,-6.27,-6.13,-5.96,-5.73,-5.44,-5.119999,-4.79,-4.31,-3.8,-3.32,-2.77,-2.1,-1.42,-0.8400001,-0.3,0.37,1.02,1.55,2.07,2.61,3.18,3.670001
-34.02128981,150.66357339,13,3.810001,4.27,4.77,5.22,5.5,5.83,6.13,6.31,6.370001,6.38,6.280001,6.220001,6.05,5.82,5.54,5.15,4.87,4.47,4.03,3.52,3.03,2.59,2.02,1.32,0.7,0.05,-0.6099999,-1.35,-1.97,-2.65,-3.24,-3.860001,-4.43,-4.94,-5.240001,-5.56,-5.82,-6.06,-6.18,-6.329999,-6.329999,-6.48,-6.49,-6.35,-6.09,-5.83,-5.46,-5.02,-4.55,-4.0,-3.59,-3.1,-2.6,-2.02,-1.45,-0.95,-0.38,0.18,0.7799999,1.3,1.78,2.38,2.87,3.340001
