DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20180416,1346.45,,,,,,,,,$PDLM1,101349,+4.0,+0.04,+22.8,-5.27,,,,,,,
20180416,1346.46,,,,,,,,,$PDLM2,101349,+1.3,+4.21,+9.7,-7.66,,,,,,,
20180416,1346.46,,,,,,,,,$PDLMA,+12.80,+25.9,+0.0,-3.3,,,,,,,,
20180416,1347,51806,150.6631850,-34.0248533,63.88,86.68,0,0,gps,,,,,,,,,,,,,
20180416,1347.45,,,,,,,,,$PDLM1,101350,+3.9,+0.04,+22.9,-5.27,,,,,,,
20180416,1347.46,,,,,,,,,$PDLM2,101350,+1.5,+4.25,+9.7,-7.68,,,,,,,
20180416,1347.46,,,,,,,,,$PDLMA,+12.78,+25.9,+0.0,-3.3,,,,,,,,
20180416,1348,51806,150.6631850,-34.0248533,63.88,86.68,0,0,gps,,,,,,,,,,,,,
20180416,1348.45,,,,,,,,,$PDLM1,101351,+4.4,+0.04,+22.8,-5.27,,,,,,,
20180416,1348.46,,,,,,,,,$PDLM2,101351,+1.5,+4.21,+9.7,-7.65,,,,,,,
20180416,1348.48,,,,,,,,,$PDLMA,+12.80,+25.9,+0.0,-3.3,,,,,,,,
20180416,1349,51806,150.6631850,-34.0248533,63.88,86.68,0,0,gps,,,,,,,,,,,,,
20180416,1349.45,,,,,,,,,$PDLM1,101352,+4.1,+0.04,+22.8,-5.27,,,,,,,
20180416,1349.46,,,,,,,,,$PDLM2,101352,+1.1,+4.22,+9.8,-7.66,,,,,,,
20180416,1349.46,,,,,,,,,$PDLMA,+12.78,+25.9,+0.1,-3.2,,,,,,,,
20180416,1350,51806,150.6631850,-34.0248533,63.88,86.68,0,0,gps,,,,,,,,,,,,,
20180416,1350.45,,,,,,,,,$PDLM1,101353,+3.9,+0.03,+23.0,-5.28,,,,,,,
20180416,1350.46,,,,,,,,,$PDLM2,101353,+1.3,+4.22,+10.1,-7.67,,,,,,,
20180416,1350.48,,,,,,,,,$PDLMA,+12.78,+25.9,+0.0,-3.2,,,,,,,,
20180416,1351,51806,150.6631850,-34.0248533,63.88,86.68,0,0,gps,,,,,,,,,,,,,
20180416,1351.45,,,,,,,,,$PDLM1,101354,+4.1,+0.04,+22.7,-5.28,,,,,,,
