,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,smooth
0,3,150.663185,-34.0248533,3.9,1.5,0.04,4.25,22.9,9.7,-5.27,-7.68,
1,7,150.663185,-34.0248533,4.4,1.5,0.04,4.21,22.8,9.7,-5.27,-7.65,
2,11,150.663185,-34.0248533,4.1,1.1,0.04,4.22,22.8,9.8,-5.27,-7.66,4.08
3,15,150.663185,-34.0248533,3.9,1.3,0.03,4.22,23,10.1,-5.28,-7.67,4.1
4,19,150.663185,-34.0248533,4.1,1.2,0.04,4.22,22.7,10,-5.28,-7.65,4.02
5,23,150.663185,-34.0248533,4,1.4,0.04,4.21,22.9,9.5,-5.28,-7.67,3.92
6,27,150.663185,-34.0248533,4,1.6,0.05,4.22,22.9,9.4,-5.27,-7.66,3.94
7,31,150.663185,-34.0248533,3.6,1.3,0.05,4.24,23,9.7,-5.28,-7.67,3.98
8,35,150.663185,-34.0248533,4,1.2,0.04,4.24,22.9,9.4,-5.28,-7.68,4.04
9,39,150.663185,-34.0248533,4.3,0.9,0.04,4.22,22.9,10.2,-5.27,-7.67,4.04
10,43,150.663185,-34.0248533,4.3,1.6,0.04,4.24,22.9,9.9,-5.28,-7.67,4.12
11,47,150.663185,-34.0248533,4,1.1,0.04,4.21,22.9,9.7,-5.28,-7.66,4.2
12,51,150.663185,-34.0248533,4,1.3,0.05,4.22,22.7,9.9,-5.28,-7.7,4.18
13,55,150.663185,-34.0248533,4.4,1.5,0.05,4.22,22.8,9.6,-5.28,-7.69,4.2
14,59,150.663185,-34.0248533,4.2,1.1,0.04,4.23,22.7,10.1,-5.28,-7.67,4.24
15,63,150.663185,-34.0248533,4.4,1.3,0.04,4.23,22.8,9.7,-5.28,-7.69,4.3
16,67,150.663185,-34.0248533,4.2,1.4,0.04,4.22,22.7,9.6,-5.28,-7.69,4.26
17,71,150.663185,-34.0248533,4.3,1.2,0.04,4.24,23,9.7,-5.28,-7.7,4.24
18,75,150.663185,-34.0248533,4.2,1.1,0.04,4.24,23,9.7,-5.28,-7.67,4.18
19,79,150.663185,-34.0248533,4.1,1.1,0.04,4.22,22.8,9.8,-5.28,-7.67,4.16
20,83,150.663185,-34.0248533,4.1,1.3,0.04,4.22,22.8,9.6,-5.28,-7.68,4.12
21,87,150.663185,-34.0248533,4.1,1.4,0.04,4.25,22.9,9.7,-5.28,-7.66,4.1
22,91,150.663185,-34.0248533,4.1,1.3,0.05,4.23,22.9,9.7,-5.28,-7.66,4.14
23,95,150.663185,-34.0248533,4.1,1.3,0.05,4.21,22.9,9.8,-5.28,-7.69,4.14
24,99,150.663185,-34.0248533,4.3,1.4,0.04,4.22,22.9,9.9,-5.28,-7.67,4.1
25,103,150.663185,-34.0248533,4.1,1.1,0.04,4.24,23,9.9,-5.28,-7.67,4.06
26,107,150.663185,-34.0248533,3.9,1.2,0.04,4.23,22.8,9.5,-5.28,-7.67,4.08
27,111,150.663185,-34.0248533,3.9,1.3,0.04,4.22,23,9.7,-5.28,-7.68,4.06
28,115,150.663185,-34.0248533,4.2,1.4,0.05,4.24,22.9,9.9,-5.28,-7.69,4.1
29,119,150.663185,-34.0248533,4.2,1.3,0.05,4.23,22.8,9.5,-5.28,-7.7,4.16
30,123,150.663185,-34.0248533,4.3,1.3,0.04,4.27,22.9,9.6,-5.28,-7.68,4.22
31,127,150.663185,-34.0248533,4.2,0.9,0.05,4.23,22.8,9.7,-5.28,-7.67,4.22
32,131,150.663185,-34.0248533,4.2,1.4,0.05,4.23,22.8,9.9,-5.28,-7.7,4.24
33,135,150.663185,-34.0248533,4.2,1.1,0.05,4.23,22.8,9.8,-5.29,-7.69,4.22
34,139,150.663185,-34.0248533,4.3,1.3,0.04,4.22,23.5,10.5,-5.29,-7.73,4.2
35,143,150.663185,-34.0248533,4.2,1.3,0.04,4.23,23.1,10.3,-5.29,-7.75,4.22
36,147,150.663185,-34.0248533,4.1,1.2,0.05,4.24,22.8,9.5,-5.29,-7.69,4.26
37,151,150.663185,-34.0248533,4.3,1.1,0.04,4.26,22.9,9.5,-5.29,-7.68,4.28
38,155,150.663185,-34.0248533,4.4,1.5,0.04,4.23,22.8,10.1,-5.3,-7.73,4.28
39,159,150.663185,-34.0248533,4.4,1.6,0.04,4.22,23,10.1,-5.3,-7.7,4.26
40,163,150.663185,-34.0248533,4.2,1.2,0.05,4.23,22.9,10,-5.29,-7.71,4.16
41,167,150.663185,-34.0248533,4,1.1,0.03,4.24,22.8,9.6,-5.29,-7.72,4.16
42,171,150.663185,-34.0248533,3.8,1.2,0.04,4.24,22.8,9.5,-5.3,-7.7,4.14
43,175,150.663185,-34.0248533,4.4,1.1,0.03,4.21,23,9.8,-5.29,-7.72,4.02
44,179,150.6631867,-34.0248583,4.3,1.4,0.06,4.2,22.7,9.8,-5.28,-7.75,4.04
