Lon,Lat,1mHCPcon
150.6631867,-34.0248583,4.1
150.6631867,-34.0248667,4.3
150.6631883,-34.0248783,4.725
150.6631883,-34.0248917,4.925
150.6631867,-34.024905,4.675
150.6631867,-34.02492,4.775
150.663185,-34.0249367,4.675
150.6631817,-34.024955,4.775
150.6631767,-34.0249767,5.5
150.6631717,-34.0249983,5.775
150.6631667,-34.0250217,5.575
150.66316,-34.0250467,5.075
150.6631533,-34.0250717,4.175
150.6631467,-34.0251,3.575
150.6631383,-34.0251283,3.65
150.66313,-34.0251567,3.95
150.6631233,-34.0251867,4.425
150.663115,-34.0252183,4.4
150.6631067,-34.0252483,4.025
150.6631,-34.02528,3.9
150.6630917,-34.0253133,4.05
150.663085,-34.025345,4.3
150.6630767,-34.0253783,4.65
150.66307,-34.0254117,5
150.6630617,-34.0254433,5
150.6630533,-34.0254767,4.9
150.663045,-34.02551,4.725
150.663035,-34.0255433,4.2
150.6630267,-34.0255767,3.65
150.6630167,-34.02561,3.25
150.6630083,-34.025645,2.925
150.663,-34.0256783,2.75
150.66299,-34.0257133,2.6
150.6629817,-34.0257467,2.5
150.6629717,-34.0257817,2.375
150.6629633,-34.0258167,2.125
150.662955,-34.02585,2.225
150.6629467,-34.025885,2.375
150.6629383,-34.0259183,2.425
150.66293,-34.0259533,2.4
150.6629217,-34.0259867,2.05
150.662915,-34.02602,1.8
150.6629067,-34.026055,1.325
150.6628983,-34.0260883,1.375
150.66289,-34.0261217,1.65
150.6628833,-34.0261567,1.7
150.6628733,-34.02619,2.1
150.6628667,-34.0262233,2.275
150.6628583,-34.0262567,2.2
150.66285,-34.0262883,2.5
150.6628417,-34.0263217,2.775
150.6628333,-34.0263533,3.325
150.662825,-34.026385,3.825
150.6628167,-34.026415,3.65
150.66281,-34.0264467,3.275
150.662805,-34.0264767,2.35
150.6627983,-34.026505,1.6
150.662785,-34.02653,1.6
150.6627617,-34.026545,1.8
150.6627333,-34.0265433,2.425
150.6627117,-34.02653,2.55
150.662705,-34.0265083,2.2
150.6627083,-34.026485,1.325
150.6627167,-34.0264617,0.675
150.662725,-34.026435,0.65
150.6627333,-34.026405,1.1
150.66274,-34.026375,1.925
150.6627483,-34.0263417,2.3
150.662755,-34.02631,2.35
150.6627633,-34.0262783,2
150.66277,-34.026245,1.75
150.66278,-34.0262117,1.7
150.6627883,-34.0261783,1.75
150.6627967,-34.026145,1.875
150.6628067,-34.0261117,2.15
150.6628167,-34.0260767,2.125
150.6628267,-34.0260417,2.2
150.662835,-34.0260083,2.35
150.662845,-34.0259733,2.3
150.6628517,-34.0259417,2.55
150.66286,-34.0259133,2.775
150.6628667,-34.025885,2.875
150.662875,-34.025855,3.125
150.6628817,-34.0258233,3.15
150.66289,-34.0257917,3.175
150.6628983,-34.0257583,3.275
150.6629067,-34.0257267,3.375
150.662915,-34.0256933,3.85
150.6629233,-34.0256617,4.375
150.6629317,-34.0256283,4.925
150.66294,-34.025595,5.6
150.6629483,-34.0255633,6.025
150.6629567,-34.02553,6.5
150.6629667,-34.0254967,6.9
150.662975,-34.0254633,6.875
150.6629833,-34.02543,6.7
150.6629917,-34.0253967,6.3
150.663,-34.0253633,5.975
150.66301,-34.02533,5.825
150.6630183,-34.0252967,5.85
150.6630267,-34.0252633,6.175
150.663035,-34.02523,6.65
150.6630433,-34.0251967,7.025
150.6630517,-34.0251633,7.15
150.66306,-34.0251317,7.025
150.6630683,-34.0251,6.925
150.6630767,-34.0250683,6.825
150.6630833,-34.0250367,6.925
150.6630917,-34.025005,6.975
150.6630983,-34.0249733,6.65
150.6631067,-34.0249433,6.05
150.663115,-34.024915,5.125
150.6631217,-34.0248883,4.425
150.6631233,-34.0248633,3.8
150.6631117,-34.02484,3.725
150.6630867,-34.0248283,3.925
150.6630583,-34.0248283,3.95
150.6630367,-34.0248433,3.325
150.6630233,-34.0248667,3.625
150.6630183,-34.0248917,4.275
150.663015,-34.0249167,5.075
150.6630083,-34.024945,6.5
150.6630033,-34.0249767,6.975
150.662995,-34.0250083,7.1
150.6629867,-34.0250417,7.175
150.6629783,-34.025075,7.2
150.66297,-34.02511,7.025
150.6629617,-34.0251467,6.975
150.6629533,-34.0251833,6.8
150.6629433,-34.02522,6.775
150.662935,-34.0252567,6.975
150.662925,-34.025295,6.95
150.662915,-34.0253317,7
150.6629067,-34.0253683,7.2
150.6628967,-34.025405,7.325
150.6628883,-34.02544,7.525
150.66288,-34.025475,7.625
150.6628717,-34.02551,7.5
150.6628633,-34.025545,7.125
150.662855,-34.02558,6.625
150.6628467,-34.0256133,6.025
150.6628383,-34.0256467,5.275
150.66283,-34.02568,4.7
150.6628217,-34.0257117,4.4
150.6628133,-34.025745,4.25
150.662805,-34.0257767,4.45
150.6627967,-34.0258083,4.05
150.6627883,-34.02584,3.525
150.66278,-34.02587,3.025
150.6627717,-34.0259017,2.3
150.6627633,-34.0259317,2.55
150.6627567,-34.0259633,2.85
150.6627483,-34.0259933,2.975
150.6627417,-34.026025,2.85
150.6627333,-34.026055,2.575
150.6627267,-34.0260867,2.125
150.6627183,-34.0261183,1.9
150.6627117,-34.0261483,1.9
150.662705,-34.02618,1.75
150.6626983,-34.0262117,1.625
150.66269,-34.0262433,1.65
150.6626817,-34.0262733,1.65
150.6626733,-34.026305,1.45
150.662665,-34.0263367,1.4
150.6626567,-34.0263667,1.275
150.6626483,-34.0263967,1.55
150.66264,-34.0264267,2.1
150.66263,-34.0264533,2.075
150.6626133,-34.0264767,1.775
150.6625867,-34.0264883,1.3
150.6625583,-34.0264817,0.525
150.66254,-34.026465,1.225
150.6625367,-34.02644,1.275
150.662545,-34.0264167,1.475
150.6625567,-34.0263917,1.975
150.6625667,-34.026365,1.55
150.6625767,-34.0263383,1.875
150.6625833,-34.0263117,1.85
150.66259,-34.026285,1.55
150.6625983,-34.0262567,1.625
150.662605,-34.0262283,1.675
150.6626117,-34.0261983,1.975
150.66262,-34.0261683,2.15
150.6626283,-34.0261383,1.9
150.6626367,-34.0261067,2.05
150.662645,-34.026075,2.025
150.6626517,-34.026045,2.275
150.66266,-34.0260133,2.725
150.6626683,-34.0259817,2.875
150.6626767,-34.02595,3
150.662685,-34.0259183,2.925
150.6626917,-34.0258883,2.65
150.6626983,-34.0258567,2.525
150.6627067,-34.0258267,2.525
150.6627133,-34.0257983,2.825
150.66272,-34.0257683,3.375
150.6627267,-34.0257383,3.7
150.662735,-34.0257067,4.05
150.6627433,-34.0256767,4.125
150.6627517,-34.025645,4.275
150.66276,-34.0256117,4.525
150.6627667,-34.02558,4.75
150.662775,-34.0255467,5.275
150.6627833,-34.0255133,5.5
150.66279,-34.02548,5.85
150.6627983,-34.0254467,6.375
150.6628067,-34.0254117,6.7
150.662815,-34.0253783,6.975
150.6628233,-34.025345,7.25
150.6628333,-34.02531,7.2
150.6628433,-34.0252767,7.275
150.6628517,-34.0252417,7.35
150.6628617,-34.0252083,7.475
150.66287,-34.0251733,7.725
150.6628783,-34.0251383,7.725
150.6628867,-34.025105,7.975
150.662895,-34.02507,7.95
150.6629033,-34.025035,7.85
150.6629133,-34.025,7.8
150.6629217,-34.024965,7.4
150.66293,-34.02493,6.725
150.66294,-34.0248983,5.85
150.66295,-34.024865,5
150.6629633,-34.0248383,4.65
150.6629683,-34.02481,4.925
150.662955,-34.0247883,5.375
150.66293,-34.0247767,6
150.6629017,-34.02478,5.95
150.6628783,-34.024795,5.5
150.662865,-34.0248167,5.375
150.6628583,-34.02484,5.45
150.6628533,-34.024865,6.25
150.6628483,-34.0248933,7.075
150.6628417,-34.0249217,7.9
150.662835,-34.024955,8.85
150.6628267,-34.0249883,9.525
150.6628183,-34.0250233,10.1
150.66281,-34.0250583,10.55
150.6628017,-34.0250917,10.575
150.6627933,-34.0251267,10.125
150.6627867,-34.0251583,9.675
150.6627783,-34.0251917,8.925
150.66277,-34.0252233,8.25
150.6627617,-34.025255,8.025
150.662755,-34.0252867,7.875
150.6627467,-34.0253167,7.85
150.6627383,-34.0253483,7.9
150.66273,-34.0253783,7.85
150.6627217,-34.02541,7.875
150.6627133,-34.0254417,7.825
150.662705,-34.0254733,7.575
150.6626967,-34.0255067,7.25
150.6626883,-34.0255383,6.85
150.6626817,-34.0255717,6.475
150.6626733,-34.0256033,6.175
150.6626633,-34.025635,5.85
150.6626567,-34.0256683,5.6
150.6626483,-34.0257,5.225
150.6626383,-34.0257317,4.75
150.6626317,-34.025765,4.5
150.6626233,-34.0257967,3.8
150.662615,-34.0258283,3.125
150.6626067,-34.0258583,2.625
150.6625983,-34.02589,2.125
150.66259,-34.0259233,2.15
150.6625817,-34.025955,2.475
150.6625733,-34.0259867,2.725
150.662565,-34.02602,2.825
150.6625567,-34.0260533,2.825
150.6625483,-34.026085,2.55
150.66254,-34.0261183,2.075
150.6625317,-34.0261517,1.7
150.662525,-34.0261833,1.225
150.6625167,-34.0262167,1.225
150.66251,-34.02625,1.475
150.6625017,-34.0262833,1.75
150.662495,-34.0263167,2.125
150.6624867,-34.02635,1.725
150.6624783,-34.0263817,1.1
150.6624767,-34.0264117,0.55
150.6624817,-34.0264417,0.275
150.6624817,-34.0264717,-1.15
150.6624683,-34.0264967,-0.675
150.6624433,-34.02651,-0.6
150.662415,-34.02651,-0.825
150.6623917,-34.0264967,0.325
150.66238,-34.026475,0.075
150.6623817,-34.02645,0.2
