,DUALEM,OpenEM,X1,X2,Y1,Y2
0,4.9447,3.3747,150.662255,150.662255,-34.024695,-34.024695
1,4.93376,3.318,150.662265,150.662265,-34.024695,-34.024695
2,4.93086,3.25631,150.662275,150.662275,-34.024695,-34.024695
3,4.93654,3.18987,150.662285,150.662285,-34.024695,-34.024695
4,4.95146,3.1219,150.662295,150.662295,-34.024695,-34.024695
5,4.97436,3.05968,150.662305,150.662305,-34.024695,-34.024695
6,4.99279,3.01219,150.662315,150.662315,-34.024695,-34.024695
7,4.99355,2.98369,150.662325,150.662325,-34.024695,-34.024695
8,4.90262,3.34414,150.662255,150.662255,-34.024705,-34.024705
9,4.88935,3.28139,150.662265,150.662265,-34.024705,-34.024705
10,4.88896,3.21039,150.662275,150.662275,-34.024705,-34.024705
11,4.90036,3.12886,150.662285,150.662285,-34.024705,-34.024705
12,4.92392,3.03945,150.662295,150.662295,-34.024705,-34.024705
13,4.97509,2.95428,150.662305,150.662305,-34.024705,-34.024705
14,5.02805,2.89329,150.662315,150.662315,-34.024705,-34.024705
15,5.01155,2.86825,150.662325,150.662325,-34.024705,-34.024705
16,4.98989,2.86753,150.662335,150.662335,-34.024705,-34.024705
17,4.97889,2.86885,150.662345,150.662345,-34.024705,-34.024705
18,4.94858,2.86059,150.662355,150.662355,-34.024705,-34.024705
19,4.9306,2.84175,150.662365,150.662365,-34.024705,-34.024705
20,4.93621,2.81138,150.662375,150.662375,-34.024705,-34.024705
21,4.95604,2.76516,150.662385,150.662385,-34.024705,-34.024705
22,4.98276,2.70189,150.662395,150.662395,-34.024705,-34.024705
23,5.01322,2.63465,150.662405,150.662405,-34.024705,-34.024705
24,5.04577,2.59356,150.662415,150.662415,-34.024705,-34.024705
25,5.07815,2.60397,150.662425,150.662425,-34.024705,-34.024705
26,4.84881,3.31364,150.662255,150.662255,-34.024715,-34.024715
27,4.8299,3.24699,150.662265,150.662265,-34.024715,-34.024715
28,4.83503,3.16868,150.662275,150.662275,-34.024715,-34.024715
29,4.86485,3.07065,150.662285,150.662285,-34.024715,-34.024715
30,4.8852,2.95086,150.662295,150.662295,-34.024715,-34.024715
31,4.95894,2.82613,150.662305,150.662305,-34.024715,-34.024715
32,5.06781,2.73945,150.662315,150.662315,-34.024715,-34.024715
33,5.02172,2.72511,150.662325,150.662325,-34.024715,-34.024715
34,5.00139,2.75376,150.662335,150.662335,-34.024715,-34.024715
35,5.01146,2.77194,150.662345,150.662345,-34.024715,-34.024715
36,4.91542,2.76594,150.662355,150.662355,-34.024715,-34.024715
37,4.87608,2.74653,150.662365,150.662365,-34.024715,-34.024715
38,4.8927,2.71557,150.662375,150.662375,-34.024715,-34.024715
39,4.92608,2.65896,150.662385,150.662385,-34.024715,-34.024715
40,4.96579,2.56225,150.662395,150.662395,-34.024715,-34.024715
41,5.01036,2.43912,150.662405,150.662405,-34.024715,-34.024715
42,5.06032,2.35485,150.662415,150.662415,-34.024715,-34.024715
43,5.11106,2.37811,150.662425,150.662425,-34.024715,-34.024715
44,5.15289,2.48642,150.662435,150.662435,-34.024715,-34.024715
45,5.21275,2.60062,150.662445,150.662445,-34.024715,-34.024715
46,5.29168,2.67349,150.662455,150.662455,-34.024715,-34.024715
47,5.2549,2.70134,150.662465,150.662465,-34.024715,-34.024715
48,5.24384,2.70448,150.662475,150.662475,-34.024715,-34.024715
49,5.25775,2.71138,150.662485,150.662485,-34.024715,-34.024715
50,5.12949,2.74264,150.662495,150.662495,-34.024715,-34.024715
51,5.0007,2.79963,150.662505,150.662505,-34.024715,-34.024715
52,4.92559,2.86857,150.662515,150.662515,-34.024715,-34.024715
53,4.78063,3.28124,150.662255,150.662255,-34.024725,-34.024725
54,4.74631,3.2151,150.662265,150.662265,-34.024725,-34.024725
55,4.74307,3.13654,150.662275,150.662275,-34.024725,-34.024725
56,4.82307,3.02732,150.662285,150.662285,-34.024725,-34.024725
57,4.87219,2.87358,150.662295,150.662295,-34.024725,-34.024725
58,4.9111,2.69038,150.662305,150.662305,-34.024725,-34.024725
59,4.97464,2.55717,150.662315,150.662315,-34.024725,-34.024725
60,4.9723,2.56503,150.662325,150.662325,-34.024725,-34.024725
61,4.96533,2.64398,150.662335,150.662335,-34.024725,-34.024725
62,4.94249,2.67387,150.662345,150.662345,-34.024725,-34.024725
63,4.81129,2.65506,150.662355,150.662355,-34.024725,-34.024725
64,4.78916,2.63237,150.662365,150.662365,-34.024725,-34.024725
65,4.83805,2.61273,150.662375,150.662375,-34.024725,-34.024725
66,4.8895,2.5594,150.662385,150.662385,-34.024725,-34.024725
67,4.94612,2.42733,150.662395,150.662395,-34.024725,-34.024725
68,5.0086,2.21438,150.662405,150.662405,-34.024725,-34.024725
69,5.08608,2.04523,150.662415,150.662415,-34.024725,-34.024725
70,5.18255,2.09756,150.662425,150.662425,-34.024725,-34.024725
