,DUALEM,OpenEM,X1,X2,Y1,Y2
0,4.9447,3.91326,150.662255,150.662255,-34.024695,-34.024695
1,4.93376,3.87036,150.662265,150.662265,-34.024695,-34.024695
2,4.93086,3.82398,150.662275,150.662275,-34.024695,-34.024695
3,4.93654,3.77365,150.662285,150.662285,-34.024695,-34.024695
4,4.95146,3.7189,150.662295,150.662295,-34.024695,-34.024695
5,4.97436,3.65948,150.662305,150.662305,-34.024695,-34.024695
6,4.99279,3.59574,150.662315,150.662315,-34.024695,-34.024695
7,4.99355,3.52961,150.662325,150.662325,-34.024695,-34.024695
8,4.90262,3.89708,150.662255,150.662255,-34.024705,-34.024705
9,4.88935,3.85143,150.662265,150.662265,-34.024705,-34.024705
10,4.88896,3.80159,150.662275,150.662275,-34.024705,-34.024705
11,4.90036,3.74675,150.662285,150.662285,-34.024705,-34.024705
12,4.92392,3.68592,150.662295,150.662295,-34.024705,-34.024705
13,4.97509,3.61795,150.662305,150.662305,-34.024705,-34.024705
14,5.02805,3.54191,150.662315,150.662315,-34.024705,-34.024705
15,5.01155,3.45854,150.662325,150.662325,-34.024705,-34.024705
16,4.98989,3.37335,150.662335,150.662335,-34.024705,-34.024705
17,4.97889,3.2996,150.662345,150.662345,-34.024705,-34.024705
18,4.94858,3.25467,150.662355,150.662355,-34.024705,-34.024705
19,4.9306,3.24848,150.662365,150.662365,-34.024705,-34.024705
20,4.93621,3.27532,150.662375,150.662375,-34.024705,-34.024705
21,4.95604,3.3161,150.662385,150.662385,-34.024705,-34.024705
22,4.98276,3.3512,150.662395,150.662395,-34.024705,-34.024705
23,5.01322,3.37044,150.662405,150.662405,-34.024705,-34.024705
24,5.04577,3.3722,150.662415,150.662415,-34.024705,-34.024705
25,5.07815,3.35927,150.662425,150.662425,-34.024705,-34.024705
26,4.84881,3.88227,150.662255,150.662255,-34.024715,-34.024715
27,4.8299,3.83438,150.662265,150.662265,-34.024715,-34.024715
28,4.83503,3.78172,150.662275,150.662275,-34.024715,-34.024715
29,4.86485,3.72319,150.662285,150.662285,-34.024715,-34.024715
