,DUALEM,OpenEM,X1,X2,Y1,Y2
0,3.91326,3.3747,150.662255,150.662255,-34.024695,-34.024695
1,3.87036,3.318,150.662265,150.662265,-34.024695,-34.024695
2,3.82398,3.25631,150.662275,150.662275,-34.024695,-34.024695
3,3.77365,3.18987,150.662285,150.662285,-34.024695,-34.024695
4,3.7189,3.1219,150.662295,150.662295,-34.024695,-34.024695
5,3.65948,3.05968,150.662305,150.662305,-34.024695,-34.024695
6,3.59574,3.01219,150.662315,150.662315,-34.024695,-34.024695
7,3.52961,2.98369,150.662325,150.662325,-34.024695,-34.024695
8,3.89708,3.34414,150.662255,150.662255,-34.024705,-34.024705
9,3.85143,3.28139,150.662265,150.662265,-34.024705,-34.024705
10,3.80159,3.21039,150.662275,150.662275,-34.024705,-34.024705
11,3.74675,3.12886,150.662285,150.662285,-34.024705,-34.024705
12,3.68592,3.03945,150.662295,150.662295,-34.024705,-34.024705
13,3.61795,2.95428,150.662305,150.662305,-34.024705,-34.024705
14,3.54191,2.89329,150.662315,150.662315,-34.024705,-34.024705
15,3.45854,2.86825,150.662325,150.662325,-34.024705,-34.024705
16,3.37335,2.86753,150.662335,150.662335,-34.024705,-34.024705
17,3.2996,2.86885,150.662345,150.662345,-34.024705,-34.024705
18,3.25467,2.86059,150.662355,150.662355,-34.024705,-34.024705
19,3.24848,2.84175,150.662365,150.662365,-34.024705,-34.024705
20,3.27532,2.81138,150.662375,150.662375,-34.024705,-34.024705
21,3.3161,2.76516,150.662385,150.662385,-34.024705,-34.024705
22,3.3512,2.70189,150.662395,150.662395,-34.024705,-34.024705
23,3.37044,2.63465,150.662405,150.662405,-34.024705,-34.024705
24,3.3722,2.59356,150.662415,150.662415,-34.024705,-34.024705
25,3.35927,2.60397,150.662425,150.662425,-34.024705,-34.024705
26,3.88227,3.31364,150.662255,150.662255,-34.024715,-34.024715
27,3.83438,3.24699,150.662265,150.662265,-34.024715,-34.024715
28,3.78172,3.16868,150.662275,150.662275,-34.024715,-34.024715
29,3.72319,3.07065,150.662285,150.662285,-34.024715,-34.024715
30,3.6573,2.95086,150.662295,150.662295,-34.024715,-34.024715
31,3.58183,2.82613,150.662305,150.662305,-34.024715,-34.024715
