Lat,Lon,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64
-34.02494205,150.66319612,4,3.88,4.96,5.22,4.77,4.92,5.81,6.48,6.08,5.56,5.61,6.369999,6.43,5.55,5.03,5.52,5.82,5.050001,4.15,3.99,3.86,3.61,2.37,1.08,0.8700001,0.83,-0.3099999,-1.79,-2.33,-2.21,-2.59,-3.81,-4.53,-4.36,-4.36,-4.69,-5.57,-5.919999,-5.64,-5.38,-6.01,-6.47,-6.31,-5.539999,-5.699999,-5.83,-5.78,-4.96,-4.4,-4.15,-4.26,-3.94,-2.56,-2.12,-2.05,-1.97,-0.8000001,0.17,0.4200001,0.22,0.86,2.29,2.99,2.82,2.91
-34.02493847,150.66319065,5,3.92,4.11,4.63,5.66,5.48,4.919999,5.29,6.02,6.039999,5.46,5.25,5.409999,6.05,5.660001,5.04,4.670001,5.12,5.04,3.99,2.99,2.73,2.65,1.73,0.36,-0.51,-0.5,-0.61,-1.66,-3.0,-3.75,-2.95,-3.32,-4.39,-5.19,-4.86,-4.67,-5.39,-6.59,-6.72,-5.98,-5.77,-6.330001,-6.7,-5.900001,-4.869999,-4.75,-5.170001,-4.79,-3.66,-3.19,-3.12,-3.39,-2.41,-1.16,-0.7999998,-1.04,-0.8000001,0.5699999,1.25,1.51,1.58,2.37,3.7,4.18
-34.02494009,150.663192BTM-GG-34.02493993,150.66318993,7,3.3,4.47,5.47,5.5,5.32,5.8,6.67,6.74,6.139999,5.85,5.88,5.96,5.52,4.56,4.1,4.33,4.46,3.52,3.28,3.36,3.48,2.68,1.66,0.8599998,0.8400001,0.44,-0.9000001,-2.13,-2.27,-2.35,-2.97,-4.369999,-4.99,-4.73,-4.67,-5.5,-6.41,-6.4,-5.89,-5.599999,-6.320001,-6.65,-6.05,-5.26,-5.24,-5.55,-5.24,-4.04,-3.36,-3.26,-3.45,-2.52,-1.46,-1.36,-1.56,-1.14,-0.09,0.53,0.5199999,0.34,1.28,2.51,2.93,2.95
-34.02493967,150.66318986,8,4.8,4.95,4.31,4.51,5.62,6.44,6.09,5.68,5.95,6.759999,6.930001,6.04,5.41,5.67,6.009999,5.11,3.87,3.57,4.05,3.69,2.31,1.59,1.45,1.59,0.7299999,-0.85,-1.68,-1.65,-2.0,-3.3,-4.57,-4.59,-4.07,-4.55,-5.73,-6.279999,-5.65,-5.27,-5.85,-6.649999,-6.18,-5.65,-5.56,-6.22,-6.46,-5.49,-4.72,-4.85,-5.24,-4.8,-3.34,-2.67,-2.69,-2.51,-1.17,0.36,0.43,0.4799999,0.9099999,2.39,3.36,3.299999,2.77,3.65
-34.02495951,150.66318729BTM-GG-34.02497367,150.66318479,10,3.72,4.08,4.74,5.24,5.3,5.450001,5.82,6.11,6.11,5.97,6.03,5.83,5.92,5.17,5.0,4.7,4.52,4.08,3.2,2.9,2.93,2.51,1.63,0.74,0.45,-0.01999996,-0.8600001,-1.73,-2.21,-2.67,-3.41,-4.03,-4.840001,-5.289999,-5.33,-5.46,-6.079999,-6.329999,-5.8,-5.559999,-5.97,-6.12,-5.789999,-5.39,-5.3,-5.28,-5.08,-4.67,-4.09,-3.87,-3.66,-3.24,-2.19,-1.57,-0.8799999,-0.6300001,0.36,1.08,1.12,1.77,2.3,2.76,3.26,3.69
-34.02501355,150.66317498,11,4.0,3.73,4.18,5.08,5.82,5.89,5.52,6.03,6.67,7.009999,6.380001,5.95,5.989999,6.25,5.61,4.55,4.05,4.13,3.81,2.63,1.64,1.19,1.08,0.5599999,-0.3,-0.9200001,-0.8099999,-1.01,-1.99,-2.92,-3.0,-2.73,-3.57,-4.579999,-5.28,-4.95,-5.11,-5.72,-6.92,-6.92,-6.33,-6.43,-6.950001,-7.13,-6.29,-5.22,-4.9,-5.280001,-4.4,-3.1,-2.3,-2.28,-2.13,-1.01,-0.29,0.13,-0.08000003,0.18,1.05,2.03,1.82,1.58,2.74,3.53
-34.02505843,150.66316579,12,4.69,4.5,4.23,5.01,5.97,5.85,5.14,5.35,5.81,6.08,5.37,4.23,4.86,5.39,5.12,4.049999,3.58,3.88,4.09,3.3,2.24,1.95,2.2,1.63,0.17,-0.8,-1.03,-1.19,-2.06,-3.28,-3.76,-4.11,-3.71,-4.88,-5.149999,-5.36,-5.35,-5.11,-5.579999,-5.83,-5.46,-4.88,-5.14,-5.65,-5.47,-4.87,-4.49,-4.83,-4.58,-3.81,-2.91,-2.84,-2.78,-2.06,-1.0,-0.33,-0.45,0.009999975,0.9799999,2.07,2.28,1.95,2.68,3.54
-34.02510585,150.66315552,13,3.71,3.22,4.71,6.129999,5.81,4.67,5.29,6.75,7.11,5.81,4.93,5.43,6.37,5.89,4.35,3.74,4.6,5.049999,3.31,1.9,2.32,2.88,2.41,0.84,-0.51,-0.08999995,0.1899999,-1.26,-3.07,-3.64,-3.01,-3.19,-4.71,-6.26,-5.399999,-4.51,-5.15,-6.64,-6.93,-5.75,-5.250001,-6.11,-6.9,-5.92,-4.75,-4.62,-5.57,-5.789999,-4.18,-3.06,-3.14,-3.67,-2.66,-0.5900001,-0.18,-1.09,-0.81,0.88,2.37,1.86,1.24,1.99,3.57,4.590001
-34.02515616,150.66314415,14,4.27,4.34,4.64,5.5,5.62,5.37,5.62,6.08,6.239999,5.98,6.23,5.93,5.93,5.91,4.98,4.68,4.5,4.31,3.659999,2.73,2.26,2.2,1.73,0.6599999,-0.07000011,-0.25,-0.65,-1.57,-2.47,-3.03,-3.4,-3.99,-4.639999,-5.449999,-5.429999,-5.06,-5.91,-6.429999,-6.39,-5.87,-5.86,-6.08,-6.47,-5.549999,-4.840001,-4.68,-5.11,-4.66,-3.98,-3.6,-3.22,-3.32,-2.67,-1.56,-0.9299999,-0.9599999,-0.34,0.44,0.94,1.69,2.07,2.91,3.3,4.04
-34.02521194,150.66313348BTM-GG-34.02524127,150.663127,16,3.26,4.640001,5.540001,4.98,4.62,5.54,6.299999,6.62,5.76,5.349999,6.15,6.82,5.78,4.59,4.78,5.51,5.09,3.61,2.7,3.16,3.51,2.26,0.73,0.1699999,0.84,0.62,-0.73,-2.65,-2.79,-2.08,-2.95,-4.829999,-5.78,-4.87,-4.48,-5.639999,-6.97,-6.34,-5.34,-5.26,-5.95,-7.03,-5.950001,-4.59,-4.94,-6.06,-5.36,-4.01,-3.42,-4.14,-4.13,-3.11,-1.52,-1.35,-1.76,-1.3,0.46,1.45,1.23,0.8199999,2.05,3.7,3.91,3.27
