Lat,Lon,LAT,Result,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,AVE1,AVE2,AVE3,AVE4,AVE5,AVE6,AVE7,AVE8,AVE9,AVE10,AVE11,AVE12,AVE13,AVE14,AVE15,AVE16,AVE17,AVE18,AVE19,AVE20,AVE21,AVE22,AVE23,AVE24,AVE25,AVE26,AVE27,AVE28,AVE29,AVE30,AVE31,AVE32,AVE33,AVE34,AVE35,AVE36,AVE37,AVE38,AVE39,AVE40,AVE41,AVE42,AVE43,AVE44,AVE45,AVE46,AVE47,AVE48,AVE49,AVE50,AVE51,AVE52,AVE53,AVE54,AVE55,AVE56,AVE57,AVE58,AVE59,AVE60,AVE61,AVE62,AVE63,AVE64,upper,lower,Result
-34.02493967,150.66318986,2.19834999999335,5.9294999,8,4.8,4.95,4.31,4.51,5.62,6.44,6.09,5.68,5.95,6.759999,6.930001,6.04,5.41,5.67,6.009999,5.11,3.87,3.57,4.05,3.69,2.31,1.59,1.45,1.59,0.7299999,-0.85,-1.68,-1.65,-2,-3.3,-4.57,-4.59,-4.07,-4.55,-5.73,-6.279999,-5.65,-5.27,-5.85,-6.649999,-6.18,-5.65,-5.56,-6.22,-6.46,-5.49,-4.72,-4.85,-5.24,-4.8,-3.34,-2.67,-2.69,-2.51,-1.17,0.36,0.43,0.4799999,0.9099999,2.39,3.36,3.299999,2.77,3.65,3.975,4.6225,4.9075,5.11,5.335,5.74249975,6.1325,6.13,5.9224995,5.91999975,6.1075,5.95999975,5.6325,5.23000025,5.16749975,4.98250025,4.62500025,4.07,3.8275,3.475,3.0325,2.3225,1.48,0.919999975,0.4725,-0.304999975,-1.245000025,-1.9425,-2.37,-2.9975,-3.575,-4.20249975,-4.4525,-4.7075,-4.9875,-5.50499975,-5.84249975,-5.975,-5.96,-6.0599995,-6.18500025,-6.23500025,-5.96249975,-5.77,-5.59999975,-5.3925,-5.02250025,-4.52,-4.1025,-3.8775,-3.4625,-2.785,-2.17,-1.77,-1.37499995,-0.655000025,-0.072500025,0.499999975,0.72499995,1.275,2.1275,2.79249975,3.055,3.4225,5.9084998,5.9505,5.9294999
-34.02495951,150.66318479,2.29754999999443,5.90599995,10,3.72,4.08,4.74,5.24,5.3,5.450001,5.82,6.11,6.11,5.97,6.03,5.83,5.92,5.17,5,4.7,4.52,4.08,3.2,2.9,2.93,2.51,1.63,0.74,0.45,-0.01999996,-0.8600001,-1.73,-2.21,-2.67,-3.41,-4.03,-4.840001,-5.289999,-5.33,-5.46,-6.079999,-6.329999,-5.8,-5.559999,-5.97,-6.12,-5.789999,-5.39,-5.3,-5.28,-5.08,-4.67,-4.09,-3.87,-3.66,-3.24,-2.19,-1.57,-0.8799999,-0.6300001,0.36,1.08,1.12,1.77,2.3,2.76,3.26,3.69,3.935,4.4025,4.7875,5.2275,5.43,5.6525,5.9675,6.1375,6.0599995,6.00999975,6.02250025,5.80999975,5.725,5.26500025,5.03749975,4.70250025,4.4925,4.0525,3.63,3.235,2.8625,2.3575,1.6175,0.88749995,0.3775,-0.23249999,-1.01250005,-1.7925,-2.37,-3.0175,-3.475,-4.07749975,-4.57250025,-4.93999975,-5.1475,-5.47749975,-5.88249975,-6.14749975,-6.065,-5.94749925,-6.06000025,-6.18750025,-6.02499975,-5.69250025,-5.46749975,-5.2675,-5.05250025,-4.5875,-4.0875,-3.78,-3.3925,-2.955,-2.1875,-1.65,-1.102499925,-0.612500025,-0.025000025,0.66499995,0.94999995,1.5025,2.13,2.73499975,3.165,3.6175,5.92549985,5.88650005,5.90599995
-34.02501355,150.66317498,2.56774999996878,6.089749975,11,4,3.73,4.18,5.08,5.82,5.89,5.52,6.03,6.67,7.009999,6.380001,5.95,5.989999,6.25,5.61,4.55,4.05,4.13,3.81,2.63,1.64,1.19,1.08,0.5599999,-0.3,-0.9200001,-0.8099999,-1.01,-1.99,-2.92,-3,-2.73,-3.57,-4.579999,-5.28,-4.95,-5.11,-5.72,-6.92,-6.92,-6.33,-6.43,-6.950001,-7.13,-6.29,-5.22,-4.9,-5.280001,-4.4,-3.1,-2.3,-2.28,-2.13,-1.01,-0.29,0.13,-0.08000003,0.18,1.05,2.03,1.82,1.58,2.74,3.53,3.955,4.3075,4.675,5.0825,5.515,5.89500025,6.025,6.14,6.21749975,6.3974995,6.3050005,5.945,5.70999975,5.4125,5.17999975,4.6725,4.225,3.825,3.585,3.145,2.59,1.9925,1.455,0.937499925,0.43,-0.337500015,-1.062500025,-1.63,-2.1175,-2.81,-3.4875,-3.92999975,-4.36750025,-4.7874995,-5.2525,-5.54749975,-5.81249975,-5.92999975,-6.115,-6.18249925,-6.20000025,-6.2125,-6.0875,-6,-5.8225,-5.385,-4.985,-4.71000025,-4.2725,-3.7575,-3.1875,-2.6775,-2.1175,-1.6125,-0.974999975,-0.320000025,0.1549999925,0.567499975,0.89999995,1.6325,2.19,2.53749975,2.925,3.455,6.1149999,6.06450005,6.089749975
-34.02505843,150.66316579,2.79214999999056,5.941749975,12,4.69,4.5,4.23,5.01,5.97,5.85,5.14,5.35,5.81,6.08,5.37,4.23,4.86,5.39,5.12,4.049999,3.58,3.88,4.09,3.3,2.24,1.95,2.2,1.63,0.17,-0.8,-1.03,-1.19,-2.06,-3.28,-3.76,-4.11,-3.71,-4.88,-5.149999,-5.36,-5.35,-5.11,-5.579999,-5.83,-5.46,-4.88,-5.14,-5.65,-5.47,-4.87,-4.49,-4.83,-4.58,-3.81,-2.91,-2.84,-2.78,-2.06,-1,-0.33,-0.45,0.009999975,0.9799999,2.07,2.28,1.95,2.68,3.54,4.3025,4.315,4.365,4.96,5.6775,5.90750025,5.6425,5.7925,6.135,6.4549995,6.1775005,5.5125,5.54499975,5.62,5.43499975,4.60249975,4.005,3.915,3.7875,3.13,2.28,1.81,1.59,1.129999975,0.262499975,-0.647500015,-1.095,-1.395,-2.065,-3.0425,-3.685,-3.865,-4.04750025,-4.8249995,-5.37249975,-5.51249975,-5.54749975,-5.60749975,-6.03749975,-6.2399995,-5.985,-5.77,-5.86,-6.0975,-5.88,-5.215,-4.7975,-4.90750025,-4.5775,-3.895,-3.0525,-2.7575,-2.4475,-1.7875,-0.834999975,-0.117500025,0.0649999925,0.43749996875,1.01499995,2.065,2.44,2.39749975,2.8625,3.6025,5.96499995,5.9185,5.941749975
-34.02510585,150.66315552,3.02924999999732,5.87725,13,3.71,3.22,4.71,6.129999,5.81,4.67,5.29,6.75,7.11,5.81,4.93,5.43,6.37,5.89,4.35,3.74,4.6,5.049999,3.31,1.9,2.32,2.88,2.41,0.84,-0.51,-0.08999995,0.1899999,-1.26,-3.07,-3.64,-3.01,-3.19,-4.71,-6.26,-5.399999,-4.51,-5.15,-6.64,-6.93,-5.75,-5.250001,-6.11,-6.9,-5.92,-4.75,-4.62,-5.57,-5.789999,-4.18,-3.06,-3.14,-3.67,-2.66,-0.5900001,-0.18,-1.09,-0.81,0.88,2.37,1.86,1.24,1.99,3.57,4.590001,4.03,3.8825,4.465,5.36499975,5.725,5.46500025,5.4425,6.06,6.425,6.21749975,5.67750025,5.36,5.78499975,5.675,5.02,4.25999975,4.1875,4.28499975,3.6025,2.6825,2.2825,2.1325,1.83,0.942499975,-0.0475,-0.4575000025,-0.627500025,-1.2975,-2.3325,-3.1275,-3.295,-3.515,-4.20750025,-5.2524995,-5.2899995,-5.07,-5.42249975,-5.94999975,-6.30749975,-6.01499975,-5.75250025,-5.885,-6.195,-6.0225,-5.4525,-4.9975,-5.01,-5.1425,-4.3125,-3.46,-3.0025,-3.0075,-2.44,-1.307500025,-0.587499975,-0.480000025,-0.2450000075,0.53749999375,1.379999975,1.9325,1.91,2.07,3.0625,3.83750025,5.89299995,5.86150005,5.87725
-34.02515616,150.66314415,3.28079999999176,5.89425,14,4.27,4.34,4.64,5.5,5.62,5.37,5.62,6.08,6.239999,5.98,6.23,5.93,5.93,5.91,4.98,4.68,4.5,4.31,3.659999,2.73,2.26,2.2,1.73,0.6599999,-0.07000011,-0.25,-0.65,-1.57,-2.47,-3.03,-3.4,-3.99,-4.639999,-5.449999,-5.429999,-5.06,-5.91,-6.429999,-6.39,-5.87,-5.86,-6.08,-6.47,-5.549999,-4.840001,-4.68,-5.11,-4.66,-3.98,-3.6,-3.22,-3.32,-2.67,-1.56,-0.9299999,-0.9599999,-0.34,0.44,0.94,1.69,2.07,2.91,3.3,4.04,4.1675,3.9475,4.44,5.42999975,5.805,5.445,5.3925,6.0525,6.45749975,6.21999975,5.72750025,5.385,5.78749975,5.86,5.015,4.25499975,4.1825,4.34249975,3.71749975,2.64,2.115,2.055,1.855,0.92249995,-0.1775000275,-0.5150000125,-0.575,-1.2575,-2.3975,-3.2175,-3.2925,-3.505,-4.15749975,-5.2924995,-5.31499925,-4.97,-5.38,-5.97499975,-6.45499975,-6.0925,-5.72500025,-5.875,-6.36500025,-6.06249975,-5.33750025,-4.8475,-5.0175,-5.14,-4.285,-3.3925,-2.8925,-3.0275,-2.56,-1.305000025,-0.599999975,-0.562499975,-0.4200000075,0.37749999375,1.334999975,1.9125,1.8525,2.1075,3.0725,3.92500025,5.9154999,5.8730001,5.89425
-34.02521194,150.663127,3.55969999997541,5.724,16,3.26,4.640001,5.540001,4.98,4.62,5.54,6.299999,6.62,5.76,5.349999,6.15,6.82,5.78,4.59,4.78,5.51,5.09,3.61,2.7,3.16,3.51,2.26,0.73,0.1699999,0.84,0.62,-0.73,-2.65,-2.79,-2.08,-2.95,-4.829999,-5.78,-4.87,-4.48,-5.639999,-6.97,-6.34,-5.34,-5.26,-5.95,-7.03,-5.950001,-4.59,-4.94,-6.06,-5.36,-4.01,-3.42,-4.14,-4.13,-3.11,-1.52,-1.35,-1.76,-1.3,0.46,1.45,1.23,0.8199999,2.05,3.7,3.91,3.27,3.9825,4.17500025,4.78000025,5.40499975,5.505,5.3575,5.58749975,6.2,6.22999975,5.80499975,5.67,5.6025,5.735,5.445,4.8075,4.49499975,4.4425,4.21249975,3.43999975,2.7725,2.5825,2.3225,1.7675,0.82499995,0.1074999725,-0.1299999875,-0.555000025,-1.6675,-2.5975,-3.0075,-3.28,-4.02999975,-4.70999975,-5.36499975,-5.11499925,-5.14249975,-5.845,-6.12999975,-6.05999975,-5.6775,-5.63000025,-6.025,-6.11500025,-5.42749975,-5.00000025,-5.0575,-5.1325,-4.82249975,-4.04,-3.6525,-3.35,-3.235,-2.4075,-1.390000025,-0.967499975,-0.919999975,-0.285,0.69499999375,1.379999975,1.609999975,1.91,2.6375,3.365,3.86000025,5.8084999,5.6395001,5.724
-34.02530051,150.66311286,4.0025499999885,5.818749975,17,3.57,4.65,5.56,4.9,4.17,4.79,5.959999,6.22,5.39,4.92,5.45,6.549999,5.94,4.72,4.98,5.91,5.62,4.12,3.15,3.76,4.06,2.7,1.02,0.25,0.65,0.06000001,-1.66,-3.08,-2.98,-2.58,-3.59,-4.98,-5.44,-4.44,-4.449999,-5.320001,-6.319999,-5.599999,-4.86,-5.19,-6.01,-6.48,-5.58,-5,-5.42,-6.28,-5.69,-4.26,-3.81,-4.18,-4.17,-2.8,-1.46,-0.88,-1.6,-0.99,0.6599999,1.55,1.26,0.9799999,2.11,3.54,3.28,2.92,3.7025,4.21250025,5.11250025,5.37749975,5.055,5.0925,5.7924995,6.4175,6.12499975,5.51499975,5.69,6.18249975,6.005,5.2775,4.7725,4.96,4.9525,4.27249975,3.20499975,2.8875,3.0375,2.51,1.4725,0.47999995,0.2274999725,0.085000015,-0.712500025,-2.14,-2.8275,-2.8325,-3.2375,-4.24749975,-5.14249975,-5.25499975,-4.93999925,-5.1325,-6.08749975,-6.2524995,-5.88,-5.5175,-5.76750025,-6.425,-6.22500025,-5.26499975,-4.98750025,-5.41,-5.4325,-4.67999975,-3.8475,-3.745,-3.665,-3.225,-2.0775,-1.095000025,-1.117499975,-1.084999975,-0.007500025,1.08,1.45,1.33749995,1.8675,3.035,3.515,3.70500025,5.90349985,5.7340001,5.818749975
-34.02536009,150.66309354,4.30044999998103,5.820499975,18,3.88,4.29,5.06,5.440001,5.510001,5.45,5.719999,6.17,6.4,6.19,5.349999,5.96,6.210001,5.91,4.880001,4.68,4.97,4.57,4.02,3.36,3.02,2.75,2.14,0.9099999,0.32,-0.02000001,-0.43,-1.44,-2.84,-2.99,-2.94,-3.73,-5.17,-5.349999,-5.24,-5.18,-5.77,-6.32,-5.71,-5.69,-5.38,-5.99,-6.360001,-5.67,-5.14,-5.34,-6.099999,-5.5,-4.33,-3.95,-4.28,-4.02,-2.82,-1.93,-1.46,-1.34,-0.6200001,0.6500001,1.66,1.77,1.84,2.71,3.72,3.66,3.745,4.48000025,5.20000025,5.20500025,4.98000025,5.2875,5.89999925,6.2725,5.94749975,5.60999975,5.79499975,6.31499975,5.96500025,5.2825,4.90500025,5.195,5.045,4.1525,3.38249975,3.2525,3.2125,2.4775,1.405,0.497499925,0.4349999725,0.1025,-0.8675,-2.185,-2.77,-2.67,-3.22,-4.38249975,-5.25749975,-5.0274995,-4.8999995,-5.3,-6.24249975,-6.1724995,-5.575,-5.5025,-5.8,-6.395,-6.0900005,-5.20249975,-5.08500025,-5.59,-5.56499975,-4.6075,-3.885,-3.9675,-3.95,-3.3125,-2.1175,-1.43,-1.437499975,-1.147499975,0.03999995,1.022500025,1.2725,1.31499995,2.0175,3.215,3.5525,3.4725,5.92649985,5.7145001,5.820499975
-34.02542055,150.66307627,4.60274999998234,6.127250025,19,4.15,5.06,4.79,4.91,5.64,6.679999,7.13,6.740001,6.73,7.440001,7.410001,7.14,6.3,5.96,6.45,5.77,4.62,3.5,3.36,3.68,2.46,0.92,0.6,0.9200001,0.34,-0.48,-1.38,-1.14,-1.08,-1.59,-2.93,-3.89,-3.83,-4.05,-5.32,-6.65,-6.659999,-6.449999,-6.76,-7.910001,-8.009999,-7.49,-6.66,-6.9,-7.3,-6.559999,-5.57,-4.59,-4.78,-4.57,-2.92,-1.89,-1.94,-2.17,-1.54,0.07999998,0.65,0.52,0.8799999,1.05,2.58,2.76,3,2.79,3.715,4.66000025,5.23750025,5.05750025,4.98500025,5.61499975,6.27749925,6.43750025,6.07,5.975,6.09,6.61749975,6.05750025,5.295,5.27250025,5.4675,5.075,3.95,3.3075,3.49,3.2625,2.1575,1.1225,0.562499975,0.5375,0.045,-1.05,-2.0775,-2.4225,-2.31,-3.1025,-4.35749975,-5.055,-4.67749975,-4.87249975,-5.6975,-6.4299995,-6.1774995,-5.6675,-6.01250025,-6.33749975,-6.7475,-6.1375005,-5.54,-5.7,-6.05999975,-5.67999975,-4.59,-4.085,-4.21,-3.875,-2.955,-1.935,-1.5825,-1.59,-0.887500005,0.28749995,1.042500025,1.257499975,1.15499995,2.145,3.1775,3.4775,3.16,6.162,6.09250005,6.127250025
