Num,Lat,Lon,Result,LAT,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,AVE1,AVE2,AVE3,AVE4,AVE5,AVE6,AVE7,AVE8,AVE9,AVE10,AVE11,AVE12,AVE13,AVE14,AVE15,AVE16,AVE17,AVE18,AVE19,AVE20,AVE21,AVE22,AVE23,AVE24,AVE25,AVE26,AVE27,AVE28,AVE29,AVE30,AVE31,AVE32,AVE33,AVE34,AVE35,AVE36,AVE37,AVE38,AVE39,AVE40,AVE41,AVE42,AVE43,AVE44,AVE45,AVE46,AVE47,AVE48,AVE49,AVE50,AVE51,AVE52,AVE53,AVE54,AVE55,AVE56,AVE57,AVE58,AVE59,AVE60,AVE61,AVE62,AVE63,AVE64,Upper,Lower,Result
419,-34.0249198,150.66322425,6.249249925,2.09899999997987,543,4.25,4.51,5.09,5.69,5.9,6.04,6.19,6.55,6.42,6.31,5.94,5.96,6.06,5.57,4.850001,4.38,4.34,4.06,3.61,2.82,2.27,2.34,1.85,0.9500001,-0.06000001,-0.54,-0.74,-1.54,-2.55,-3.25,-3.41,-3.91,-4.63,-5.52,-5.55,-5.63,-5.91,-6.670001,-6.9,-6.48,-6.22,-6.3,-6.600001,-6.2,-5.509999,-5.06,-5.3,-4.9,-4.25,-3.34,-3.05,-3,-2.37,-1.44,-0.74,-0.6599999,-0.44,0.44,1.4,1.8,1.96,2.54,3.68,4.15,4.06,4.5675,5.0225,5.43000025,5.83,6.05000025,6.16,6.4525,6.57,6.46,6.19,6.1525,5.94249975,5.51749975,5.14500025,4.59750025,4.2575,3.775,3.34,2.8,2.31,2.03,1.445,0.847500025,0.2550000075,-0.31000003,-0.87,-1.585,-2.17,-2.7325,-3.3075,-3.86,-4.44499975,-4.965,-5.32750025,-5.59999975,-5.9725,-6.30250025,-6.45,-6.4425,-6.44999975,-6.5125,-6.44,-6.09499975,-5.68,-5.44249975,-5.04,-4.5425,-4.0475,-3.425,-3.055,-2.6275,-2.075,-1.4525,-1,-0.642499975,-0.187500005,0.374999975,0.9475,1.407499975,1.88,2.4375,3.135,3.64249975,6.26299995,6.2354999,6.249249925
418,-34.02496982,150.66321185,6.2832499375,2.34909999999644,542,3.64,4.27,4.96,5.280001,5.430001,5.7,6.15,6.6,6.63,6.39,6.29,6.53,6.11,5.42,4.79,4.37,4.18,3.5,2.83,2.47,2.28,1.91,1.18,0.57,0.34,-0.03000002,-0.76,-1.56,-2.09,-2.33,-2.98,-3.69,-4.449999,-4.72,-4.96,-5.48,-6.13,-6.3,-6.15,-6.21,-6.469999,-6.62,-6.46,-5.84,-5.53,-5.719999,-5.15,-4.27,-3.77,-3.48,-3.2,-2.48,-1.63,-0.97,-1.05,-0.76,0.04999988,0.54,0.96,1.24,1.72,2.7,3.13,3.309999,3.98,4.6375,5.195,5.57750025,5.985,6.23500025,6.3475,6.60999975,6.71750025,6.5625,6.235,6.185,5.85249975,5.36249975,5.04750025,4.55750025,4.2475,3.7625,3.2975,2.8775,2.57,2.0975,1.52,0.9625,0.47250001,-0.085000055,-0.7425,-1.505,-2.12,-2.63,-3.29,-3.92749975,-4.63499975,-5.005,-5.47000025,-5.79749975,-6.17,-6.375,-6.4175,-6.4875,-6.55749975,-6.6375,-6.43249975,-6.0749995,-5.68000025,-5.48999975,-5.00000025,-4.445,-3.8775,-3.3975,-3.1075,-2.5675,-2.025,-1.515,-1.17,-0.7875,-0.22500003,0.294999975,0.762499975,1.277499975,1.7525,2.355,3.0275,3.50249975,6.3105,6.255999875,6.2832499375
417,-34.02501914,150.66319988,6.3126249125,2.59569999997211,541,4.47,5.05,5.29,5.73,6.46,6.8,6.44,6.52,6.63,6.74,6.24,5.91,5.5,5.359999,5.22,4.530001,3.6,3.29,3.38,2.92,2.32,1.97,1.6,1.46,0.8200001,-0.01,-0.65,-1.28,-1.76,-2.63,-3.53,-4.22,-4.49,-5.03,-5.900001,-6.07,-6.25,-6.42,-6.69,-6.83,-6.52,-6.36,-6.13,-5.97,-5.47,-4.98,-4.44,-4.15,-3.75,-3.3,-2.64,-2.26,-2.22,-2.03,-1.28,-0.77,-0.6599999,-0.4300001,0.15,0.9099999,1.54,2.01,2.76,3.56,4.405,4.92,5.205,5.6,6.2624995,6.56000025,6.4125,6.49749975,6.75500025,6.7875,6.37,6.02,5.70249975,5.53749975,5.39750025,4.78500025,4.2675,3.9825,3.8225,3.3325,2.7375,2.14,1.81,1.3025,0.50750001,-0.30750005,-0.9125,-1.5775,-2.2325,-2.9725,-3.80499975,-4.24749975,-4.73499975,-5.21,-5.89750025,-6.06749975,-6.12,-6.2675,-6.565,-6.68749975,-6.535,-6.44,-6.3474995,-6.3249995,-5.9525,-5.5,-4.99500025,-4.74,-4.35999975,-3.72,-3.165,-2.705,-2.485,-1.9525,-1.215,-0.617499995,-0.2324999925,0.207499975,0.804999975,1.614999975,2.0975,2.4075,3.03,3.73,6.327,6.298249825,6.3126249125
416,-34.02507126,150.66318618,6.4329999,2.85629999996928,540,3.88,4.44,4.75,5.02,5.529999,5.660001,5.86,6.14,6.6,6.4,6.29,6.21,6.099999,5.72,5.72,5.11,4.91,4.25,3.54,2.99,2.37,1.9,1.15,0.41,-0.08000006,-0.6600001,-1.33,-1.96,-2.28,-2.72,-3.31,-3.62,-4.21,-4.59,-4.9,-5.219999,-5.6,-5.82,-6.06,-6.25,-6.59,-6.77,-6.569999,-6.369999,-6.210001,-6.01,-5.27,-4.85,-4.42,-3.58,-3.33,-2.77,-2.08,-1.37,-0.93,-0.38,0.3,0.95,1.28,1.68,2.3,2.5,2.97,3.55,4.375,4.765,4.8775,5.35,6.0574995,6.38500025,6.32,6.35499975,6.76500025,6.87500025,6.58499975,6.135,5.87249975,5.82,5.6975005,4.9975,4.4275,4.17,3.9725,3.365,2.695,1.9125,1.620000025,1.105000025,0.2899999825,-0.67500005,-1.18,-1.6925,-2.27,-3.0375,-3.82499975,-4.09499975,-4.45749975,-4.965,-5.7075,-5.86999975,-5.82,-5.945,-6.40250025,-6.69249975,-6.64,-6.4625,-6.4574995,-6.6174995,-6.4175,-5.84749975,-5.25250025,-5.065,-4.75999975,-3.98749975,-3.1875,-2.7075,-2.4975,-1.9025,-1.047499975,-0.339999995,0.0774999825,0.43,1.002499975,1.89,2.375,2.53,2.9275,3.6875,6.4465,6.4194998,6.4329999
415,-34.02514936,150.66316706,6.5056249,3.24679999998523,539,3.93,4.79,5.78,6.28,6.52,6.78,6.94,7.179999,7.010001,6.72,6.12,6.09,5.7,4.95,4.460001,4.22,4.3,4.01,3.44,3.13,3.31,2.61,2.15,1.41,0.81,0.3599999,-0.23,-1.22,-2.35,-2.84,-3.34,-4.179999,-5.39,-5.68,-6.12,-6.42,-6.7,-6.96,-6.77,-6.66,-6.65,-6.8,-6.57,-6.119999,-5.51,-5.25,-5.140001,-4.51,-3.57,-3.23,-3.26,-2.76,-2.17,-1.69,-1.42,-1.24,-0.5900001,0.12,0.6599999,1.28,1.45,2.21,3.25,3.59,4.72,4.855,4.69,5.29,6.28749975,6.675,6.275,6.20749975,6.73500025,7.165,6.75249975,5.96749975,5.785,6.11,6.0075005,4.9975,4.2175,4.2375,4.3775,3.61500025,2.5975,1.785,1.765000025,1.417500025,0.2449999975,-1.015000025,-1.3225,-1.57,-2.2075,-3.325,-4.11749975,-4.09749975,-4.18999975,-4.9575,-5.98,-6.0325,-5.61,-5.8225,-6.60500025,-6.93,-6.61,-6.145,-6.45249975,-6.89499975,-6.605,-5.67749975,-5.08250025,-5.17,-5.10999975,-4.11999975,-2.94,-2.63,-2.7875,-2.2025,-0.934999975,-0.08499997,-0.0750000175,0,0.842499975,2.08,2.4525,2.3525,2.69,3.785,6.48099995,6.53024985,6.5056249
414,-34.02519706,150.66313819,6.4781248125,3.48530000000125,537,5.34,5.4,5,5.37,6.539999,7,6.41,6.15,6.78,7.29,6.83,5.87,5.51,6.12,6.19,5.28,4.26,4.38,4.93,4.29,2.95,2.08,2.34,1.93,0.48,-0.92,-1.44,-1.85,-2.54,-3.7,-5.039999,-4.97,-4.849999,-5.54,-6.67,-6.56,-5.93,-5.87,-6.74,-7.009999,-6.38,-5.83,-6.119999,-6.84,-6.619999,-5.76,-5.13,-5.45,-5.699999,-4.77,-3.43,-3.03,-3.47,-2.72,-1.23,-0.07999998,0.02000003,0.19,1.13,2.59,3.1,2.91,3.14,4.22,4.935,4.9125,4.5725,5.0875,6.07,6.46749975,6.05999975,5.94,6.5025,7.09749975,6.8624995,6.0474995,5.9,6.4425,6.39250025,5.37,4.4325,4.35,4.56,3.78250025,2.635,1.7625,1.672500025,1.370000025,0.2324999975,-1.2,-1.6225,-1.765,-2.34,-3.4775,-4.30249975,-4.2,-4.1324995,-4.905,-5.9,-5.935,-5.4775,-5.6325,-6.43500025,-6.825,-6.43999975,-5.88,-6.20499975,-6.825,-6.68499975,-5.74999975,-5.13999975,-5.3875,-5.49999975,-4.46249975,-3.1825,-2.8775,-3.0625,-2.445,-1.122499975,-0.09749997,-0.0099999925,0.0025,0.96,2.2675,2.7825,2.61,2.805,3.9525,6.48199975,6.474249875,6.4781248125
413,-34.02525058,150.66311908,6.4552498,3.75289999997364,536,4.35,4.43,3.98,4.73,5.64,6.1,6.07,5.95,6.67,7.090001,7.099999,6.37,6.18,6.49,6.420001,5.38,4.24,4.04,3.98,3.05,2.15,1.06,0.8400001,0.6700001,-0.05000001,-1.48,-1.72,-1.74,-1.91,-2.89,-3.61,-3.61,-3.38,-4.05,-5.14,-5.28,-5.05,-5.13,-6.040001,-6.85,-6.94,-6.45,-6.57,-7.14,-7.33,-6.369999,-5.47,-5.45,-5.35,-4.369999,-2.73,-2.27,-2.27,-1.83,-0.6099999,0.34,0.58,0.46,0.94,2.01,2.65,2.5,2.35,3.39,4.765,4.96999975,4.8175,5.31250025,5.98000025,6.39749975,6.21749975,6.195,6.4925,6.91249975,6.8299995,6.2224995,6.04499975,6.2675,6.14750025,5.3225,4.56,4.2575,4.18,3.53000025,2.6625,1.825,1.440000025,1.102499975,0.2524999975,-0.9800000025,-1.515,-1.7525,-2.29,-3.245,-3.925,-4.0725,-4.16749975,-4.845,-5.6175,-5.82749975,-5.61,-5.8,-6.39250025,-6.72250025,-6.57499975,-6.1125,-6.2675,-6.61,-6.5,-5.67499975,-5.21999975,-5.19,-5.175,-4.3474995,-3.3125,-2.9125,-2.83,-2.355,-1.324999975,-0.419999975,-0.0925,-0.01,0.797500025,1.9225,2.5375,2.6625,2.98,3.9225,6.5004997,6.4099999,6.4552498
412,-34.02530176,150.66310481,6.3813748375,4.00879999997272,535,5.26,4.8,4,4.78,6.45,6.82,5.68,5.55,6.48,7.559999,6.96,5.539999,5.75,6.88,6.96,5.11,4.07,4.52,5.16,3.990001,1.98,1.39,1.73,1.66,-0.26,-2.02,-1.9,-1.47,-2.03,-3.87,-4.48,-3.63,-3.14,-4.56,-5.99,-5.87,-4.76,-5.33,-6.87,-7.200001,-6.47,-5.5,-6.55,-7.48,-6.960001,-5.33,-4.59,-5.27,-5.82,-4.11,-2.34,-2.46,-3.24,-2.57,-0.48,0.6400001,-0.31,-0.77,0.64,2.44,2.61,1.79,2.02,3.94,4.77,5.10499975,5.1675,5.63500025,6.21250025,6.45999975,6.35999975,6.3625,6.565,6.7724995,6.5875,6.1249995,6.04499975,6.1075,5.88,5.24,4.7425,4.44,4.245,3.69500025,2.8575,2.25,1.805,1.26749995,0.3275,-0.7124999775,-1.2675,-1.745,-2.4975,-3.4125,-3.975,-4.2875,-4.58749975,-5.225,-5.77999975,-5.96999975,-5.86249975,-6.11999975,-6.5875,-6.6300005,-6.44749975,-6.0975,-6.31499975,-6.42,-6.0925,-5.45750025,-5.21499975,-5.10500025,-4.925,-4.27749975,-3.475,-3.1775,-2.98,-2.4575,-1.5025,-0.764999975,-0.415,-0.1,0.830000025,1.825,2.27,2.675,3.23,4.1075,6.41899975,6.343749925,6.3813748375
411,-34.02535215,150.66309596,6.2649999125,4.26075000000026,534,4.79,5.02,5.31,5.47,5.650001,5.949999,6.079999,6.11,6.08,6.449999,6.559999,6.409999,6.16,6.28,6,5.71,5.16,4.46,4.17,3.8,3.46,2.52,1.78,1.22,0.76,-0.38,-1.43,-2,-2.88,-3.45,-4.08,-4.59,-5.159999,-5.47,-5.8,-6.03,-6.17,-6.2,-6.09,-6.24,-5.969999,-5.74,-5.58,-5.84,-5.829999,-5.54,-5.369999,-5.38,-5.13,-4.6,-4.23,-3.75,-3.27,-2.66,-2.17,-1.29,-0.33,0.13,1.13,2.03,2.77,3.24,3.71,4.26,4.7,5.0625,5.375,5.87250025,6.18,6.25499975,6.3274995,6.4375,6.57000025,6.55,6.3575,6.10999975,6.04749975,5.9575,5.5375,5.095,4.785,4.4825,4.11,3.6325,3.0675,2.525,1.9525,1.27249995,0.4925,-0.4074999775,-0.9825,-1.69,-2.5725,-3.3825,-3.8875,-4.395,-4.96499975,-5.525,-5.85249975,-5.99999975,-6.06749975,-6.25749975,-6.465,-6.40000025,-6.27499975,-6.12,-6.23749975,-6.17,-5.85499975,-5.41250025,-5.40999975,-5.22250025,-4.8175,-4.31999975,-3.805,-3.4375,-3.005,-2.4125,-1.6675,-1.0775,-0.4825,0.1074999875,1.005000025,1.855,2.3025,2.92,3.61,4.2875,6.32699995,6.202999875,6.2649999125
410,-34.02543419,150.66309001,6.230500025,4.67094999997642,533,4.66,5.629999,5.98,6.270001,6.18,6.72,7.04,7.17,6.74,6.55,6.7,6.57,6.089999,5.42,5.21,5.09,4.77,4.01,3.41,3.28,3.06,2.33,1.41,0.8599998,0.56,-0.04000001,-1.01,-1.8,-2.34,-2.77,-3.53,-4.46,-4.99,-5.3,-5.54,-6.129999,-6.46,-6.54,-6.57,-6.6,-6.92,-6.76,-6.37,-5.98,-5.88,-5.46,-5.45,-4.66,-4.4,-4.309999,-3.95,-3.17,-2.54,-2.36,-2.04,-1.37,-0.31,0.14,0.4800001,1.21,2.12,3.12,3.84,4.1,4.7125,5.195,5.39,5.88750025,6.34999975,6.58249975,6.51499975,6.43750025,6.6300005,6.66000025,6.39750025,5.9575,5.77249975,5.6475,5.39,4.835,4.48,4.2925,4.035,3.585,2.7975,2.28,1.8675,1.35749995,0.4075,-0.5349999775,-0.96,-1.48,-2.305,-3.25,-3.87,-4.2825,-4.655,-5.3675,-5.84249975,-6.1374995,-6.02999975,-6.20749975,-6.63750025,-6.6650005,-6.48499975,-6.115,-6.32249975,-6.30500025,-5.89,-5.265,-5.105,-4.83500025,-4.5975,-4.07749975,-3.38,-3.0075,-2.8125,-2.3525,-1.44,-0.865,-0.5125,-0.1475000375,0.71000002,1.6575,2.1525,2.6475,3.2825,4.115,6.28350015,6.1774999,6.230500025
