Lat,Lon,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,AVE1,AVE2,AVE3,AVE4,AVE5,AVE6,AVE7,AVE8,AVE9,AVE10,AVE11,AVE12,AVE13,AVE14,AVE15,AVE16,AVE17,AVE18,AVE19,AVE20,AVE21,AVE22,AVE23,AVE24,AVE25,AVE26,AVE27,AVE28,AVE29,AVE30,AVE31,AVE32,AVE33,AVE34,AVE35,AVE36,AVE37,AVE38,AVE39,AVE40,AVE41,AVE42,AVE43,AVE44,AVE45,AVE46,AVE47,AVE48,AVE49,AVE50,AVE51,AVE52,AVE53,AVE54,AVE55,AVE56,AVE57,AVE58,AVE59,AVE60,AVE61,AVE62,AVE63,AVE64
-34.02634181,150.66189974,22,4.15,4.79,5.32,5.67,5.82,6.210001,6.53,6.75,6.659999,6.56,6.52,6.54,6.28,5.780001,5.42,5.299999,5.02,4.48,3.78,3.33,2.95,2.44,1.63,0.98,0.43,-0.12,-0.9400001,-1.86,-2.53,-3.02,-3.51,-4.15,-4.83,-5.2,-5.37,-5.8,-6.25,-6.44,-6.51,-6.42,-6.61,-6.75,-6.610001,-6.260001,-6.09,-5.969999,-5.64,-5.06,-4.44,-4.03,-3.63,-3.08,-2.33,-1.75,-1.32,-0.93,-0.25,0.45,0.94,1.39,1.96,2.71,3.36,3.78,4.21666666666667,4.72,5.20333333333333,5.59000033333333,5.846667,6.10666666666667,6.35333366666667,6.57999966666667,6.59666633333333,6.516667,6.47,6.43333366666667,6.29666666666667,5.906667,5.57666633333333,5.29999966666667,5,4.6,4.01333333333333,3.49333333333333,3.00666666666667,2.45666666666667,1.71333333333333,0.953333333333334,0.25,-0.35,-1.0566667,-1.88,-2.53,-3.07333333333333,-3.58666666666667,-4.15666666666667,-4.74333333333333,-5.133333,-5.396667,-5.68333333333333,-6.023333,-6.296667,-6.42666666666667,-6.35333333333333,-6.42333333333333,-6.54999966666667,-6.46666666666667,-6.216667,-5.95333333333333,-5.773333,-5.48333333333333,-5.04666633333333,-4.47666666666667,-4.05333333333333,-3.68333333333333,-3.25333366666667,-2.65333333333333,-2.03,-1.54333333333333,-1.05666666666667,-0.413333333333333,0.303333336666667,0.930000033333333,1.47666666666667,2.01,2.68333333333333,3.33333333333333,3.81666666666667
-34.02632804,150.66189155,24,4.3,4.79,5.13,5.38,5.710001,6,6.17,6.23,6.38,6.380001,6.43,6.42,6.35,6.08,5.959999,5.73,5.36,4.94,4.36,3.75,3.11,2.36,1.59,0.79,0.03,-0.64,-1.32,-1.99,-2.51,-2.98,-3.5,-4.05,-4.51,-4.829999,-5.25,-5.62,-5.98,-6.220001,-6.41,-6.45,-6.48,-6.509999,-6.4,-6.22,-5.9,-5.64,-5.25,-4.77,-4.33,-3.99,-3.57,-3.130001,-2.83,-2.36,-1.89,-1.3,-0.72,-0.03999999,0.5900001,1.3,1.99,2.69,3.33,3.85,4.13333366666667,4.58333333333333,4.99333333333333,5.33333366666667,5.61333366666667,5.85999966666667,6.106667,6.29999966666667,6.30333333333333,6.256667,6.22333333333333,6.13666733333333,5.96,5.61333333333333,5.293333,4.97333333333333,4.68,4.29,3.78333333333333,3.27333333333333,2.76333333333333,2.2,1.4866667,0.753333333333333,0.073333333333333,-0.526666633333333,-1.21333333333333,-1.95333333333333,-2.54333333333333,-3.07,-3.63333333333333,-4.16333366666667,-4.63333333333333,-4.953333,-5.176667,-5.46666666666667,-5.71999966666667,-5.96333366666667,-6.11333333333333,-6.11666666666667,-6.19333333333333,-6.28999966666667,-6.17333266666667,-5.95666633333333,-5.7,-5.483333,-5.15333333333333,-4.74999966666667,-4.24666666666667,-3.84333333333333,-3.46,-2.996667,-2.44333333333333,-1.83666666666667,-1.34,-0.796666666666667,-0.133333333333333,0.520000003333333,1.08000003333333,1.61,2.12333333333333,2.73,3.28333333333333,3.72
-34.02632083,150.66189318,25,4.2,4.58,5.16,5.720001,6.01,6.109999,6.360001,6.759999,6.75,6.61,6.46,6.340001,6.26,5.86,5.35,4.87,4.62,4.38,3.9,3.4,2.96,2.57,1.92,1.09,0.29,-0.29,-0.91,-1.79,-2.55,-3.22,-3.75,-4.27,-4.89,-5.37,-5.570001,-5.63,-5.839999,-6.23,-6.36,-6.19,-6.18,-6.39,-6.389999,-6.17,-5.87,-5.71,-5.56,-5.309999,-4.66,-4.14,-3.85,-3.55,-2.8,-1.98,-1.42,-0.94,-0.27,0.5,1.26,1.74,2.08,2.65,3.31,3.82,4.0380002,4.5,4.882,5.2040002,5.4640002,5.73,5.9660002,6.1479998,6.1479998,6.1000002,6.036,5.9320004,5.724,5.3480002,5.008,4.7259998,4.418,4.004,3.482,3.024,2.56,2.052,1.394,0.72999998,0.104,-0.45599998,-1.14200002,-1.882,-2.502,-3.0180002,-3.576,-4.1180004,-4.618,-4.9459998,-5.1920002,-5.4820002,-5.7099998,-5.9020002,-5.996,-5.954,-6.0079998,-6.0479998,-5.9079998,-5.686,-5.46,-5.2579996,-4.954,-4.5519998,-4.086,-3.696,-3.306,-2.8180002,-2.236,-1.64,-1.148,-0.628,0.022,0.642000002,1.17000002,1.674,2.188,2.744,3.266,3.666
-34.02632335,150.66189185,26,3.900001,4.38,4.69,4.9,5.12,5.47,5.79,5.91,5.78,5.78,5.78,5.650001,5.27,4.9,4.57,4.32,4.06,3.55,3.09,2.67,2.22,1.67,0.9500001,0.38,-0.1,-0.6499999,-1.41,-2.08,-2.57,-3.01,-3.65,-4.170001,-4.5,-4.66,-4.71,-5.15,-5.34,-5.44,-5.57,-5.71,-5.92,-5.97,-5.729999,-5.479999,-5.33,-5.099999,-4.65,-4.17,-3.75,-3.4,-2.96,-2.31,-1.7,-1.17,-0.71,-0.15,0.59,1.1,1.39,1.79,2.3,2.85,3.21,3.49,4.0180002,4.426,4.79,5.1500002,5.4360002,5.6659998,5.8660002,6.0559996,6.0960002,6.0540002,5.9620002,5.8160006,5.6459998,5.3159998,4.972,4.6359998,4.324,3.96,3.4880002,3.002,2.504,2.008,1.4,0.71999998,0.05,-0.51999998,-1.156,-1.826,-2.474,-3.0080002,-3.568,-4.0860004,-4.57,-4.9219998,-5.1960002,-5.4180002,-5.6079998,-5.8120002,-5.912,-5.8819998,-5.9059996,-5.9399998,-5.8299996,-5.6479998,-5.3980002,-5.1659998,-4.874,-4.5179998,-4.064,-3.646,-3.264,-2.8060002,-2.248,-1.648,-1.12,-0.584,0.054,0.652000002,1.21400002,1.728,2.206,2.714,3.218,3.646
-34.02631762,150.66189112,27,3.64,3.96,4.11,4.35,4.66,4.86,4.98,5.09,5.17,5.17,4.99,4.71,4.46,4.12,3.740001,3.41,3.03,2.67,2.28,1.97,1.56,1.22,0.8799999,0.4099999,-0.13,-0.58,-1.13,-1.69,-2.35,-2.860001,-3.47,-3.950001,-4.36,-4.67,-5.06,-5.210001,-5.14,-5.18,-5.13,-5,-4.849999,-4.62,-4.41,-4.3,-4.11,-3.87,-3.67,-3.45,-3.25,-2.92,-2.52,-2.02,-1.52,-0.94,-0.4,0.18,0.76,1.2,1.67,2.15,2.61,2.82,3.12,3.39,4.0020002,4.378,4.718,5.0860002,5.386,5.6339998,5.8300002,6.0279996,6.0540002,6.042,5.9440002,5.7520006,5.5499998,5.2459998,4.8880002,4.5159998,4.186,3.808,3.3740002,2.918,2.44,1.966,1.4,0.78599998,0.146,-0.45399998,-1.116,-1.766,-2.434,-3.0280002,-3.616,-4.1280004,-4.6060002,-4.958,-5.2300002,-5.4520002,-5.5939998,-5.752,-5.84,-5.8499998,-5.8759996,-5.862,-5.7559996,-5.6139998,-5.392,-5.1339998,-4.826,-4.486,-4.1,-3.668,-3.28,-2.7700002,-2.186,-1.596,-1.048,-0.468,0.192,0.744,1.314,1.812,2.3,2.752,3.21,3.61
-34.02632044,150.6618916,29,4.05,4.42,4.86,5.4,5.68,5.89,6.03,6.289999,6.400001,6.33,6.150001,5.960001,5.889999,5.619999,5.24,4.849999,4.55,4.26,3.810001,3.22,2.67,2.22,1.66,0.93,0.16,-0.44,-1.01,-1.58,-2.39,-2.97,-3.47,-3.99,-4.59,-5.08,-5.39,-5.48,-5.74,-5.99,-6.09,-6.059999,-6.099999,-6.21,-6.22,-6.07,-5.780001,-5.51,-5.24,-4.89,-4.33,-3.78,-3.42,-3.02,-2.39,-1.79,-1.18,-0.71,-0.09,0.5,1.16,1.66,2.05,2.56,3.12,3.68,3.9940002,4.37,4.728,5.106,5.404,5.644,5.8340002,6.0159998,6.0660004,6.032,5.918,5.7300004,5.5359998,5.2439998,4.8700002,4.5479998,4.202,3.832,3.3840002,2.916,2.456,1.98,1.422,0.78999998,0.126,-0.47199998,-1.122,-1.798,-2.468,-3.0500002,-3.602,-4.0980004,-4.592,-4.942,-5.2059998,-5.4240002,-5.586,-5.754,-5.87,-5.9099996,-5.9239996,-5.9120002,-5.8339998,-5.6619998,-5.396,-5.1299998,-4.7719998,-4.4020002,-4,-3.552,-3.116,-2.6400002,-2.102,-1.544,-0.99,-0.46800002,0.132,0.672,1.224,1.722,2.218,2.678,3.1680002,3.608
-34.0263222,150.66188954,30,4.22,4.55,4.77,5.06,5.46,5.84,5.99,6.09,6.17,6.32,6.34,6.1,5.87,5.73,5.54,5.13,4.67,4.18,3.79,3.33,2.79,2.15,1.59,1.12,0.51,-0.31,-1.12,-1.69,-2.31,-3.08,-3.74,-4.26,-4.690001,-5.01,-5.42,-5.79,-5.91,-5.92,-6.05,-6.29,-6.33,-6.12,-6.03,-6.05,-5.869999,-5.48,-5.01,-4.610001,-4.51,-4.1,-3.65,-2.950001,-2.52,-2.1,-1.53,-0.72,-0.03,0.42,1.09,1.72,2.46,2.88,3.29,3.67,4.092,4.436,4.796,5.238,5.572,5.794,5.9340002,6.1039996,6.2620004,6.2320002,6.084,5.8560002,5.7219998,5.4719998,5.0880002,4.6819996,4.282,3.9560002,3.5160002,2.998,2.49,2.04,1.54399998,0.912,0.184,-0.43,-1.022,-1.652,-2.384,-3.0460002,-3.604,-4.0720002,-4.5999998,-5.064,-5.4179998,-5.5620002,-5.698,-5.892,-6.0460002,-6.0799996,-6.0119996,-5.96,-5.94,-5.812,-5.516,-5.2059998,-4.8839996,-4.5980002,-4.208,-3.708,-3.256,-2.8240002,-2.3219998,-1.74,-1.12,-0.59400002,-0.044,0.482,1.146,1.728,2.214,2.644,3.1600002,3.6920002
-34.02633693,150.66188129,31,4.16,4.54,5.21,5.82,6.1,6.16,6.380001,6.7,6.810001,6.56,6.329999,6.23,6.19,5.85,5.26,5.03,4.7,4.5,3.95,3.39,3.04,2.64,2.03,1.11,0.19,-0.38,-0.94,-1.95,-2.72,-3.33,-3.68,-4.12,-4.819999,-5.29,-5.449999,-5.49,-5.8,-6.24,-6.51,-6.489999,-6.42,-6.640001,-6.78,-6.41,-5.89,-5.69,-5.289999,-4.89,-4.16,-3.56,-3.03,-2.9,-2.38,-1.72,-1.13,-0.9400001,-0.57,0.14,0.81,1.29,1.67,2.28,3.100001,3.81,4.234,4.594,4.988,5.45,5.774,6.006,6.166,6.3299996,6.4940002,6.4560002,6.3620002,6.1440002,6.0179998,5.7859998,5.422,5.0179996,4.622,4.2800002,3.8280002,3.278,2.758,2.26,1.676,1.01400002,0.254,-0.406,-1.04,-1.686,-2.408,-3.114,-3.668,-4.154,-4.6919998,-5.1939998,-5.5419998,-5.704,-5.886,-6.084,-6.2620002,-6.3099996,-6.2899998,-6.286,-6.3,-6.184,-5.898,-5.5679998,-5.2219996,-4.9040002,-4.482,-3.964,-3.504,-3.0600002,-2.5279998,-1.942,-1.31,-0.76200002,-0.178,0.402,1.08,1.704,2.208,2.694,3.2300002,3.8020004
-34.02631853,150.66189694,32,4.39,4.71,5.03,5.56,5.96,6.22,6.29,6.349999,6.76,6.780001,6.61,6.28,6.2,6.04,5.66,4.989999,4.46,4.170001,3.75,3.08,2.39,1.97,1.56,0.9900001,0.19,-0.44,-0.91,-1.35,-2.15,-2.99,-3.66,-4.04,-4.539999,-5.27,-5.77,-5.84,-5.9,-6.13,-6.450001,-6.56,-6.36,-6.209999,-6.26,-6.23,-5.93,-5.479999,-5.209999,-5.15,-4.79,-4.18,-3.66,-3.23,-2.799999,-2.15,-1.36,-0.78,-0.29,0.15,1,1.82,2.28,2.68,3.17,3.910001,4.3939998,4.794,5.216,5.624,5.924,6.1639998,6.3460002,6.4619996,6.564,6.5340004,6.4760002,6.302,6.16,5.94,5.62,5.2759998,4.886,4.496,4.002,3.454,2.9400002,2.382,1.728,1.03400002,0.29,-0.42199998,-1.106,-1.796,-2.482,-3.176,-3.742,-4.244,-4.7919998,-5.2579998,-5.6219998,-5.836,-6.066,-6.25,-6.4500004,-6.53,-6.528,-6.506,-6.464,-6.328,-6.0139998,-5.6839998,-5.2859996,-4.9360002,-4.538,-4.064,-3.604,-3.1320002,-2.6139998,-2.054,-1.478,-0.90000002,-0.33,0.278,0.938,1.598,2.18,2.754,3.3240002,3.9020004
-34.02630832,150.66188794,34,4.35,4.75,5.07,5.41,5.67,5.92,6.139999,6.22,6.329999,6.29,6.380001,6.15,5.94,5.69,5.41,5.09,4.73,4.29,3.84,3.37,2.9,2.32,1.54,0.92,0.22,-0.46,-1.22,-1.86,-2.47,-3.2,-3.79,-4.36,-4.82,-5.319999,-5.68,-5.92,-6.08,-6.14,-6.21,-6.15,-6.24,-6.25,-6.21,-6.16,-6.02,-5.68,-5.36,-4.98,-4.62,-4.2,-3.76,-3.2,-2.55,-1.95,-1.35,-0.66,0.09,0.8,1.34,2.03,2.58,3.07,3.47,3.940001,4.3879998,4.834,5.28,5.706,5.99,6.2439998,6.4480002,6.5459996,6.628,6.5900004,6.5060002,6.362,6.204,5.95,5.642,5.3259998,4.938,4.546,4.07,3.5260002,3.0240002,2.438,1.764,1.06400002,0.302,-0.40399998,-1.106,-1.832,-2.532,-3.204,-3.794,-4.33,-4.8979994,-5.362,-5.724,-5.932,-6.1440002,-6.322,-6.4740006,-6.5400002,-6.528,-6.5180002,-6.448,-6.286,-5.9820002,-5.6879998,-5.3199996,-4.954,-4.54,-4.078,-3.618,-3.148,-2.6339998,-2.074,-1.5,-0.948,-0.366,0.252,0.922,1.552,2.122,2.716,3.2980002,3.8920004
