Lat,Lon,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,AVE1,AVE2,AVE3,AVE4,AVE5,AVE6,AVE7,AVE8,AVE9,AVE10,AVE11,AVE12,AVE13,AVE14,AVE15,AVE16,AVE17,AVE18,AVE19,AVE20,AVE21,AVE22,AVE23,AVE24,AVE25,AVE26,AVE27,AVE28,AVE29,AVE30,AVE31,AVE32,AVE33,AVE34,AVE35,AVE36,AVE37,AVE38,AVE39,AVE40,AVE41,AVE42,AVE43,AVE44,AVE45,AVE46,AVE47,AVE48,AVE49,AVE50,AVE51,AVE52,AVE53,AVE54,AVE55,AVE56,AVE57,AVE58,AVE59,AVE60,AVE61,AVE62,AVE63,AVE64,,"AVE8,9,10","AVE40,41,42",,S7891011
-34.02493967,150.66318986,8,3.88,4.96,5.22,4.77,4.92,5.81,6.48,6.08,5.56,5.61,6.369999,6.43,5.55,5.03,5.52,5.82,5.050001,4.15,3.99,3.86,3.61,2.37,1.08,0.8700001,0.83,-0.3099999,-1.79,-2.33,-2.21,-2.59,-3.81,-4.53,-4.36,-4.36,-4.69,-5.57,-5.919999,-5.64,-5.38,-6.01,-6.47,-6.31,-5.539999,-5.699999,-5.83,-5.78,-4.96,-4.4,-4.15,-4.26,-3.94,-2.56,-2.12,-2.05,-1.97,-0.8000001,0.17,0.4200001,0.22,0.86,2.29,2.99,2.82,2.91,3.88,4.96,5.22,4.77,4.92,5.81,6.48,6.08,5.56,5.61,6.369999,6.43,5.55,5.03,5.52,5.82,5.050001,4.15,3.99,3.86,3.61,2.37,1.08,0.8700001,0.83,-0.3099999,-1.79,-2.33,-2.21,-2.59,-3.81,-4.53,-4.36,-4.36,-4.69,-5.57,-5.919999,-5.64,-5.38,-6.01,-6.47,-6.31,-5.539999,-5.699999,-5.83,-5.78,-4.96,-4.4,-4.15,-4.26,-3.94,-2.56,-2.12,-2.05,-1.97,-0.8000001,0.17,0.4200001,0.22,0.86,2.29,2.99,2.82,2.91,,5.75,6.26333333333333,6.00666666666667,6.0199998
-34.02501355,150.66317498,11,3.92,4.11,4.63,5.66,5.48,4.919999,5.29,6.02,6.039999,5.46,5.25,5.409999,6.05,5.660001,5.04,4.670001,5.12,5.04,3.99,2.99,2.73,2.65,1.73,0.36,-0.51,-0.5,-0.61,-1.66,-3,-3.75,-2.95,-3.32,-4.39,-5.19,-4.86,-4.67,-5.39,-6.59,-6.72,-5.98,-5.77,-6.330001,-6.7,-5.900001,-4.869999,-4.75,-5.170001,-4.79,-3.66,-3.19,-3.12,-3.39,-2.41,-1.16,-0.7999998,-1.04,-0.8000001,0.5699999,1.25,1.51,1.58,2.37,3.7,4.18,3.92,4.11,4.63,5.66,5.48,4.919999,5.29,6.02,6.039999,5.46,5.25,5.409999,6.05,5.660001,5.04,4.670001,5.12,5.04,3.99,2.99,2.73,2.65,1.73,0.36,-0.51,-0.5,-0.61,-1.66,-3,-3.75,-2.95,-3.32,-4.39,-5.19,-4.86,-4.67,-5.39,-6.59,-6.72,-5.98,-5.77,-6.330001,-6.7,-5.900001,-4.869999,-4.75,-5.170001,-4.79,-3.66,-3.19,-3.12,-3.39,-2.41,-1.16,-0.7999998,-1.04,-0.8000001,0.5699999,1.25,1.51,1.58,2.37,3.7,4.18,,5.83999966666667,6.026667,5.93333333333333,5.6119998
-34.02505843,150.66316579,12,4.8,4.95,4.31,4.51,5.62,6.44,6.09,5.68,5.95,6.759999,6.930001,6.04,5.41,5.67,6.009999,5.11,3.87,3.57,4.05,3.69,2.31,1.59,1.45,1.59,0.7299999,-0.85,-1.68,-1.65,-2,-3.3,-4.57,-4.59,-4.07,-4.55,-5.73,-6.279999,-5.65,-5.27,-5.85,-6.649999,-6.18,-5.65,-5.56,-6.22,-6.46,-5.49,-4.72,-4.85,-5.24,-4.8,-3.34,-2.67,-2.69,-2.51,-1.17,0.36,0.43,0.4799999,0.9099999,2.39,3.36,3.299999,2.77,3.65,4.8,4.95,4.31,4.51,5.62,6.44,6.09,5.68,5.95,6.759999,6.930001,6.04,5.41,5.67,6.009999,5.11,3.87,3.57,4.05,3.69,2.31,1.59,1.45,1.59,0.7299999,-0.85,-1.68,-1.65,-2,-3.3,-4.57,-4.59,-4.07,-4.55,-5.73,-6.279999,-5.65,-5.27,-5.85,-6.649999,-6.18,-5.65,-5.56,-6.22,-6.46,-5.49,-4.72,-4.85,-5.24,-4.8,-3.34,-2.67,-2.69,-2.51,-1.17,0.36,0.43,0.4799999,0.9099999,2.39,3.36,3.299999,2.77,3.65,,6.12999966666667,6.15999966666667,6.14499966666667,6.282
-34.02510585,150.66315552,13,4,3.73,4.18,5.08,5.82,5.89,5.52,6.03,6.67,7.009999,6.380001,5.95,5.989999,6.25,5.61,4.55,4.05,4.13,3.81,2.63,1.64,1.19,1.08,0.5599999,-0.3,-0.9200001,-0.8099999,-1.01,-1.99,-2.92,-3,-2.73,-3.57,-4.579999,-5.28,-4.95,-5.11,-5.72,-6.92,-6.92,-6.33,-6.43,-6.950001,-7.13,-6.29,-5.22,-4.9,-5.280001,-4.4,-3.1,-2.3,-2.28,-2.13,-1.01,-0.29,0.13,-0.08000003,0.18,1.05,2.03,1.82,1.58,2.74,3.53,4.15,4.4375,4.585,5.005,5.46,5.76499975,5.845,5.9525,6.05499975,6.2099995,6.23250025,5.95749975,5.74999975,5.65250025,5.54499975,5.03750025,4.52250025,4.2225,3.96,3.2925,2.5725,1.95,1.335,0.845,0.187499975,-0.645,-1.222499975,-1.6625,-2.3,-3.14,-3.5825,-3.7925,-4.0975,-4.66999975,-5.14,-5.36749975,-5.51749975,-5.805,-6.2175,-6.38999975,-6.1875,-6.18000025,-6.1875,-6.2375,-5.86249975,-5.31,-4.93750025,-4.83000025,-4.3625,-3.8375,-3.175,-2.725,-2.3375,-1.6825,-1.05749995,-0.337500025,-0.0700000325,0.412499975,0.857499975,1.6975,2.2625,2.55999975,3.0075,3.5675,,6.07249975,6.2525,6.162499875,6.322
-34.02515616,150.66314415,14,4.69,4.5,4.23,5.01,5.97,5.85,5.14,5.35,5.81,6.08,5.37,4.23,4.86,5.39,5.12,4.049999,3.58,3.88,4.09,3.3,2.24,1.95,2.2,1.63,0.17,-0.8,-1.03,-1.19,-2.06,-3.28,-3.76,-4.11,-3.71,-4.88,-5.149999,-5.36,-5.35,-5.11,-5.579999,-5.83,-5.46,-4.88,-5.14,-5.65,-5.47,-4.87,-4.49,-4.83,-4.58,-3.81,-2.91,-2.84,-2.78,-2.06,-1,-0.33,-0.45,0.009999975,0.9799999,2.07,2.28,1.95,2.68,3.54,4.3525,4.3225,4.3375,5.065,5.7225,5.77499975,5.51,5.77,6.11749975,6.3274995,5.9825005,5.40749975,5.57749975,5.74250025,5.44499975,4.595,4.155,4.155,3.985,3.1525,2.23,1.845,1.615,1.034999975,0.022499975,-0.767500025,-1.032499975,-1.3775,-2.2625,-3.3125,-3.57,-3.6875,-3.935,-4.79999975,-5.25499975,-5.31499975,-5.375,-5.6725,-6.26749975,-6.34499975,-5.935,-5.82250025,-6.08750025,-6.22500025,-5.77249975,-5.0825,-4.82000025,-4.93750025,-4.47,-3.725,-2.9175,-2.795,-2.5025,-1.685,-0.81499995,-0.22,-0.2250000325,0.30999994375,1.04749995,2,2.26,2.29999975,2.9725,3.725,,6.07166641666667,6.03416666666667,6.05291654166667,5.55
-34.02530051,150.66311286,17,3.71,3.22,4.71,6.129999,5.81,4.67,5.29,6.75,7.11,5.81,4.93,5.43,6.37,5.89,4.35,3.74,4.6,5.049999,3.31,1.9,2.32,2.88,2.41,0.84,-0.51,-0.08999995,0.1899999,-1.26,-3.07,-3.64,-3.01,-3.19,-4.71,-6.26,-5.399999,-4.51,-5.15,-6.64,-6.93,-5.75,-5.250001,-6.11,-6.9,-5.92,-4.75,-4.62,-5.57,-5.789999,-4.18,-3.06,-3.14,-3.67,-2.66,-0.5900001,-0.18,-1.09,-0.81,0.88,2.37,1.86,1.24,1.99,3.57,4.590001,4.3,4.1,4.3575,5.18249975,5.805,5.7125,5.51,5.9525,6.385,6.4149995,5.9025005,5.4125,5.65749975,5.8,5.27249975,4.36249975,4.025,4.15749975,3.815,2.88,2.1275,1.9025,1.785,1.154999975,0.022499975,-0.6650000125,-0.8325,-1.2775,-2.28,-3.285,-3.585,-3.655,-4.015,-5.06749975,-5.3899995,-5.27499975,-5.315,-5.685,-6.31999975,-6.28749975,-5.80500025,-5.7675,-6.13750025,-6.23,-5.7425,-5.05,-4.92,-5.1875,-4.6,-3.6925,-2.9225,-2.865,-2.565,-1.542500025,-0.66,-0.2325,-0.2275000075,0.38749996875,1.32749995,2.0875,2.175,2.20499975,2.94,3.82750025,,6.25083316666667,5.95333333333333,6.10208325,5.978
-34.02536009,150.66309354,18,4.27,4.34,4.64,5.5,5.62,5.37,5.62,6.08,6.239999,5.98,6.23,5.93,5.93,5.91,4.98,4.68,4.5,4.31,3.659999,2.73,2.26,2.2,1.73,0.6599999,-0.07000011,-0.25,-0.65,-1.57,-2.47,-3.03,-3.4,-3.99,-4.639999,-5.449999,-5.429999,-5.06,-5.91,-6.429999,-6.39,-5.87,-5.86,-6.08,-6.47,-5.549999,-4.840001,-4.68,-5.11,-4.66,-3.98,-3.6,-3.22,-3.32,-2.67,-1.56,-0.9299999,-0.9599999,-0.34,0.44,0.94,1.69,2.07,2.91,3.3,4.04,4.1675,3.9475,4.44,5.42999975,5.805,5.445,5.3925,6.0525,6.45749975,6.21999975,5.72750025,5.385,5.78749975,5.86,5.015,4.25499975,4.1825,4.34249975,3.71749975,2.64,2.115,2.055,1.855,0.92249995,-0.1775000275,-0.5150000125,-0.575,-1.2575,-2.3975,-3.2175,-3.2925,-3.505,-4.15749975,-5.2924995,-5.31499925,-4.97,-5.38,-5.97499975,-6.45499975,-6.0925,-5.72500025,-5.875,-6.36500025,-6.06249975,-5.33750025,-4.8475,-5.0175,-5.14,-4.285,-3.3925,-2.8925,-3.0275,-2.56,-1.305000025,-0.599999975,-0.562499975,-0.4200000075,0.37749999375,1.334999975,1.9125,1.8525,2.1075,3.0725,3.92500025,,6.24333316666667,5.89750008333333,6.070416625,6.0299998
-34.02542055,150.66307627,19,3.57,4.65,5.56,4.9,4.17,4.79,5.959999,6.22,5.39,4.92,5.45,6.549999,5.94,4.72,4.98,5.91,5.62,4.12,3.15,3.76,4.06,2.7,1.02,0.25,0.65,0.06000001,-1.66,-3.08,-2.98,-2.58,-3.59,-4.98,-5.44,-4.44,-4.449999,-5.320001,-6.319999,-5.599999,-4.86,-5.19,-6.01,-6.48,-5.58,-5,-5.42,-6.28,-5.69,-4.26,-3.81,-4.18,-4.17,-2.8,-1.46,-0.88,-1.6,-0.99,0.6599999,1.55,1.26,0.9799999,2.11,3.54,3.28,2.92,4.06,4.1775,4.785,5.38499975,5.3925,5.17,5.50249975,6.1,6.13749975,5.6975,5.495,5.53499975,5.775,5.4775,4.8575,4.59499975,4.575,4.33999975,3.55249975,2.9225,2.72,2.4325,1.84,0.844999975,0.0599999725,-0.269999985,-0.787500025,-1.775,-2.645,-3.1325,-3.44,-4.0675,-4.62499975,-5.25749975,-5.107499,-5.06250025,-5.68249975,-5.9449995,-5.93999975,-5.66,-5.64500025,-5.8875,-6.0225,-5.52999975,-5.12000025,-5.1125,-5.215,-4.88499975,-4.1375,-3.6625,-3.36,-3.1575,-2.3925,-1.272500025,-0.927499975,-0.842499975,-0.235000025,0.71999999375,1.387499975,1.649999975,1.925,2.5975,3.2075,3.77250025,,5.97833325,5.73083341666667,5.85458333333333,5.5879998
-34.02558237,150.66303213,22,3.88,4.29,5.06,5.440001,5.510001,5.45,5.719999,6.17,6.4,6.19,5.349999,5.96,6.210001,5.91,4.880001,4.68,4.97,4.57,4.02,3.36,3.02,2.75,2.14,0.9099999,0.32,-0.02000001,-0.43,-1.44,-2.84,-2.99,-2.94,-3.73,-5.17,-5.349999,-5.24,-5.18,-5.77,-6.32,-5.71,-5.69,-5.38,-5.99,-6.360001,-5.67,-5.14,-5.34,-6.099999,-5.5,-4.33,-3.95,-4.28,-4.02,-2.82,-1.93,-1.46,-1.34,-0.6200001,0.6500001,1.66,1.77,1.84,2.71,3.72,3.66,3.8575,4.125,4.9925,5.4925,5.27750025,5.07,5.6474995,6.305,6.28499975,5.725,5.48999975,5.96749975,6.11250025,5.6075,4.79750025,4.7525,4.9225,4.51249975,3.53499975,2.9375,2.915,2.6325,1.825,0.66499995,0.0974999725,-0.0749999875,-0.637500025,-1.8375,-2.84,-3.06,-3.235,-3.9725,-4.98999975,-5.3749995,-5.12999925,-5.01750025,-5.78749975,-6.2474995,-5.9725,-5.625,-5.62500025,-6.165,-6.32750025,-5.53499975,-5.03750025,-5.23,-5.61749975,-5.05249975,-4.075,-3.6975,-3.7025,-3.4525,-2.4025,-1.240000025,-1.042499975,-1.094999975,-0.27750005,0.880000025,1.5575,1.574999975,1.815,2.7875,3.4675,3.80250025,,6.10499991666667,5.80500008333333,5.955,5.9659996
-34.02574211,150.6629877,25,4.15,5.06,4.79,4.91,5.64,6.679999,7.13,6.740001,6.73,7.440001,7.410001,7.14,6.3,5.96,6.45,5.77,4.62,3.5,3.36,3.68,2.46,0.92,0.6,0.9200001,0.34,-0.48,-1.38,-1.14,-1.08,-1.59,-2.93,-3.89,-3.83,-4.05,-5.32,-6.65,-6.659999,-6.449999,-6.76,-7.910001,-8.009999,-7.49,-6.66,-6.9,-7.3,-6.559999,-5.57,-4.59,-4.78,-4.57,-2.92,-1.89,-1.94,-2.17,-1.54,0.07999998,0.65,0.52,0.8799999,1.05,2.58,2.76,3,2.79,3.9675,4.585,5.0125,5.18750025,5.23500025,5.57249975,6.1074995,6.30250025,6.18999975,6.13250025,6.11,6.39499975,6.09500025,5.625,5.32250025,5.26,4.9275,4.125,3.54749975,3.3825,2.95,2.1425,1.3725,0.684999975,0.3099999725,-0.1725,-1.03,-1.8075,-2.3425,-2.5475,-3.215,-4.1475,-4.76999975,-4.8224995,-5.1099995,-5.55250025,-6.1649995,-6.19999925,-5.93,-6.16500025,-6.31499975,-6.51,-6.26750025,-5.77999975,-5.67500025,-5.71499975,-5.61749975,-4.7525,-4.225,-4.075,-3.6475,-3.0075,-2.2225,-1.635,-1.382499975,-0.80249998,0.08749995,0.790000025,1.184999975,1.372499975,2.15,2.98,3.325,3.3525,,6.20833341666667,6.33,6.26916670833333,7.0900006
-34.02580279,150.66297367,26,3.75,4.14,4.7,5.05,5.24,5.19,5.43,5.86,6.01,5.5,5.329999,5.45,5.56,5.31,4.79,4.71,4.47,4.31,3.65,3.13,2.71,2.46,1.76,0.73,0.26,-0.3000001,-0.5699999,-1.46,-1.95,-2.65,-2.86,-3.24,-3.91,-4.32,-4.59,-4.61,-5.05,-5.77,-6.07,-6,-6.090001,-6.51,-6.53,-5.98,-5.79,-5.29,-5.05,-4.58,-3.9,-3.6,-2.96,-2.82,-2.29,-1.71,-1.31,-1,-0.51,0.46,1.12,1.24,1.68,2.43,3.21,3.579999,3.8375,4.535,5.0275,5.07500025,5.14000025,5.52749975,6.0599995,6.24750025,6.1325,6.01250025,5.88499975,6.27499975,6.00250025,5.475,5.27500025,5.2675,4.92,4.125,3.545,3.4825,3.0625,2.2075,1.38,0.7025,0.3925,-0.185000025,-1.009999975,-1.78,-2.2125,-2.4525,-3.08,-3.96,-4.5875,-4.53999975,-4.89999975,-5.44000025,-5.9499995,-6.0349995,-5.85,-6.19750025,-6.3725,-6.6175,-6.28250025,-5.8875,-5.9125,-5.86749975,-5.60249975,-4.7325,-4.205,-4.075,-3.5825,-2.8825,-2.1275,-1.6725,-1.4775,-0.812500005,0.04499995,0.795000025,1.229999975,1.259999975,2.0525,2.86,3.3025,3.23749975,,6.1308335,6.39583341666667,6.26333345833333,5.6259998
-34.02586651,150.66296075,27,4.21,4.51,5.16,5.539999,5.52,5.39,5.88,6.15,6.150001,5.86,5.61,5.51,5.57,5.5,4.98,4.44,4.5,4.38,3.96,3.32,3.15,2.68,2,1.26,0.64,-0.07999993,-0.8000001,-1.44,-2.05,-2.72,-3.51,-4.09,-4.68,-4.380001,-5.26,-5.7,-6.349999,-6.5,-5.880001,-6.49,-6.79,-6.690001,-5.920001,-5.530001,-5.55,-5.48,-4.82,-4.13,-3.7,-3.41,-3.26,-3.02,-2.27,-1.84,-1.67,-1,-0.42,0.12,0.71,1.17,1.82,2.34,3,3.88,3.9975,4.5,4.9275,5.235,5.47750025,5.67749975,6.03999975,6.23000025,6.32250025,6.24750025,5.92499975,6.015,5.91000025,5.67,5.27500025,4.9,4.64,4.19,3.7475,3.3725,2.835,2.2025,1.625,0.955,0.39,-0.22000001,-0.795,-1.37,-1.98,-2.4875,-3.06,-3.7375,-4.3975,-4.525,-5.1025,-5.535,-5.9574995,-6.25999975,-6.10500025,-6.52250025,-6.5675,-6.67000025,-6.3675005,-6.02000025,-5.945,-5.66749975,-5.38499975,-4.7,-4.1775,-3.8825,-3.355,-2.9375,-2.33,-1.9125,-1.495,-0.815000005,-0.225000025,0.437500025,1.092499975,1.3075,1.98,2.56,3.2325,3.47749975,,6.26666691666667,6.58666683333333,6.426666875,5.9300002
-34.02592839,150.662948,28,4.25,4.28,4.35,5.39,6.26,6.33,5.87,6.45,7,7.060001,6.37,6,5.96,6.07,5.410001,4.57,4.4,4.28,4.389999,3.39,2.54,2.26,2.23,1.2,0.08999992,-0.62,-0.93,-1.44,-2.58,-3.58,-4.2,-4.02,-4.33,-5.350001,-5.949999,-5.21,-5.42,-5.7,-6.259999,-6.320001,-5.72,-5.81,-6.280001,-6.599999,-6.02,-5.49,-5.4,-5.91,-5.420001,-4.06,-3.5,-2.91,-3.11,-1.75,-0.68,-0.2,-0.2500001,0.27,1.11,2,2.23,2.16,2.85,3.78,4.09,4.4975,4.75,5.22249975,5.665,5.89749975,6.0775,6.30000025,6.47250025,6.4650005,6.18,6.025,5.8475,5.71,5.40750025,4.8725,4.4975,4.1175,3.83999975,3.38,2.715,2.08,1.6475,1.027500025,0.33249998,-0.3700000075,-0.92,-1.37,-1.915,-2.635,-3.375,-3.81,-4.1875,-4.5250005,-5.27999975,-5.5425,-5.8699995,-6.10499975,-6.2425,-6.6800005,-6.6525,-6.62500025,-6.3475005,-6.2525,-6.165,-5.70499975,-5.21,-4.8025,-4.45000025,-3.91,-3.16,-2.66,-2.4025,-1.8675,-1.3,-0.530000005,-0.132500025,0.3425,0.954999975,1.365,2.0775,2.4225,3.015,3.50749975,,6.41250033333333,6.65250025,6.53250029166667,6.5500002
