DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20180823,14633,21111,150.6636033,-34.0213467,67.6,90.4,0.1,0,gps,,,,,,,,,,,,,
20180823,14634,21111,150.6636033,-34.0213467,67.6,90.4,0.1,0,gps,,,,,,,,,,,,,
20180823,14635,21111,150.6636033,-34.0213467,67.6,90.4,0,0,gps,,,,,,,,,,,,,
20180823,14636,21111,150.6636017,-34.0213467,67.61,90.41,0.3,0,gps,,,,,,,,,,,,,
20180823,14637,21111,150.6636017,-34.0213467,67.62,90.42,0.1,0,gps,,,,,,,,,,,,,
20180823,14638,21111,150.6636017,-34.0213467,67.62,90.42,0.1,0,gps,,,,,,,,,,,,,
20180823,14639,21111,150.6636017,-34.0213467,67.63,90.43,0,0,gps,,,,,,,,,,,,,
20180823,14640,21111,150.6636017,-34.0213467,67.64,90.44,0,0,gps,,,,,,,,,,,,,
20180823,14641,21111,150.6636000,-34.0213467,67.64,90.44,0.3,0,gps,,,,,,,,,,,,,
20180823,14642,21111,150.6636000,-34.0213467,67.65,90.45,0.1,0,gps,,,,,,,,,,,,,
20180823,14643,21111,150.6636000,-34.0213467,67.65,90.45,0.1,0,gps,,,,,,,,,,,,,
20180823,14644,21111,150.6636000,-34.0213450,67.67,90.47,0.3,0,gps,,,,,,,,,,,,,
20180823,14645,21211,150.6636000,-34.0213450,67.69,90.49,0.2,0,gps,,,,,,,,,,,,,
20180823,14646,21211,150.6636000,-34.0213450,67.71,90.51,0.1,0,gps,,,,,,,,,,,,,
20180823,14647,21211,150.6635983,-34.0213450,67.74,90.54,0.3,0,gps,,,,,,,,,,,,,
20180823,14648,21211,150.6635983,-34.0213450,67.77,90.57,0.1,0,gps,,,,,,,,,,,,,
20180823,14649,21211,150.6635983,-34.0213450,67.78,90.58,0.1,0,gps,,,,,,,,,,,,,
20180823,14650,21211,150.6635983,-34.0213450,67.79,90.59,0,0,gps,,,,,,,,,,,,,
20180823,14651,21211,150.6635983,-34.0213450,67.81,90.61,0,0,gps,,,,,,,,,,,,,
20180823,14652,21211,150.6635983,-34.0213450,67.82,90.62,0,0,gps,,,,,,,,,,,,,
20180823,14653,21211,150.6635983,-34.0213450,67.85,90.65,0,0,gps,,,,,,,,,,,,,
20180823,14654,21211,150.6635983,-34.0213450,67.88,90.68,0,0,gps,,,,,,,,,,,,,
20180823,14655,21211,150.6635983,-34.0213450,67.92,90.72,0,0,gps,,,,,,,,,,,,,
20180823,14656,21211,150.6635983,-34.0213450,67.98,90.78,0,0,gps,,,,,,,,,,,,,
20180823,14657,21211,150.6635983,-34.0213450,68.03,90.83,0,0,gps,,,,,,,,,,,,,
20180823,14658,21211,150.6635983,-34.0213450,68.07,90.87,0,0,gps,,,,,,,,,,,,,
20180823,14659,21211,150.6635983,-34.0213450,68.11,90.91,0,0,gps,,,,,,,,,,,,,
20180823,14700,21211,150.6635983,-34.0213450,68.14,90.94,0,0,gps,,,,,,,,,,,,,
20180823,14701,21211,150.6635983,-34.0213450,68.17,90.97,0,0,gps,,,,,,,,,,,,,
20180823,14702,21211,150.6635983,-34.0213450,68.17,90.97,0,0,gps,,,,,,,,,,,,,
20180823,14703,21211,150.6635983,-34.0213450,68.18,90.98,0,0,gps,,,,,,,,,,,,,
20180823,14704,21211,150.6635983,-34.0213450,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14705,21211,150.6636000,-34.0213450,68.21,91.01,0.3,0,gps,,,,,,,,,,,,,
20180823,14706,21211,150.6636000,-34.0213450,68.23,91.03,0.1,0,gps,,,,,,,,,,,,,
20180823,14707,21211,150.6636000,-34.0213450,68.24,91.04,0.1,0,gps,,,,,,,,,,,,,
20180823,14708,21211,150.6636017,-34.0213450,68.26,91.06,0.3,0,gps,,,,,,,,,,,,,
20180823,14709,21211,150.6636017,-34.0213450,68.25,91.05,0.2,0,gps,,,,,,,,,,,,,
20180823,14710,21111,150.6636017,-34.0213450,68.27,91.07,0.1,0,gps,,,,,,,,,,,,,
20180823,14711,21111,150.6636017,-34.0213450,68.27,91.07,0,0,gps,,,,,,,,,,,,,
20180823,14712,21111,150.6636017,-34.0213450,68.27,91.07,0,0,gps,,,,,,,,,,,,,
20180823,14713,21111,150.6636017,-34.0213450,68.25,91.05,0,0,gps,,,,,,,,,,,,,
20180823,14714,21111,150.6636017,-34.0213450,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14715,21111,150.6636017,-34.0213450,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14716,21111,150.6636017,-34.0213450,68.18,90.98,0,0,gps,,,,,,,,,,,,,
20180823,14717,21111,150.6636017,-34.0213450,68.17,90.97,0,0,gps,,,,,,,,,,,,,
20180823,14718,21111,150.6636017,-34.0213450,68.16,90.96,0,0,gps,,,,,,,,,,,,,
20180823,14719,21111,150.6636017,-34.0213450,68.14,90.94,0,0,gps,,,,,,,,,,,,,
20180823,14720,21111,150.6636017,-34.0213450,68.13,90.93,0,0,gps,,,,,,,,,,,,,
20180823,14721,21111,150.6636017,-34.0213450,68.12,90.92,0,0,gps,,,,,,,,,,,,,
20180823,14722,21111,150.6636017,-34.0213450,68.13,90.93,0,0,gps,,,,,,,,,,,,,
20180823,14723,21111,150.6636017,-34.0213450,68.12,90.92,0,0,gps,,,,,,,,,,,,,
20180823,14724,21111,150.6636017,-34.0213450,68.14,90.94,0,0,gps,,,,,,,,,,,,,
20180823,14725,21111,150.6636017,-34.0213450,68.15,90.95,0,0,gps,,,,,,,,,,,,,
20180823,14726,21011,150.6636017,-34.0213450,68.16,90.96,0,0,gps,,,,,,,,,,,,,
20180823,14727,21012,150.6636017,-34.0213450,68.17,90.97,0,0,gps,,,,,,,,,,,,,
20180823,14728,21012,150.6636017,-34.0213450,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14729,21012,150.6636017,-34.0213450,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14730,21012,150.6636017,-34.0213433,68.21,91.01,0.3,0,gps,,,,,,,,,,,,,
20180823,14731,21012,150.6636017,-34.0213433,68.22,91.02,0.2,0,gps,,,,,,,,,,,,,
20180823,14732,21012,150.6636017,-34.0213433,68.21,91.01,0.1,0,gps,,,,,,,,,,,,,
20180823,14733,21012,150.6636017,-34.0213433,68.22,91.02,0,0,gps,,,,,,,,,,,,,
20180823,14734,21012,150.6636017,-34.0213433,68.22,91.02,0,0,gps,,,,,,,,,,,,,
20180823,14735,21012,150.6636017,-34.0213433,68.21,91.01,0,0,gps,,,,,,,,,,,,,
20180823,14736,21012,150.6636017,-34.0213433,68.22,91.02,0,0,gps,,,,,,,,,,,,,
20180823,14737,21012,150.6636017,-34.0213433,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14738,21012,150.6636017,-34.0213433,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14739,21012,150.6636017,-34.0213433,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14740,21012,150.6636033,-34.0213433,68.23,91.03,0.3,0,gps,,,,,,,,,,,,,
20180823,14741,21012,150.6636033,-34.0213433,68.24,91.04,0.1,0,gps,,,,,,,,,,,,,
20180823,14742,21012,150.6636033,-34.0213433,68.24,91.04,0.1,0,gps,,,,,,,,,,,,,
20180823,14743,21012,150.6636033,-34.0213433,68.24,91.04,0,0,gps,,,,,,,,,,,,,
20180823,14744,20917,150.6636033,-34.0213433,68.25,91.05,0,0,gps,,,,,,,,,,,,,
20180823,14745,21012,150.6636033,-34.0213433,68.25,91.05,0,0,gps,,,,,,,,,,,,,
20180823,14746,21012,150.6636033,-34.0213433,68.25,91.05,0,0,gps,,,,,,,,,,,,,
20180823,14747,21012,150.6636033,-34.0213433,68.24,91.04,0,0,gps,,,,,,,,,,,,,
20180823,14748,20917,150.6636033,-34.0213433,68.24,91.04,0,0,gps,,,,,,,,,,,,,
20180823,14749,21012,150.6636033,-34.0213433,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14750,21012,150.6636033,-34.0213433,68.24,91.04,0,0,gps,,,,,,,,,,,,,
20180823,14751,21012,150.6636033,-34.0213433,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14752,20917,150.6636033,-34.0213433,68.24,91.04,0,0,gps,,,,,,,,,,,,,
20180823,14753,20917,150.6636033,-34.0213433,68.24,91.04,0,0,gps,,,,,,,,,,,,,
20180823,14754,20917,150.6636033,-34.0213433,68.24,91.04,0,0,gps,,,,,,,,,,,,,
20180823,14755,20917,150.6636033,-34.0213433,68.24,91.04,0,0,gps,,,,,,,,,,,,,
20180823,14756,20917,150.6636033,-34.0213433,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14757,20917,150.6636050,-34.0213433,68.26,91.06,0.3,0,gps,,,,,,,,,,,,,
20180823,14758,20917,150.6636050,-34.0213433,68.26,91.06,0.1,0,gps,,,,,,,,,,,,,
20180823,14759,20917,150.6636050,-34.0213433,68.26,91.06,0.1,0,gps,,,,,,,,,,,,,
20180823,14800,20917,150.6636050,-34.0213417,68.26,91.06,0.3,0,gps,,,,,,,,,,,,,
20180823,14801,20917,150.6636050,-34.0213417,68.26,91.06,0.2,0,gps,,,,,,,,,,,,,
20180823,14802,20917,150.6636050,-34.0213417,68.27,91.07,0.1,0,gps,,,,,,,,,,,,,
20180823,14803,20917,150.6636050,-34.0213417,68.28,91.08,0,0,gps,,,,,,,,,,,,,
20180823,14804,20917,150.6636050,-34.0213417,68.28,91.08,0,0,gps,,,,,,,,,,,,,
20180823,14805,20917,150.6636050,-34.0213417,68.26,91.06,0,0,gps,,,,,,,,,,,,,
20180823,14806,20917,150.6636050,-34.0213417,68.25,91.05,0,0,gps,,,,,,,,,,,,,
20180823,14807,20917,150.6636050,-34.0213417,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14808,20917,150.6636050,-34.0213417,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14809,20916,150.6636050,-34.0213417,68.23,91.03,0,0,gps,,,,,,,,,,,,,
20180823,14810,21016,150.6636050,-34.0213417,68.21,91.01,0,0,gps,,,,,,,,,,,,,
20180823,14811,21016,150.6636050,-34.0213417,68.22,91.02,0,0,gps,,,,,,,,,,,,,
20180823,14812,21016,150.6636050,-34.0213417,68.22,91.02,0,0,gps,,,,,,,,,,,,,
20180823,14813,21016,150.6636050,-34.0213417,68.22,91.02,0,0,gps,,,,,,,,,,,,,
20180823,14814,21016,150.6636050,-34.0213417,68.21,91.01,0,0,gps,,,,,,,,,,,,,
20180823,14815,21016,150.6636050,-34.0213417,68.2,91,0,0,gps,,,,,,,,,,,,,
20180823,14816,21016,150.6636050,-34.0213417,68.2,91,0,0,gps,,,,,,,,,,,,,
20180823,14817,21016,150.6636050,-34.0213417,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14818,21111,150.6636050,-34.0213417,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14819,21111,150.6636050,-34.0213417,68.18,90.98,0,0,gps,,,,,,,,,,,,,
20180823,14820,21111,150.6636067,-34.0213417,68.18,90.98,0.3,0,gps,,,,,,,,,,,,,
20180823,14821,21111,150.6636067,-34.0213417,68.19,90.99,0.1,0,gps,,,,,,,,,,,,,
20180823,14822,21111,150.6636067,-34.0213417,68.19,90.99,0.1,0,gps,,,,,,,,,,,,,
20180823,14823,21111,150.6636067,-34.0213417,68.2,91,0,0,gps,,,,,,,,,,,,,
20180823,14824,21111,150.6636067,-34.0213417,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14825,21111,150.6636067,-34.0213417,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14826,21111,150.6636067,-34.0213417,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14827,21111,150.6636067,-34.0213417,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14828,21111,150.6636067,-34.0213417,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14829,21111,150.6636067,-34.0213417,68.2,91,0,0,gps,,,,,,,,,,,,,
20180823,14830,21111,150.6636067,-34.0213417,68.2,91,0,0,gps,,,,,,,,,,,,,
20180823,14831,21111,150.6636067,-34.0213417,68.2,91,0,0,gps,,,,,,,,,,,,,
20180823,14832,21111,150.6636067,-34.0213417,68.2,91,0,0,gps,,,,,,,,,,,,,
20180823,14833,21111,150.6636067,-34.0213417,68.2,91,0,0,gps,,,,,,,,,,,,,
20180823,14834,21111,150.6636067,-34.0213417,68.19,90.99,0,0,gps,,,,,,,,,,,,,
20180823,14835,21111,150.6636067,-34.0213417,68.18,90.98,0,0,gps,,,,,,,,,,,,,
20180823,14836,21111,150.6636067,-34.0213417,68.17,90.97,0,0,gps,,,,,,,,,,,,,
20180823,14837,21111,150.6636067,-34.0213417,68.15,90.95,0,0,gps,,,,,,,,,,,,,
20180823,14838,21111,150.6636067,-34.0213417,68.15,90.95,0,0,gps,,,,,,,,,,,,,
20180823,14839,21111,150.6636067,-34.0213417,68.14,90.94,0,0,gps,,,,,,,,,,,,,
20180823,14840,21111,150.6636067,-34.0213417,68.13,90.93,0,0,gps,,,,,,,,,,,,,
20180823,14841,21111,150.6636067,-34.0213417,68.12,90.92,0,0,gps,,,,,,,,,,,,,
20180823,14842,21111,150.6636067,-34.0213417,68.13,90.93,0,0,gps,,,,,,,,,,,,,
20180823,14843,21111,150.6636067,-34.0213417,68.13,90.93,0,0,gps,,,,,,,,,,,,,
