ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64
0,1.29,1.65,1.17,1.41,1.21,1.41,1.17,1.63,1.81,1.57,1.53,1.03,0.09000001,0.11,-0.25,-0.41,-0.37,-0.49,-0.43,-0.61,-0.55,-0.61,-0.63,-0.39,-0.64,-0.5700001,-0.59,-0.5700001,-0.5900001,-0.53,-0.4099999,-0.63,-0.46,-0.51,-0.67,-0.49,-0.51,-0.45,-0.57,-0.71,-0.65,-0.67,-0.41,-0.6900001,-0.73,-0.77,-0.89,-1.11,-1.13,-0.77,-0.57,-0.35,-0.19,0.17,0.07,0.07,0.11,0.39,0.21,0.57,0.67,0.87,1.13,1.05
1,1.42,1.26,1.3,1.45,1.3,1.46,1.5,1.3,1.6,1.52,1.44,1.26,0.36,0.6,0.16,0.14,-0.2,-0.28,-0.54,-0.54,-0.56,-0.64,-0.56,-0.68,-0.5700001,-0.6,-0.52,-0.6,-0.5,-0.76,-0.68,-0.62,-0.82,-1.06,-0.76,-0.7,-0.9599999,-0.86,-0.7,-1.02,-0.96,-0.62,-0.7,-0.9,-0.88,-1.02,-1.08,-1.36,-1.44,-1.02,-0.64,-0.5,-0.25,-1.490116e-08,0.5,0.4,0.68,0.8200001,0.56,1.1,1.21,1.24,1.34,1.12
2,1.03,1.25,1.35,0.9700001,1.25,1.23,1.11,1.55,1.36,1.55,1.59,1.17,0.71,0.15,0.15,-0.39,-0.27,-0.39,-0.35,-0.51,-0.45,-0.55,-0.47,-0.5900001,-0.35,-0.69,-0.71,-0.62,-0.61,-0.57,-0.5900001,-0.5900001,-0.63,-0.51,-0.6300001,-0.53,-0.41,-0.59,-0.65,-0.75,-0.67,-0.5700001,-0.85,-0.55,-0.83,-0.73,-0.8,-0.93,-0.85,-0.81,-0.55,-0.41,-0.06999999,-0.09,0.01,0.23,0.17,0.37,0.41,0.75,0.67,0.61,0.93,0.9700001
3,1.07,1.25,0.95,1.15,1.45,1.39,1.35,1.15,1.35,1.33,1.39,1.17,0.51,0.37,0.17,-0.05,-0.09,-0.31,-0.35,-0.41,-0.71,-0.49,-0.71,-0.47,-0.47,-0.37,-0.65,-0.55,-0.67,-0.75,-0.65,-0.71,-0.69,-0.68,-0.69,-0.61,-0.61,-0.6900001,-0.71,-0.77,-0.75,-0.85,-0.73,-0.81,-0.93,-1.09,-1.17,-1.41,-1.43,-0.89,-0.47,-0.15,-0.05,0.23,0.47,0.51,0.73,0.73,0.71,0.9099999,0.83,1.13,1.32,1.23
4,1.07,1.05,1.17,1.25,1.09,1.33,1.09,1.25,1.19,1.23,1.23,1.15,0.81,0.39,0.31,0.23,-0.23,-0.13,-0.33,-0.35,-0.33,-0.47,-0.37,-0.67,-0.7099999,-0.75,-0.75,-0.65,-0.72,-0.51,-0.57,-0.47,-0.62,-0.55,-0.83,-0.6099999,-0.63,-0.6900001,-0.55,-0.47,-0.67,-0.73,-0.91,-0.97,-0.81,-1.07,-0.9700001,-1.21,-1.17,-1.07,-0.47,-0.11,0.11,0.21,0.41,0.51,0.51,0.53,0.71,0.73,0.73,0.91,0.85,1.03
5,1.21,1.11,1.15,1.33,1.27,1.33,1.35,1.39,1.21,1.35,1.53,1.09,0.57,0.27,0.41,0.33,-0.29,-0.37,-0.21,-0.39,-0.5700001,-0.45,-0.22,-0.33,-0.37,-0.5900001,-0.45,-0.35,-0.71,-0.45,-0.69,-0.61,-0.6900001,-0.75,-0.81,-0.69,-0.99,-0.73,-0.85,-0.79,-0.79,-0.77,-0.86,-0.87,-0.93,-1.01,-1.19,-1.45,-1.32,-1.13,-0.85,-0.5900001,0.09,0.17,0.47,0.57,0.41,0.63,0.65,0.69,1.05,1.13,1.11,1.31
6,0.9599999,0.9799999,1.14,1.06,1.07,1.18,1.14,1.38,1.41,1.46,1.58,1.38,0.34,0.24,0.14,0.08,-0.3,-0.28,-0.5,-0.46,-0.32,-0.36,-0.42,-0.34,-0.42,-0.62,-0.46,-0.26,-0.62,-0.62,-0.58,-0.54,-0.62,-0.64,-0.6,-0.66,-0.6800001,-0.64,-0.74,-0.73,-0.7,-0.68,-0.6,-0.68,-0.72,-0.78,-1.05,-1.08,-1.18,-0.9400001,-0.46,-0.3,0.06,0.06,0.16,0.36,0.58,0.4,0.56,0.72,0.8400001,0.8400001,0.88,0.8199999
7,1.07,1.09,1.09,1.19,1.13,1.25,1.19,1.45,1.49,1.47,1.37,0.95,0.51,0.57,0.49,0.35,-0.14,-0.04,-0.17,-0.39,-0.41,-0.45,-0.32,-0.51,-0.41,-0.45,-0.57,-0.67,-0.69,-0.73,-0.55,-0.63,-0.73,-0.61,-0.69,-0.9099999,-0.85,-0.81,-0.8099999,-0.9300001,-0.89,-0.79,-0.7900001,-0.89,-1.15,-1.37,-1.65,-1.71,-1.63,-1.21,-0.6300001,-0.37,0.25,0.49,0.45,0.65,0.75,1.05,1.03,1.07,0.89,1.11,1.25,1.25
8,0.81,0.87,0.73,0.89,0.89,0.93,1.09,0.98,1.03,1.01,1.05,1.09,0.46,0.72,0.17,0.45,0.17,-0.03,-0.05,-0.09,-0.06999999,-0.31,-0.25,-0.31,-0.43,-0.29,-0.11,-0.25,-0.23,-0.37,-0.33,-0.49,-0.5900001,-0.61,-0.53,-0.53,-0.52,-0.51,-0.65,-0.61,-0.63,-0.75,-0.83,-0.75,-0.87,-1.05,-1.25,-1.45,-1.69,-1.45,-0.33,-0.31,0.23,0.23,0.41,0.45,0.35,0.59,0.59,0.43,0.73,0.73,0.57,0.8299999
9,0.73,0.99,1.07,0.97,1.17,1.07,1.19,0.9299999,1.23,1.29,1.2,1.42,0.57,0.53,0.35,0.11,0.07,-0.19,-0.19,-0.37,-0.37,-0.31,-0.41,-0.45,-0.43,-0.39,-0.45,-0.49,-0.45,-0.5900001,-0.64,-0.43,-0.51,-0.79,-0.73,-0.57,-0.61,-0.69,-0.57,-0.65,-0.71,-0.5900001,-0.53,-0.53,-0.7,-0.9299999,-1.43,-1.33,-1.35,-0.81,-0.49,-0.27,-0.05,0.07,0.33,0.33,0.35,0.47,0.63,0.63,0.79,0.79,0.87,0.85
10,0.8000001,0.74,0.8200001,1.0,0.8599999,0.86,1.04,0.94,0.9400001,1.08,0.9799999,0.86,0.65,0.3,0.4,0.08,0.08,-0.08,-0.12,0.02,-0.38,-0.32,-0.3,-0.46,-0.42,-0.34,-0.4,-0.56,-0.38,-0.3,-0.48,-0.42,-0.68,-0.5,-0.84,-0.78,-0.48,-0.68,-0.68,-0.64,-0.74,-0.66,-0.74,-0.8200001,-0.78,-1.18,-1.24,-1.26,-1.26,-0.78,-0.44,0.22,0.6599999,0.24,0.4,0.68,0.54,0.42,0.64,0.64,0.54,0.73,0.6,0.8
11,1.0,0.9599999,1.12,1.08,1.02,1.14,1.34,1.24,1.18,1.26,1.28,1.06,0.18,0.51,0.26,0.18,0.18,-0.2,-0.1,-0.4,-0.14,-0.48,-0.56,-0.44,-0.62,-0.44,-0.76,-0.66,-0.68,-0.6,-0.62,-0.8799999,-0.72,-0.76,-0.51,-0.42,-0.46,-0.42,-0.9599999,-0.8,-0.6,-1.04,-0.9,-0.82,-1.01,-1.36,-1.4,-1.58,-1.48,-1.14,-0.56,-0.02,0.32,0.68,0.72,0.64,0.78,0.68,0.8400001,0.96,0.94,1.06,1.06,1.02
12,1.08,1.04,1.0,1.18,1.22,1.16,1.34,1.3,1.22,1.28,1.36,1.1,0.5,0.58,0.48,0.54,0.04,0.05,-0.2,-0.18,-0.26,-0.36,-0.42,-0.6800001,-0.64,-0.5,-0.5,-0.52,-0.5,-0.76,-0.72,-0.84,-0.82,-0.8,-0.88,-0.74,-0.8599999,-0.9,-0.92,-0.9,-0.78,-1.04,-1.06,-1.08,-1.08,-1.54,-1.72,-1.6,-1.58,-1.28,-0.6599999,-0.06,0.56,0.54,0.74,0.78,0.83,0.88,1.06,1.14,1.28,1.16,0.94,1.16
13,1.08,0.9,0.99,0.92,1.08,1.06,0.96,1.24,1.0,1.04,0.88,1.06,0.6800001,0.6799999,0.28,0.12,0.24,-0.02000001,0.17,0.16,0.14,-0.14,-0.28,-0.07,-0.42,-0.42,-0.38,-0.44,-0.34,-0.25,-0.28,-0.42,-0.68,-0.6800001,-0.72,-0.6,-0.82,-0.82,-0.8,-0.62,-0.9599999,-1.12,-0.76,-1.08,-1.14,-1.46,-1.64,-1.64,-1.88,-1.38,-0.8099999,-0.22,0.46,0.58,0.48,0.72,0.88,0.96,1.02,0.86,0.46,0.8599999,0.76,1.06
14,1.23,1.29,1.07,1.05,0.91,1.13,1.25,1.45,1.39,1.27,1.37,1.25,0.65,1.05,0.57,0.54,-0.05,0.08999998,-0.13,-0.09,-0.25,-0.31,-0.41,-0.63,-0.45,-0.47,-0.55,-0.63,-0.61,-0.53,-0.45,-0.87,-0.6900001,-0.41,-0.63,-1.07,-0.63,-1.03,-0.97,-1.01,-0.8900001,-1.05,-1.13,-1.07,-1.03,-1.41,-1.73,-1.95,-1.61,-1.55,-0.83,-0.35,0.53,0.5900001,0.31,0.81,0.71,0.81,0.9700001,0.9700001,0.89,0.89,0.99,1.19
15,0.95,0.99,1.13,0.89,0.91,1.07,1.01,0.91,0.99,1.12,1.07,1.07,0.61,0.47,0.25,0.36,0.21,-0.01,0.11,-0.25,-0.17,-0.51,-0.31,-0.13,-0.29,-0.47,-0.43,-0.75,-0.49,-0.67,-0.63,-0.67,-0.5900001,-0.67,-0.83,-0.67,-0.89,-0.57,-0.75,-0.68,-0.67,-0.8400001,-0.87,-0.67,-0.9700001,-1.23,-1.33,-1.59,-1.73,-1.43,-0.47,0.00999999,0.51,0.33,0.25,0.39,0.9099999,0.83,0.85,0.85,0.89,0.9499999,0.97,0.77
16,1.0,0.8400001,0.93,1.2,1.18,1.2,1.22,1.38,1.28,1.16,1.32,1.22,1.02,0.34,0.42,0.34,-0.1,-0.02,-0.22,-0.16,-0.22,-0.4,-0.26,-0.5,-0.38,-0.4,-0.4,-0.54,-0.5599999,-0.54,-0.64,-0.53,-0.5,-0.54,-0.64,-0.56,-0.62,-0.58,-0.62,-0.74,-0.88,-0.8400001,-0.88,-0.88,-1.04,-1.06,-1.34,-1.48,-1.26,-1.04,-0.42,-0.14,0.12,0.03999999,0.32,0.4,0.5599999,0.42,0.5599999,0.62,0.86,0.72,0.84,0.7
17,0.8599999,0.7,0.76,0.76,0.92,0.88,0.9599999,0.9,0.88,0.84,0.9,0.96,0.58,0.58,0.6,0.36,0.25,0.3,0.14,0.2,-0.12,0.02000002,-0.12,-0.08,-0.14,-0.2,-0.36,-0.4,-0.56,-0.4,-0.38,-0.6,-0.46,-0.49,-0.58,-0.46,-0.8,-0.5,-0.74,-0.6,-0.76,-0.84,-0.66,-0.88,-0.9,-1.6,-1.84,-1.98,-1.94,-1.26,-0.68,-0.1,0.36,0.44,0.54,0.62,0.83,0.82,0.8,0.8599999,0.7,0.83,0.8,0.78
18,1.25,1.09,1.21,1.05,1.37,1.1,1.29,1.47,1.35,1.31,1.07,0.93,0.53,0.72,0.37,0.59,0.09,0.17,-0.03,-0.43,-0.33,-0.31,-0.21,-0.47,-0.69,-0.39,-0.51,-0.53,-0.75,-0.61,-0.71,-0.73,-0.75,-0.93,-0.79,-0.8700001,-1.01,-0.91,-1.05,-0.99,-1.05,-0.95,-1.01,-1.13,-1.37,-1.63,-1.87,-1.83,-1.85,-1.13,-0.43,-0.009999994,0.45,0.37,0.59,0.73,0.79,0.9299999,1.03,1.15,1.13,1.07,1.17,1.19
19,1.11,1.07,0.79,1.05,0.89,1.15,1.25,1.19,1.11,1.11,1.43,0.71,0.73,0.31,0.43,-0.07,0.19,-0.09,-0.25,-0.37,-0.23,-0.06999999,-0.31,-0.35,-0.41,-0.51,-0.51,-0.31,-0.69,-0.39,-0.43,-0.51,-0.89,-0.61,-0.54,-0.69,-0.73,-0.5700001,-0.79,-0.77,-0.6599999,-0.71,-0.79,-0.91,-1.13,-1.01,-1.35,-1.39,-1.41,-1.15,-0.45,0.01,0.17,0.33,0.41,0.35,0.77,0.5900001,0.79,0.65,0.62,0.75,0.75,0.87
