DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20190510,31414.32,,,,,,,,,$PDLM1,131416,+2.4,+0.83,+2.0,-0.53,,,,,,,
20190510,31414.32,,,,,,,,,$PDLM2,131416,+4.5,+1.43,+2.2,-3.13,,,,,,,
20190510,31414.34,,,,,,,,,$PDLMA,+11.93,+16.3,+1.1,+3.2,,,,,,,,
20190510,31415,51708,150.6632550,-34.0212983,68.67,91.47,0,0,gps,,,,,,,,,,,,,
20190510,31415.32,,,,,,,,,$PDLM1,131417,+2.1,+0.83,+2.0,-0.53,,,,,,,
20190510,31415.32,,,,,,,,,$PDLM2,131417,+4.7,+1.41,+1.9,-3.12,,,,,,,
20190510,31415.34,,,,,,,,,$PDLMA,+11.90,+16.3,+1.1,+3.2,,,,,,,,
20190510,31416,51708,150.6632550,-34.0212983,68.68,91.48,0,0,gps,,,,,,,,,,,,,
20190510,31416.32,,,,,,,,,$PDLM1,131418,+2.1,+0.83,+2.2,-0.53,,,,,,,
20190510,31416.34,,,,,,,,,$PDLM2,131418,+4.4,+1.43,+2.2,-3.16,,,,,,,
20190510,31416.34,,,,,,,,,$PDLMA,+11.94,+16.3,+1.1,+3.2,,,,,,,,
20190510,31417,51708,150.6632550,-34.0212983,68.69,91.49,0,0,gps,,,,,,,,,,,,,
20190510,31417.32,,,,,,,,,$PDLM1,131419,+2.5,+0.84,+2.1,-0.53,,,,,,,
20190510,31417.34,,,,,,,,,$PDLM2,131419,+4.8,+1.41,+2.2,-3.16,,,,,,,
20190510,31417.34,,,,,,,,,$PDLMA,+11.91,+16.3,+1.1,+3.2,,,,,,,,
20190510,31418,51708,150.6632550,-34.0212983,68.7,91.5,0,0,gps,,,,,,,,,,,,,
20190510,31418.32,,,,,,,,,$PDLM1,131420,+2.3,+0.82,+1.9,-0.53,,,,,,,
20190510,31418.34,,,,,,,,,$PDLM2,131420,+4.4,+1.45,+2.1,-3.18,,,,,,,
20190510,31418.34,,,,,,,,,$PDLMA,+11.94,+16.3,+1.1,+3.2,,,,,,,,
20190510,31419,51708,150.6632550,-34.0212983,68.7,91.5,0,0,gps,,,,,,,,,,,,,
20190510,31419.32,,,,,,,,,$PDLM1,131421,+2.3,+0.83,+1.8,-0.53,,,,,,,
20190510,31419.34,,,,,,,,,$PDLM2,131421,+4.7,+1.41,+1.8,-3.14,,,,,,,
20190510,31419.34,,,,,,,,,$PDLMA,+11.91,+16.3,+1.1,+3.2,,,,,,,,
20190510,31420,51708,150.6632550,-34.0212983,68.7,91.5,0,0,gps,,,,,,,,,,,,,
20190510,31420.32,,,,,,,,,$PDLM1,131422,+2.2,+0.83,+1.9,-0.52,,,,,,,
20190510,31420.34,,,,,,,,,$PDLM2,131422,+4.5,+1.45,+2.0,-3.14,,,,,,,
20190510,31420.35,,,,,,,,,$PDLMA,+11.92,+16.3,+1.1,+3.2,,,,,,,,
20190510,31421,51708,150.6632550,-34.0212983,68.69,91.49,0,0,gps,,,,,,,,,,,,,
20190510,31421.32,,,,,,,,,$PDLM1,131423,+2.0,+0.82,+2.0,-0.52,,,,,,,
20190510,31421.34,,,,,,,,,$PDLM2,131423,+4.6,+1.44,+2.5,-3.15,,,,,,,
20190510,31421.35,,,,,,,,,$PDLMA,+11.94,+16.3,+1.1,+3.2,,,,,,,,
20190510,31422,51708,150.6632550,-34.0212983,68.7,91.5,0,0,gps,,,,,,,,,,,,,
20190510,31422.34,,,,,,,,,$PDLM1,131424,+2.4,+0.83,+2.0,-0.53,,,,,,,
20190510,31422.39,,,,,,,,,$PDLM2,131424,+4.7,+1.43,+2.5,-3.14,,,,,,,
20190510,31422.39,,,,,,,,,$PDLMA,+11.91,+16.3,+1.1,+3.2,,,,,,,,
