DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20190510,33652.34,,,,,,,,,$PDLM1,133654,+6.1,+0.67,+18.0,-3.05,,,,,,,
20190510,33652.35,,,,,,,,,$PDLM2,133654,+3.6,+3.59,+9.9,-5.71,,,,,,,
20190510,33652.35,,,,,,,,,$PDLMA,+11.96,+15.8,-0.7,+8.2,,,,,,,,
20190510,33653.34,,,,,,,,,$PDLM1,133655,+5.9,+0.67,+17.9,-3.05,,,,,,,
20190510,33653.42,,,,,,,,,$PDLM2,133655,+3.6,+3.58,+9.6,-5.75,,,,,,,
20190510,33653.43,,,,,,,,,$PDLMA,+11.94,+15.8,-0.7,+8.2,,,,,,,,
20190510,33654,12006,150.6636333,-34.0232817,65.2,88,0,0,gps,,,,,,,,,,,,,
20190510,33654.32,,,,,,,,,$PDLM1,133656,+5.7,+0.67,+18.2,-3.05,,,,,,,
20190510,33654.39,,,,,,,,,$PDLM2,133656,+3.2,+3.61,+10.0,-5.75,,,,,,,
20190510,33654.39,,,,,,,,,$PDLMA,+11.96,+15.8,-0.7,+8.2,,,,,,,,
20190510,33655,12006,150.6636333,-34.0232817,65.21,88.01,0,0,gps,,,,,,,,,,,,,
20190510,33655.32,,,,,,,,,$PDLM1,133657,+5.7,+0.68,+18.0,-3.05,,,,,,,
20190510,33655.34,,,,,,,,,$PDLM2,133657,+3.3,+3.59,+9.6,-5.74,,,,,,,
20190510,33655.35,,,,,,,,,$PDLMA,+11.94,+15.8,-0.7,+8.2,,,,,,,,
20190510,33656,22006,150.6636367,-34.0232867,63.88,86.68,1.1,0,gps,,,,,,,,,,,,,
20190510,33656.34,,,,,,,,,$PDLM1,133658,+5.9,+0.67,+18.0,-3.05,,,,,,,
20190510,33656.4,,,,,,,,,$PDLM2,133658,+3.4,+3.60,+9.6,-5.75,,,,,,,
20190510,33656.4,,,,,,,,,$PDLMA,+11.96,+15.8,-0.7,+8.2,,,,,,,,
20190510,33657,22006,150.6636367,-34.0232867,63.87,86.67,0.6,0,gps,,,,,,,,,,,,,
20190510,33657.32,,,,,,,,,$PDLM1,133659,+6.3,+0.68,+18.0,-3.05,,,,,,,
