,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,1.5mHCPcon
0,6,150.6636333,-34.0232817,5.7,3.2,0.67,3.61,18.2,10,-3.05,-5.75,4.45
1,10,150.6636333,-34.0232817,5.7,3.3,0.68,3.59,18,9.6,-3.05,-5.74,4.5
2,14,150.6636367,-34.0232867,5.9,3.4,0.67,3.6,18,9.6,-3.05,-5.75,4.65
3,18,150.6636367,-34.0232867,6.3,3.4,0.68,3.61,18,10.1,-3.05,-5.77,4.85
4,22,150.6636367,-34.0232867,6.2,3.5,0.68,3.61,17.9,9.9,-3.05,-5.75,4.85
5,26,150.6636367,-34.0232867,6,3.1,0.67,3.59,17.9,9.9,-3.05,-5.73,4.55
6,30,150.6636367,-34.0232867,6.4,3.3,0.67,3.58,17.9,10,-3.05,-5.73,4.85
7,34,150.6636367,-34.0232867,6,3.1,0.67,3.6,18,9.7,-3.05,-5.75,4.55
8,38,150.6636367,-34.0232867,6.2,3.4,0.67,3.59,18,9.9,-3.05,-5.72,4.8
9,42,150.6636367,-34.0232867,6.4,3.2,0.67,3.58,17.9,9.4,-3.05,-5.75,4.8
10,46,150.6636367,-34.0232867,6.2,3.3,0.67,3.56,17.9,9.8,-3.05,-5.73,4.75
11,50,150.6636367,-34.0232867,6.4,3.4,0.67,3.58,18,9.9,-3.05,-5.74,4.9
12,54,150.6636367,-34.0232867,6.2,3.4,0.67,3.56,17.9,9.7,-3.05,-5.76,4.8
13,58,150.6636367,-34.0232867,6.5,3.2,0.67,3.58,17.9,9.5,-3.05,-5.75,4.85
14,62,150.6636367,-34.0232867,6.4,3,0.67,3.62,18.1,10,-3.05,-5.77,4.7
15,66,150.6636367,-34.0232867,6.2,3,0.67,3.57,17.8,10,-3.05,-5.75,4.6
16,70,150.6636367,-34.0232867,6,3,0.67,3.57,17.7,9.9,-3.05,-5.74,4.5
17,74,150.6636367,-34.0232867,6.3,3.2,0.66,3.59,18,9.9,-3.05,-5.74,4.75
18,78,150.6636367,-34.023285,6.1,3.7,0.66,3.61,17.8,10,-3.05,-5.74,4.9
19,82,150.6636367,-34.023285,6.4,3,0.66,3.58,18.1,9.8,-3.05,-5.76,4.7
20,86,150.6636367,-34.023285,6.1,3.2,0.66,3.59,17.8,9.7,-3.05,-5.76,4.65
21,90,150.6636367,-34.023285,6.1,3.1,0.66,3.58,17.7,9.8,-3.05,-5.74,4.6
22,94,150.6636367,-34.023285,5.8,3.5,0.66,3.58,17.9,9.9,-3.05,-5.78,4.65
23,98,150.6636367,-34.023285,5.9,3.4,0.67,3.59,18,9.9,-3.05,-5.75,4.65
24,102,150.6636367,-34.023285,5.8,2.9,0.66,3.6,17.9,10,-3.05,-5.76,4.35
25,106,150.6636367,-34.023285,5.7,3.2,0.66,3.57,17.9,9.9,-3.05,-5.77,4.45
26,110,150.6636367,-34.023285,6.3,3.6,0.66,3.59,18,10,-3.04,-5.73,4.95
27,114,150.6636367,-34.023285,5.7,3.5,0.66,3.59,17.8,10.1,-3.05,-5.75,4.6
28,118,150.6636367,-34.023285,5.7,3.3,0.66,3.58,18,9.7,-3.04,-5.78,4.5
29,122,150.6636367,-34.023285,5.9,3.3,0.65,3.59,18.2,9.7,-3.05,-5.76,4.6
30,126,150.6636367,-34.023285,5.6,3.3,0.66,3.59,18.1,9.9,-3.05,-5.77,4.45
