ID,Latitude,Longitude,Accuracy,Time,Itt,Data1,Data2 ,Data1_Ave7,Data1_Ave11
1975,-34.0249296,150.663221,3.21600008010864,115858,11,59,9.4,58.7142857142857,59.3333333333333
1976,-34.024945,150.6632187,3.21600008010864,115859,12,58,9.42,58.5714285714286,59.6666666666667
1978,-34.0249611,150.6632132,3.21600008010864,115900,13,57,9.44,58.8571428571429,59.75
1980,-34.0249783,150.6632102,3.21600008010864,115901,14,58,9.49,59.1428571428571,60
1981,-34.0249969,150.6632061,3.21600008010864,115902,15,59,9.51,59.7142857142857,60.4166666666667
44.61,-34.0250164,150.6632018,3.21600008010864,115903,16,61,9,60.1428571428571,60.75
1985,-34.0250401,150.663197,3.21600008010864,115904,17,62,9.67,61,60.8333333333333
1986,-34.0250642,150.6631914,3.21600008010864,115905,18,63,9.74,61.8571428571429,60.8333333333333
1988,-34.0250851,150.6631857,3.21600008010864,115906,19,61,9.72,62.5714285714286,60.8333333333333
1990,-34.0251048,150.6631816,3.21600008010864,115907,20,63,9.66,62.4285714285714,60.6666666666667
1991,-34.0251216,150.6631807,3.21600008010864,115908,21,64,9.6,61.8571428571429,60.3333333333333
1993,-34.0251361,150.6631803,3.21600008010864,115909,22,64,9.53,61,59.75
53.41,-34.0251432,150.6631812,3.21600008010864,115910,23,60,9.5,60.2857142857143,59.1666666666667
1997,-34.0251433,150.6631828,3.21600008010864,115911,24,58,9.29,59.1428571428571,58.75
1998,-34.0251397,150.6631829,3.21600008010864,115912,25,57,9.21,57.7142857142857,58.5833333333333
2000,-34.02514,150.6631828,3.21600008010864,115913,26,56,9.12,56.4285714285714,58
2001,-34.0251396,150.6631826,3.21600008010864,115914,27,55,9.09,56.1428571428572,57.5833333333333
2003,-34.0251484,150.6631791,3.21600008010864,115915,28,54,9.12,56.2857142857143,57.25
2005,-34.0251616,150.6631773,3.21600008010864,115916,29,55,9.22,56.1428571428572,57.5833333333333
2007,-34.0251759,150.6631747,3.21600008010864,115917,30,58,9,56.5714285714286,58.0833333333333
2008,-34.0251927,150.6631705,3.21600008010864,115918,31,59,9.46,57.2857142857143,58.5833333333333
2010,-34.0252117,150.663164,3.21600008010864,115919,32,56,9.48,58.7142857142857,59.25
2011,-34.0252338,150.6631557,3.21600008010864,115920,33,59,9.52,60,59.9166666666667
2013,-34.0252555,150.6631472,3.21600008010864,115921,34,60,9.62,60.7142857142857,60.6666666666667
2015,-34.0252766,150.6631386,3.21600008010864,115922,35,64,7.83,61.4285714285714,61.25
2017,-34.0253003,150.663131,3.21600008010864,115923,36,64,7,62.4285714285714,61.5
2018,-34.0253264,150.6631237,3.21600008010864,115924,37,63,7.87,63,61.5833333333333
2020,-34.0253527,150.6631161,3.21600008010864,115925,38,64,7.91,63.2857142857143,61.8333333333333
2021,-34.0253797,150.6631063,3.21600008010864,115926,39,63,7.9,62.8571428571429,61.8333333333333
2023,-34.0254053,150.6630994,3.21600008010864,115927,40,63,7.91,62.2857142857143,61.9166666666667
2025,-34.0254294,150.6630928,3.21600008010864,115928,41,62,7.86,61.7142857142857,61.75
2026,-34.0254528,150.6630869,3.21600008010864,115929,42,61,5.93,61,61.75
2028,-34.0254747,150.6630811,3.21600008010864,115930,43,60,5.89,60.7142857142857,61.8333333333333
2030,-34.025497,150.6630748,3.21600008010864,115931,44,59,7.85,60.5714285714286,62.0833333333333
2031,-34.0255201,150.6630676,3.21600008010864,115932,45,59,9.78,60.8571428571429,62.5
2033,-34.0255433,150.6630614,3.21600008010864,115933,46,61,9.8,61.2857142857143,62.8333333333333
2035,-34.0255661,150.6630541,3.21600008010864,115934,47,62,9.76,62.2857142857143,62.75
2036,-34.0255881,150.6630458,3.21600008010864,115935,48,64,9.7,63.5714285714286,62.75
2038,-34.0256105,150.6630389,3.21600008010864,115936,49,64,7.74,64.7142857142857,62.75
2040,-34.0256342,150.6630324,3.21600008010864,115937,50,67,7.84,64.7142857142857,63.25
2041,-34.0256583,150.6630262,3.21600008010864,115938,51,68,7.94,64.5714285714286,63.5833333333333
2043,-34.025682,150.6630199,3.21600008010864,115939,52,67,7.93,64,63.6666666666667
44.93,-34.0257072,150.6630134,3.21600008010864,115940,53,61,5,64.1428571428571,63.5833333333333
2046,-34.0257323,150.6630056,3.21600008010864,115941,54,61,3.95,63.5714285714286,63.3333333333333
2048,-34.0257567,150.6629973,3.21600008010864,115942,55,60,5.91,62.7142857142857,63.3333333333333
2050,-34.0257802,150.6629897,3.21600008010864,115943,56,65,7.83,61.8571428571429,63.0833333333333
2051,-34.0258034,150.6629805,3.21600008010864,115944,57,63,9.73,61.8571428571429,62.75
2053,-34.0258292,150.6629707,3.21600008010864,115945,58,62,5.83,62.2857142857143,62.5833333333333
2055,-34.025855,150.6629624,3.21600008010864,115946,59,61,5.9,62.8571428571429,63
44.95,-34.0258814,150.6629546,3.21600008010864,115947,60,61,5,62.7142857142857,63.4166666666667
2058,-34.0259087,150.6629482,3.21600008010864,115948,61,64,9.78,63,63.8333333333333
2060,-34.0259341,150.6629419,3.21600008010864,115949,62,64,9.71,63.5714285714286,63.6666666666667
2061,-34.0259608,150.6629357,3.21600008010864,115950,63,64,9.66,64.2857142857143,63.75
2063,-34.0259855,150.6629295,3.21600008010864,115951,64,65,9.7,64.8571428571429,63.8333333333333
2065,-34.0260099,150.6629218,3.21600008010864,115952,65,66,9.7,64.7142857142857,64.1666666666667
2066,-34.0260349,150.6629144,3.21600008010864,115953,66,66,9.72,64.7142857142857,64.4166666666667
2068,-34.02606,150.662909,3.21600008010864,115954,67,65,9.71,64.5714285714286,64.5833333333333
2070,-34.0260863,150.6629042,3.21600008010864,115955,68,63,9.67,64.5714285714286,64.75
2071,-34.0261106,150.6628973,3.21600008010864,115956,69,64,9.7,64.2857142857143,65.0833333333333
2073,-34.0261363,150.6628916,3.21600008010864,115957,70,63,9.68,64.2857142857143,65.4166666666667
2075,-34.0261619,150.6628846,3.21600008010864,115958,71,65,9.7,64.4285714285714,65.5833333333333
2076,-34.0261864,150.6628774,3.21600008010864,115959,72,64,9.64,65.1428571428571,65.75
53.61,-34.0262116,150.6628702,3.21600008010864,120000,73,66,9.59,65.8571428571429,66.0833333333333
44.57,-34.0262376,150.6628626,3.21600008010864,120001,74,66,9,66.5714285714286,66.5
2081,-34.0262628,150.6628558,3.21600008010864,120002,75,68,9.58,67,66.75
2083,-34.0262874,150.6628468,3.21600008010864,120003,76,69,9.6,67.7142857142857,67.0833333333333
2085,-34.0263127,150.6628435,3.21600008010864,120004,77,68,9.58,68,67.0833333333333
2086,-34.0263395,150.662844,3.21600008010864,120005,78,68,9.6,68.1428571428571,67.3333333333333
2088,-34.0263654,150.6628462,3.21600008010864,120006,79,69,9.64,68,67.4166666666667
2090,-34.0263932,150.6628492,3.21600008010864,120007,80,68,9.69,67.4285714285714,67.6666666666667
44.67,-34.0264183,150.6628511,3.21600008010864,120008,81,67,9,67.2857142857143,67.5833333333333
2093,-34.0264418,150.6628513,3.21600008010864,120009,82,67,9.65,67.1428571428571,67.25
2095,-34.0264651,150.6628485,3.21600008010864,120010,83,65,9.66,67.1428571428571,67
2096,-34.0264885,150.662843,3.21600008010864,120011,84,67,9.66,67,66.9166666666667
2098,-34.0265105,150.6628357,3.21600008010864,120012,85,67,9.64,66.7142857142857,66.5833333333333
2100,-34.0265297,150.6628248,3.21600008010864,120013,86,69,9.59,66.4285714285714,66.25
2101,-34.0265431,150.6628085,3.21600008010864,120014,87,67,9.58,66.7142857142857,65.8333333333333
2103,-34.0265515,150.6627869,3.21600008010864,120015,88,65,9.56,66.4285714285714,65.5833333333333
2105,-34.0265501,150.6627623,3.21600008010864,120016,89,65,9.58,66,65.5
2106,-34.02654,150.6627387,3.21600008010864,120017,90,67,9.62,65,65.3333333333333
2108,-34.0265211,150.6627183,3.21600008010864,120018,91,65,9.71,64.5714285714286,65.4166666666667
2110,-34.0264985,150.6627081,3.21600008010864,120019,92,64,9.75,64.4285714285714,65.5833333333333
2111,-34.0264754,150.6627062,3.21600008010864,120020,93,62,9.79,64.4285714285714,65.75
2113,-34.0264511,150.6627114,3.21600008010864,120021,94,64,9.75,64.5714285714286,66.1666666666667
2115,-34.0264282,150.6627185,3.21600008010864,120022,95,64,9.77,65.4285714285714,66.8333333333333
44.68,-34.0264055,150.6627242,3.21600008010864,120023,96,65,9,66.1428571428571,67.5833333333333
2118,-34.0263843,150.6627306,3.21600008010864,120024,97,68,9.67,67.2857142857143,68.9166666666667
2120,-34.0263613,150.6627363,3.21600008010864,120025,98,71,7.78,68.5714285714286,70.4166666666667
2121,-34.0263382,150.6627416,3.21600008010864,120026,99,69,5.92,70.2857142857143,72.3333333333333
2123,-34.0263157,150.6627474,3.21600008010864,120027,100,70,5.96,72.5714285714286,74.25
2125,-34.0262946,150.6627532,3.21600008010864,120028,101,73,7.84,74.5714285714286,76.25
2126,-34.0262722,150.6627584,3.21600008010864,120029,102,76,9.78,76.5714285714286,78
2128,-34.0262489,150.6627668,3.21600008010864,120030,103,81,9.76,79.1428571428571,79.5833333333333
2130,-34.0262249,150.6627724,3.21600008010864,120031,104,82,9.78,81.7142857142857,80.9166666666667
2131,-34.0262032,150.6627769,3.21600008010864,120032,105,85,9.76,83.5714285714286,82.4166666666667
2133,-34.026182,150.6627801,3.21600008010864,120033,106,87,9.76,85.1428571428571,83.6666666666667
53.72,-34.0261616,150.6627837,3.21600008010864,120034,107,88,9.76,86,84.9166666666667
2136,-34.026142,150.6627871,3.21600008010864,120035,108,86,9.71,86.7142857142857,86
2138,-34.0261223,150.6627901,3.21600008010864,120036,109,87,9.68,86.7142857142857,86.3333333333333
2140,-34.0261014,150.6627928,3.21600008010864,120037,110,87,9.67,86.8571428571429,86.3333333333333
2141,-34.0260797,150.6627939,3.21600008010864,120038,111,87,9.68,87,85.5
2143,-34.0260586,150.662797,3.21600008010864,120039,112,85,9.73,86.8571428571429,84.8333333333333
2145,-34.0260385,150.6628026,3.21600008010864,120040,113,88,9.81,86.1428571428571,84
2146,-34.0260179,150.6628075,3.21600008010864,120041,114,89,9.84,84.4285714285714,83.5833333333333
2148,-34.0259973,150.6628098,3.21600008010864,120042,115,85,7.91,83.2857142857143,83.25
2149,-34.0259772,150.6628133,3.21600008010864,120043,116,82,7.86,82.2857142857143,83.5833333333333
2151,-34.0259543,150.6628156,3.21600008010864,120044,117,75,5.96,81.2857142857143,84.4166666666667
44.92,-34.0259339,150.6628204,3.21600008010864,120045,118,79,7,80.4285714285714,85.25
2155,-34.0259136,150.6628267,3.21600008010864,120046,119,78,7.97,81.2857142857143,85.8333333333333
2156,-34.025893,150.6628319,3.21600008010864,120047,120,81,9.91,83.4285714285714,86.0833333333333
2158,-34.025871,150.6628356,3.21600008010864,120048,121,83,9.84,86.2857142857143,87
2160,-34.0258487,150.6628396,3.21600008010864,120049,122,91,9.74,88.5714285714286,88.6666666666667
2161,-34.0258274,150.6628432,3.21600008010864,120050,123,97,9.72,90.5714285714286,90.9166666666667
2163,-34.0258052,150.6628466,3.21600008010864,120051,124,95,7.76,92.7142857142857,92.75
2165,-34.025779,150.6628522,3.21600008010864,120052,125,95,7.81,95.4285714285714,94.5
2166,-34.0257538,150.6628574,3.21600008010864,120053,126,92,7.81,97,95.9166666666667
2168,-34.025731,150.6628643,3.21600008010864,120054,127,96,9.78,97.5714285714286,97.1666666666667
2170,-34.0257096,150.6628721,3.21600008010864,120055,128,102,9.82,98.1428571428571,97.25
2171,-34.0256881,150.6628805,3.21600008010864,120056,129,102,9.83,98.5714285714286,96.6666666666667
2173,-34.0256662,150.6628881,3.21600008010864,120057,130,101,9.81,99.4285714285714,96.25
2175,-34.0256426,150.6628942,3.21600008010864,120058,131,99,9.78,98.8571428571429,95.9166666666667
2176,-34.0256201,150.6628984,3.21600008010864,120059,132,98,9.75,97.1428571428571,96
2178,-34.0255982,150.6629008,3.21600008010864,120100,133,98,9.72,95.4285714285714,95.9166666666667
2180,-34.0255767,150.6629052,3.21600008010864,120101,134,92,9.64,94,95.4166666666667
2181,-34.0255577,150.6629108,3.21600008010864,120102,135,90,9.69,93.1428571428571,94.8333333333333
53.74,-34.0255401,150.6629179,3.21600008010864,120103,136,90,9.69,92.7142857142857,94.5833333333333
2185,-34.0255232,150.6629256,3.21600008010864,120104,137,91,9.76,92.4285714285714,94.4166666666667
2186,-34.0255049,150.6629332,3.21600008010864,120105,138,93,9.75,92.8571428571429,94.4166666666667
2188,-34.0254851,150.6629377,3.21600008010864,120106,139,95,9.75,94,94.4166666666667
2190,-34.0254658,150.6629433,3.21600008010864,120107,140,96,7.83,95,95.1666666666667
2191,-34.0254453,150.6629489,3.21600008010864,120108,141,95,7.78,96,96.3333333333333
2193,-34.0254243,150.6629541,3.21600008010864,120109,142,98,7.79,96.7142857142857,97
2195,-34.0254034,150.662959,3.21600008010864,120110,143,97,9.77,97.5714285714286,97.5833333333333
2196,-34.0253857,150.6629647,3.21600008010864,120111,144,98,9.84,98.7142857142857,97.75
2198,-34.0253666,150.6629694,3.21600008010864,120112,145,98,9.85,99.1428571428571,98.6666666666667
51.9,-34.0253451,150.6629732,3.21600008010864,120113,146,101,9.85,99.1428571428571,99.9166666666667
2201,-34.025323,150.6629777,3.21600008010864,120114,147,104,5.92,98.8571428571429,101.166666666667
2203,-34.0252997,150.6629827,3.21600008010864,120115,148,98,5.9,100,101.25
2205,-34.0252771,150.6629875,3.21600008010864,120116,149,98,7.83,101.857142857143,100.75
2206,-34.0252548,150.6629923,3.21600008010864,120117,150,95,9.78,103.142857142857,100.083333333333
2208,-34.0252329,150.6629966,3.21600008010864,120118,151,106,7.85,102.428571428571,99.3333333333333
2210,-34.0252117,150.6630007,3.21600008010864,120119,152,111,5.92,101.428571428571,97.9166666666667
2211,-34.0251898,150.6630052,3.21600008010864,120120,153,110,5.94,100.285714285714,96.3333333333333
2213,-34.0251686,150.6630103,3.21600008010864,120121,154,99,5.95,99.4285714285714,95.3333333333333
2215,-34.0251473,150.6630157,3.21600008010864,120122,155,91,7.88,96.2857142857143,94.8333333333333
2216,-34.0251271,150.6630209,3.21600008010864,120123,156,90,7.86,92.5714285714286,94.6666666666667
2218,-34.025108,150.6630262,3.21600008010864,120124,157,89,7.85,89.1428571428571,93.5833333333333
2220,-34.0250899,150.6630327,3.21600008010864,120125,158,84,7.84,88.1428571428571,91.9166666666667
2221,-34.025072,150.6630372,3.21600008010864,120126,159,85,7.85,88.4285714285714,90.3333333333333
2223,-34.0250555,150.6630422,3.21600008010864,120127,160,86,7.85,88.8571428571429,89.4166666666667
2225,-34.0250363,150.6630463,3.21600008010864,120128,161,92,7.8,89.1428571428571,88.6666666666667
2226,-34.0250156,150.6630495,3.21600008010864,120129,162,93,7.79,90.1428571428571,88
2228,-34.0249968,150.6630541,3.21600008010864,120130,163,93,9.72,90.5714285714286,86.8333333333333
2230,-34.0249773,150.6630582,3.21600008010864,120131,164,91,9.74,90,85.75
2231,-34.0249575,150.6630617,3.21600008010864,120132,165,91,9.72,88.5714285714286,84.4166666666667
2233,-34.0249392,150.6630662,3.21600008010864,120133,166,88,7.75,86,83.0833333333333
2235,-34.0249206,150.6630703,3.21600008010864,120134,167,82,5.89,82.8571428571429,81.5833333333333
2236,-34.0249028,150.6630728,3.21600008010864,120135,168,82,3.95,79.7142857142857,79.8333333333333
2238,-34.0248855,150.6630728,3.21600008010864,120136,169,75,4,76.7142857142857,78.3333333333333
44.98,-34.0248713,150.6630664,3.21600008010864,120137,170,71,3,74.7142857142857,76.8333333333333
