ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 ,Data1 adj,Data1 adj_ave,Data1_Ave7
5909,-34.02486523,150.6631991,3.21600008010864,123819,204,0.12,34,34,204
5911,-34.02487158,150.66320187,3.21600008010864,123820,205,0.12,35,35,205
5913,-34.02487611,150.66320202,3.21600008010864,123821,201,0.11,31,31,201
5914,-34.02487882,150.6631999,3.21600008010864,123822,198,0.1,28,26.75,196.75
5916,-34.02488453,150.66319744,3.21600008010864,123823,193,0.06,23,25,195
5918,-34.02488811,150.66319492,3.21600008010864,123824,191,0.03,21,23.25,193.25
5919,-34.02489101,150.6631926,3.21600008010864,123825,191,0.03,21,22,192
5921,-34.02489076,150.66319073,3.21600008010864,123826,191,0.03,21,21,191
5923,-34.02489134,150.66318735,3.21600008010864,123827,190,0.03,20,20.875,190.875
5924,-34.02489171,150.6631854,3.21600008010864,123828,191,0.02,21,21.625,191.625
5926,-34.0248944,150.66318643,3.21600008010864,123829,191,0.02,21,22.75,192.75
5928,-34.02490429,150.6631891,3.21600008010864,123830,190,0.03,20,23.75,193.75
5929,-34.02491791,150.66319076,3.21600008010864,123831,192,0.05,22,24.375,194.375
5931,-34.0249301,150.66318996,3.21600008010864,123832,197,0.09,27,24.625,194.625
5933,-34.02493847,150.66318711,3.21600008010864,123833,200,0.1,30,24.625,194.625
5934,-34.02494582,150.6631851,3.21600008010864,123834,199,0.1,29,24.5,194.5
44.08,-34.02495552,150.66318261,3.21600008010864,123835,195,0.09,25,24.125,194.125
5938,-34.02496723,150.66317971,3.21600008010864,123836,193,0.07,23,22.875,192.875
5939,-34.02497955,150.66317755,3.21600008010864,123837,191,0.06,21,21.25,191.25
5941,-34.02499148,150.66317855,3.21600008010864,123838,189,0.05,19,19.25,189.25
5942,-34.02500247,150.66317759,3.21600008010864,123839,189,0.06,19,17.625,187.625
5944,-34.02501434,150.66317589,3.21600008010864,123840,187,0.06,17,15.625,185.625
5946,-34.02503085,150.66317397,3.21600008010864,123841,187,0.06,17,14.25,184.25
5948,-34.02504926,150.66317285,3.21600008010864,123842,183,2.02,13,13.125,183.125
5949,-34.02506489,150.66317121,4.28800010681152,123843,182,4.01,12,12.25,182.25
5951,-34.02508168,150.66316911,4.28800010681152,123844,177,7.98,7,10.625,180.625
5953,-34.02510013,150.66316546,4.28800010681152,123845,180,5.99,10,9,179
5954,-34.02511636,150.66315914,4.28800010681152,123846,180,4,10,7.375,177.375
44.03,-34.02512998,150.66315397,4.28800010681152,123847,182,4,12,6.375,176.375
5958,-34.02514475,150.66314862,4.28800010681152,123848,174,2.01,4,6.125,176.125
5959,-34.02515957,150.66314718,4.28800010681152,123849,174,4,4,6.75,176.75
5961,-34.0251758,150.66315324,4.28800010681152,123850,170,5.97,0,7.5,177.5
5963,-34.02518982,150.66315587,4.28800010681152,123851,174,5.98,4,8.5,178.5
44.99,-34.02520478,150.66315829,4.28800010681152,123852,175,3,5,9.875,179.875
5966,-34.02522138,150.66315766,4.28800010681152,123853,185,2.04,15,10.75,180.75
44.05,-34.02523829,150.66315545,4.28800010681152,123854,186,0,16,12.125,182.125
5969,-34.02525612,150.66315399,3.21600008010864,123855,190,0.05,20,13.25,183.25
5971,-34.02527269,150.66315269,3.21600008010864,123856,185,0.04,15,14.625,184.625
5973,-34.02528912,150.66315154,3.21600008010864,123857,181,2.03,11,14.25,184.25
5974,-34.02530643,150.66315118,3.21600008010864,123858,181,2.04,11,13.5,183.5
5976,-34.02532141,150.66315076,3.21600008010864,123859,183,2.06,13,12.5,182.5
5977,-34.02533559,150.66314885,3.21600008010864,123900,186,2.07,16,12.125,182.125
5979,-34.02534984,150.66314696,3.21600008010864,123901,182,0.07,12,12.375,182.375
5981,-34.02536497,150.66314527,3.21600008010864,123902,180,0.04,10,12.375,182.375
5983,-34.02537712,150.66314367,3.21600008010864,123903,182,0.04,12,12.5,182.5
5984,-34.02538902,150.66314088,3.21600008010864,123904,182,0.03,12,11.5,181.5
5986,-34.02540235,150.66313962,3.21600008010864,123905,183,0.04,13,11.75,181.75
5987,-34.02541718,150.66313808,3.21600008010864,123906,181,0.03,11,12.125,182.125
5989,-34.02543113,150.66313572,3.21600008010864,123907,184,0.04,14,12.625,182.625
5991,-34.02544347,150.66313276,3.21600008010864,123908,178,4.02,8,12.5,182.5
48.03,-34.02545853,150.66313178,3.21600008010864,123909,184,4.02,14,12.125,182.125
5994,-34.02547338,150.66312858,3.21600008010864,123910,183,4.03,13,12,182
5996,-34.02548846,150.66312419,3.21600008010864,123911,186,0.06,16,11.75,181.75
5998,-34.02550347,150.66312082,3.21600008010864,123912,181,0.05,11,12.875,182.875
