,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag
0,6,149.808765,-30.2864,88.7,133.0,0.77,3.72,35.5,74.4,-1.3,-4.01
1,10,149.808765,-30.2864,88.9,132.8,0.77,3.7,35.4,74.5,-1.3,-4.03
2,14,149.808765,-30.2864,88.7,133.1,0.76,3.71,35.3,74.8,-1.31,-4.04
3,18,149.808765,-30.2864,88.9,133.1,0.77,3.7,35.4,74.5,-1.31,-4.06
4,22,149.808765,-30.2864,89.0,132.8,0.77,3.72,35.5,74.6,-1.31,-4.06
5,26,149.808765,-30.2864,89.0,132.9,0.78,3.71,35.6,74.8,-1.31,-4.08
6,30,149.808765,-30.2864,88.6,133.0,0.77,3.69,35.4,74.7,-1.3,-4.02
7,34,149.808765,-30.2864,88.7,132.7,0.77,3.73,35.5,74.9,-1.3,-4.04
8,38,149.808765,-30.2864,88.9,132.8,0.77,3.68,35.4,74.6,-1.31,-4.03
9,42,149.808765,-30.2864,89.1,133.0,0.77,3.71,35.4,74.4,-1.3,-4.02
10,46,149.808765,-30.2864,88.9,132.7,0.77,3.72,35.3,74.6,-1.3,-4.02
11,50,149.808765,-30.2864,88.2,132.8,0.77,3.71,35.3,74.5,-1.31,-4.03
12,54,149.808765,-30.2864,88.6,132.8,0.77,3.72,35.6,74.7,-1.3,-4.06
13,58,149.808765,-30.2864,88.6,133.2,0.78,3.7,35.4,74.5,-1.31,-4.04
14,62,149.808765,-30.2864,88.7,132.6,0.77,3.69,35.6,74.3,-1.3,-4.05
15,66,149.808765,-30.2864,88.5,132.8,0.77,3.72,35.3,74.7,-1.3,-4.05
16,70,149.808765,-30.2864,88.7,132.8,0.77,3.71,35.6,74.5,-1.3,-4.03
17,74,149.808765,-30.2864,88.5,132.7,0.77,3.7,35.7,74.8,-1.31,-4.04
18,78,149.808765,-30.2864,88.4,133.0,0.77,3.73,35.6,74.5,-1.31,-4.03
19,82,149.808765,-30.2864,89.0,132.8,0.77,3.72,35.5,74.6,-1.3,-4.03
20,86,149.808765,-30.2864,88.8,133.1,0.77,3.7,35.6,74.7,-1.31,-4.03
21,90,149.808765,-30.2864,88.6,132.6,0.78,3.72,35.4,75.3,-1.31,-4.06
22,94,149.808765,-30.2864,89.1,133.0,0.77,3.71,35.4,74.5,-1.31,-4.05
23,98,149.808765,-30.2864,89.0,132.7,0.77,3.71,35.3,74.7,-1.31,-4.05
24,102,149.808765,-30.2864,88.9,133.0,0.77,3.72,35.4,75.0,-1.31,-4.04
25,106,149.808765,-30.2864,88.9,132.8,0.77,3.7,35.4,74.4,-1.31,-4.04
26,110,149.808765,-30.2864,89.1,133.1,0.77,3.71,35.3,74.6,-1.31,-4.07
