,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag
0,3,149.80865,-30.2863617,86.9,126.8,0.69,3.18,37.2,74.0,-0.93,-3.54
1,7,149.80865,-30.2863617,87.0,126.7,0.69,3.19,37.3,74.0,-0.93,-3.53
2,11,149.80865,-30.2863617,87.1,126.8,0.69,3.18,37.2,74.2,-0.93,-3.54
3,15,149.80865,-30.2863617,87.1,127.3,0.69,3.2,37.1,74.4,-0.93,-3.56
4,19,149.80865,-30.2863617,87.2,127.0,0.69,3.19,37.4,75.0,-0.93,-3.5
5,23,149.80865,-30.2863617,87.2,126.7,0.69,3.19,37.3,74.4,-0.94,-3.52
6,27,149.80865,-30.2863617,87.4,127.0,0.69,3.21,37.6,74.5,-0.93,-3.51
7,31,149.80865,-30.2863617,87.5,127.0,0.69,3.2,37.2,74.1,-0.93,-3.52
8,35,149.80865,-30.2863617,87.3,127.2,0.7,3.21,37.3,74.2,-0.93,-3.49
9,39,149.80865,-30.2863617,87.3,126.8,0.69,3.18,37.2,74.4,-0.93,-3.53
10,43,149.80865,-30.2863617,87.5,127.2,0.69,3.2,37.2,74.5,-0.93,-3.52
11,47,149.80865,-30.2863617,87.7,127.3,0.69,3.18,37.2,74.3,-0.93,-3.53
12,51,149.80865,-30.2863617,87.2,126.8,0.69,3.19,37.2,74.1,-0.93,-3.52
13,55,149.80865,-30.2863617,87.3,127.1,0.69,3.18,37.2,74.4,-0.92,-3.53
14,59,149.80865,-30.2863617,87.4,127.2,0.68,3.18,37.2,74.3,-0.93,-3.53
15,63,149.80865,-30.2863617,87.2,126.8,0.68,3.19,37.2,74.3,-0.93,-3.5
16,67,149.80865,-30.2863617,87.3,126.7,0.68,3.2,37.3,74.3,-0.93,-3.5
17,71,149.80865,-30.2863617,87.7,127.0,0.69,3.19,37.3,74.6,-0.93,-3.49
18,75,149.80865,-30.2863617,87.2,126.9,0.69,3.19,37.3,74.7,-0.93,-3.49
19,79,149.80865,-30.2863617,87.5,126.9,0.68,3.19,37.4,74.3,-0.93,-3.49
20,83,149.80865,-30.2863617,87.2,126.8,0.68,3.19,37.4,74.1,-0.93,-3.52
21,87,149.80865,-30.2863617,87.0,127.1,0.68,3.18,37.2,74.6,-0.92,-3.51
22,91,149.80865,-30.2863617,87.0,126.9,0.68,3.19,37.4,74.8,-0.92,-3.51
23,95,149.80865,-30.2863617,87.0,126.9,0.69,3.21,37.2,74.6,-0.93,-3.48
24,99,149.80865,-30.2863617,87.2,127.3,0.69,3.2,37.3,74.8,-0.92,-3.47
25,103,149.80865,-30.2863617,86.9,127.2,0.69,3.15,37.4,74.4,-0.93,-3.49
26,107,149.80865,-30.2863617,87.1,126.8,0.69,3.17,37.4,74.1,-0.92,-3.49
27,111,149.80865,-30.2863617,86.8,127.0,0.7,3.2,37.3,74.3,-0.93,-3.51
28,115,149.80865,-30.2863617,87.2,127.2,0.69,3.2,37.5,74.5,-0.93,-3.5
29,119,149.80865,-30.2863617,87.3,126.9,0.7,3.19,37.3,74.4,-0.92,-3.48
30,123,149.80865,-30.2863617,87.3,126.8,0.69,3.17,37.3,74.3,-0.92,-3.49
31,127,149.80865,-30.2863617,87.3,126.7,0.7,3.21,37.4,74.4,-0.92,-3.5
32,131,149.80865,-30.2863617,87.5,126.5,0.69,3.18,37.3,74.1,-0.92,-3.49
33,135,149.80865,-30.2863617,87.1,127.0,0.69,3.21,37.3,74.3,-0.92,-3.5
34,139,149.80865,-30.2863617,87.7,127.1,0.69,3.17,37.3,74.6,-0.92,-3.49
35,143,149.80865,-30.2863617,87.6,127.0,0.69,3.21,37.3,74.3,-0.92,-3.48
36,147,149.80865,-30.2863617,87.6,126.5,0.69,3.17,37.0,74.3,-0.92,-3.52
37,151,149.80865,-30.2863617,87.7,127.0,0.69,3.18,37.2,74.6,-0.92,-3.5
38,155,149.80865,-30.2863617,87.5,127.3,0.69,3.19,37.2,74.3,-0.92,-3.49
39,159,149.80865,-30.2863617,87.3,127.1,0.68,3.19,37.2,74.2,-0.92,-3.48
40,163,149.80865,-30.2863617,87.3,127.1,0.69,3.2,37.2,74.6,-0.92,-3.47
41,167,149.80865,-30.2863617,87.3,127.2,0.68,3.19,37.2,74.5,-0.91,-3.49
42,171,149.80865,-30.2863617,87.3,126.9,0.69,3.19,37.2,74.1,-0.91,-3.49
43,175,149.80865,-30.2863617,87.5,126.7,0.69,3.18,37.3,74.5,-0.91,-3.49
44,179,149.80865,-30.2863617,87.2,126.7,0.69,3.19,37.3,74.6,-0.91,-3.45
45,183,149.80865,-30.2863617,87.4,127.2,0.69,3.19,37.2,74.2,-0.91,-3.5
46,187,149.80865,-30.2863617,87.2,126.9,0.69,3.18,37.2,74.4,-0.91,-3.47
