DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20180629,45712.62,,,,,,,,,$PDLM1,145715,+86.8,+0.69,+37.3,-0.94,,,,,,,
20180629,45712.62,,,,,,,,,$PDLM2,145715,+126.9,+3.17,+74.2,-3.53,,,,,,,
20180629,45712.64,,,,,,,,,$PDLMA,+12.20,+19.0,+0.6,-4.8,,,,,,,,
20180629,45713,51308,149.8086500,-30.2863617,224.05,254.45,0,0,gps,$PDLMA,+12.20,+19.0,+0.6,-4.8,,,,,,,,
20180629,45713.6,,,,,,,,,$PDLM1,145716,+86.9,+0.69,+37.2,-0.93,,,,,,,
20180629,45713.6,,,,,,,,,$PDLM2,145716,+126.8,+3.18,+74.0,-3.54,,,,,,,
20180629,45713.62,,,,,,,,,$PDLMA,+12.22,+19.0,+0.6,-4.8,,,,,,,,
20180629,45714,51308,149.8086500,-30.2863617,224.05,254.45,0,0,gps,,,,,,,,,,,,,
20180629,45714.6,,,,,,,,,$PDLM1,145717,+87.0,+0.69,+37.3,-0.93,,,,,,,
20180629,45714.63,,,,,,,,,$PDLM2,145717,+126.7,+3.19,+74.0,-3.53,,,,,,,
20180629,45714.63,,,,,,,,,$PDLMA,+12.23,+19.0,+0.6,-4.8,,,,,,,,
20180629,45715,51308,149.8086500,-30.2863617,224.04,254.44,0,0,gps,,,,,,,,,,,,,
20180629,45715.6,,,,,,,,,$PDLM1,145718,+87.1,+0.69,+37.2,-0.93,,,,,,,
20180629,45715.64,,,,,,,,,$PDLM2,145718,+126.8,+3.18,+74.2,-3.54,,,,,,,
20180629,45715.64,,,,,,,,,$PDLMA,+12.21,+19.0,+0.6,-4.8,,,,,,,,
20180629,45716,51308,149.8086500,-30.2863617,224.04,254.44,0,0,gps,,,,,,,,,,,,,
20180629,45716.6,,,,,,,,,$PDLM1,145719,+87.1,+0.69,+37.1,-0.93,,,,,,,
20180629,45716.64,,,,,,,,,$PDLM2,145719,+127.3,+3.20,+74.4,-3.56,,,,,,,
20180629,45716.64,,,,,,,,,$PDLMA,+12.23,+19.0,+0.6,-4.7,,,,,,,,
20180629,45717,51308,149.8086500,-30.2863617,224.04,254.44,0,0,gps,,,,,,,,,,,,,
20180629,45717.6,,,,,,,,,$PDLM1,145720,+87.2,+0.69,+37.4,-0.93,,,,,,,
20180629,45717.62,,,,,,,,,$PDLM2,145720,+127.0,+3.19,+75.0,-3.50,,,,,,,
20180629,45717.62,,,,,,,,,$PDLMA,+12.21,+19.0,+0.6,-4.8,,,,,,,,
20180629,45718,51308,149.8086500,-30.2863617,224.04,254.44,0,0,gps,,,,,,,,,,,,,
20180629,45718.6,,,,,,,,,$PDLM1,145721,+87.2,+0.69,+37.3,-0.94,,,,,,,
20180629,45718.62,,,,,,,,,$PDLM2,145721,+126.7,+3.19,+74.4,-3.52,,,,,,,
20180629,45718.62,,,,,,,,,$PDLMA,+12.23,+19.0,+0.6,-4.8,,,,,,,,
20180629,45719,51308,149.8086500,-30.2863617,224.04,254.44,0,0,gps,,,,,,,,,,,,,
20180629,45719.6,,,,,,,,,$PDLM1,145722,+87.4,+0.69,+37.6,-0.93,,,,,,,
20180629,45719.63,,,,,,,,,$PDLM2,145722,+127.0,+3.21,+74.5,-3.51,,,,,,,
20180629,45719.63,,,,,,,,,$PDLMA,+12.20,+19.0,+0.6,-4.8,,,,,,,,
20180629,45720,51308,149.8086500,-30.2863617,224.04,254.44,0,0,gps,,,,,,,,,,,,,
20180629,45720.6,,,,,,,,,$PDLM1,145723,+87.5,+0.69,+37.2,-0.93,,,,,,,
20180629,45720.68,,,,,,,,,$PDLM2,145723,+127.0,+3.20,+74.1,-3.52,,,,,,,
20180629,45720.68,,,,,,,,,$PDLMA,+12.22,+19.0,+0.6,-4.8,,,,,,,,
20180629,45721,51308,149.8086500,-30.2863617,224.04,254.44,0,0,gps,,,,,,,,,,,,,
20180629,45721.6,,,,,,,,,$PDLM1,145724,+87.3,+0.70,+37.3,-0.93,,,,,,,
20180629,45721.64,,,,,,,,,$PDLM2,145724,+127.2,+3.21,+74.2,-3.49,,,,,,,
20180629,45721.64,,,,,,,,,$PDLMA,+12.20,+19.0,+0.6,-4.8,,,,,,,,
20180629,45722,51308,149.8086500,-30.2863617,224.04,254.44,0,0,gps,,,,,,,,,,,,,
20180629,45722.62,,,,,,,,,$PDLM1,145725,+87.3,+0.69,+37.2,-0.93,,,,,,,
20180629,45722.67,,,,,,,,,$PDLM2,145725,+126.8,+3.18,+74.4,-3.53,,,,,,,
20180629,45722.67,,,,,,,,,$PDLMA,+12.20,+19.0,+0.5,-4.8,,,,,,,,
20180629,45723,51308,149.8086500,-30.2863617,224.04,254.44,0,0,gps,,,,,,,,,,,,,
20180629,45723.6,,,,,,,,,$PDLM1,145726,+87.5,+0.69,+37.2,-0.93,,,,,,,
20180629,45723.65,,,,,,,,,$PDLM2,145726,+127.2,+3.20,+74.5,-3.52,,,,,,,
20180629,45723.65,,,,,,,,,$PDLMA,+12.22,+19.0,+0.6,-4.8,,,,,,,,
