DATE,GPS_TIME,GPS_FIX,WGS84_LON,WGS84_LAT,WGS84_ALT,WGS84_HAE,SPEED_KPH,STATION_ID,REMARK,AUX_X0,AUX_X1,AUX_X2,AUX_X3,AUX_X4,AUX_X5,AUX_X6,AUX_X7,AUX_X8,AUX_X9,AUX_X10,AUX_X11,AUX_X12
20180626,44921.09,,,,,,,,,$PDLM1,144923,+88.3,+0.77,+35.7,-1.31,,,,,,,
20180626,44921.11,,,,,,,,,$PDLM2,144923,+132.9,+3.71,+74.5,-4.05,,,,,,,
20180626,44921.12,,,,,,,,,$PDLMA,+12.27,+24.4,+0.2,-1.8,,,,,,,,
20180626,44922.09,,,,,,,,,$PDLM1,144924,+88.5,+0.78,+35.6,-1.31,,,,,,,
20180626,44922.1,,,,,,,,,$PDLM2,144924,+132.8,+3.70,+74.5,-4.05,,,,,,,
20180626,44922.12,,,,,,,,,$PDLMA,+12.26,+24.4,+0.2,-1.8,,,,,,,,
20180626,44923,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44923.09,,,,,,,,,$PDLM1,144925,+88.7,+0.77,+35.5,-1.30,,,,,,,
20180626,44923.1,,,,,,,,,$PDLM2,144925,+133.0,+3.72,+74.4,-4.01,,,,,,,
20180626,44923.12,,,,,,,,,$PDLMA,+12.24,+24.4,+0.3,-1.8,,,,,,,,
20180626,44924,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44924.09,,,,,,,,,$PDLM1,144926,+88.9,+0.77,+35.4,-1.30,,,,,,,
20180626,44924.12,,,,,,,,,$PDLM2,144926,+132.8,+3.70,+74.5,-4.03,,,,,,,
20180626,44924.12,,,,,,,,,$PDLMA,+12.27,+24.4,+0.2,-1.8,,,,,,,,
20180626,44925,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44925.09,,,,,,,,,$PDLM1,144927,+88.7,+0.76,+35.3,-1.31,,,,,,,
20180626,44925.12,,,,,,,,,$PDLM2,144927,+133.1,+3.71,+74.8,-4.04,,,,,,,
20180626,44925.12,,,,,,,,,$PDLMA,+12.25,+24.4,+0.3,-1.8,,,,,,,,
20180626,44926,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44926.09,,,,,,,,,$PDLM1,144928,+88.9,+0.77,+35.4,-1.31,,,,,,,
20180626,44926.12,,,,,,,,,$PDLM2,144928,+133.1,+3.70,+74.5,-4.06,,,,,,,
20180626,44926.12,,,,,,,,,$PDLMA,+12.28,+24.4,+0.2,-1.8,,,,,,,,
20180626,44927,51508,149.8087650,-30.2864000,224.09,254.49,0,0,gps,,,,,,,,,,,,,
20180626,44927.1,,,,,,,,,$PDLM1,144929,+89.0,+0.77,+35.5,-1.31,,,,,,,
20180626,44927.12,,,,,,,,,$PDLM2,144929,+132.8,+3.72,+74.6,-4.06,,,,,,,
20180626,44927.12,,,,,,,,,$PDLMA,+12.25,+24.4,+0.2,-1.8,,,,,,,,
20180626,44928,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44928.11,,,,,,,,,$PDLM1,144930,+89.0,+0.78,+35.6,-1.31,,,,,,,
20180626,44928.12,,,,,,,,,$PDLM2,144930,+132.9,+3.71,+74.8,-4.08,,,,,,,
20180626,44928.14,,,,,,,,,$PDLMA,+12.28,+24.4,+0.2,-1.8,,,,,,,,
20180626,44929,51508,149.8087650,-30.2864000,224.09,254.49,0,0,gps,,,,,,,,,,,,,
20180626,44929.1,,,,,,,,,$PDLM1,144931,+88.6,+0.77,+35.4,-1.30,,,,,,,
20180626,44929.12,,,,,,,,,$PDLM2,144931,+133.0,+3.69,+74.7,-4.02,,,,,,,
20180626,44929.14,,,,,,,,,$PDLMA,+12.25,+24.4,+0.2,-1.8,,,,,,,,
20180626,44930,51508,149.8087650,-30.2864000,224.09,254.49,0,0,gps,,,,,,,,,,,,,
20180626,44930.09,,,,,,,,,$PDLM1,144932,+88.7,+0.77,+35.5,-1.30,,,,,,,
20180626,44930.1,,,,,,,,,$PDLM2,144932,+132.7,+3.73,+74.9,-4.04,,,,,,,
20180626,44930.1,,,,,,,,,$PDLMA,+12.26,+24.4,+0.3,-1.8,,,,,,,,
20180626,44931,51508,149.8087650,-30.2864000,224.09,254.49,0,0,gps,,,,,,,,,,,,,
20180626,44931.09,,,,,,,,,$PDLM1,144933,+88.9,+0.77,+35.4,-1.31,,,,,,,
20180626,44931.1,,,,,,,,,$PDLM2,144933,+132.8,+3.68,+74.6,-4.03,,,,,,,
20180626,44931.1,,,,,,,,,$PDLMA,+12.28,+24.4,+0.2,-1.8,,,,,,,,
20180626,44932,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44932.09,,,,,,,,,$PDLM1,144934,+89.1,+0.77,+35.4,-1.30,,,,,,,
20180626,44932.1,,,,,,,,,$PDLM2,144934,+133.0,+3.71,+74.4,-4.02,,,,,,,
20180626,44932.12,,,,,,,,,$PDLMA,+12.25,+24.4,+0.2,-1.8,,,,,,,,
20180626,44933,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44933.09,,,,,,,,,$PDLM1,144935,+88.9,+0.77,+35.3,-1.30,,,,,,,
20180626,44933.1,,,,,,,,,$PDLM2,144935,+132.7,+3.72,+74.6,-4.02,,,,,,,
20180626,44933.12,,,,,,,,,$PDLMA,+12.28,+24.4,+0.2,-1.8,,,,,,,,
20180626,44934,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44934.11,,,,,,,,,$PDLM1,144936,+88.2,+0.77,+35.3,-1.31,,,,,,,
20180626,44934.12,,,,,,,,,$PDLM2,144936,+132.8,+3.71,+74.5,-4.03,,,,,,,
20180626,44934.12,,,,,,,,,$PDLMA,+12.25,+24.4,+0.2,-1.8,,,,,,,,
20180626,44935,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44935.1,,,,,,,,,$PDLM1,144937,+88.6,+0.77,+35.6,-1.30,,,,,,,
20180626,44935.1,,,,,,,,,$PDLM2,144937,+132.8,+3.72,+74.7,-4.06,,,,,,,
20180626,44935.12,,,,,,,,,$PDLMA,+12.28,+24.4,+0.2,-1.8,,,,,,,,
20180626,44936,51508,149.8087650,-30.2864000,224.1,254.5,0,0,gps,,,,,,,,,,,,,
20180626,44936.1,,,,,,,,,$PDLM1,144938,+88.6,+0.78,+35.4,-1.31,,,,,,,
20180626,44936.12,,,,,,,,,$PDLM2,144938,+133.2,+3.70,+74.5,-4.04,,,,,,,
20180626,44936.12,,,,,,,,,$PDLMA,+12.25,+24.4,+0.2,-1.8,,,,,,,,
20180626,44937,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44937.09,,,,,,,,,$PDLM1,144939,+88.7,+0.77,+35.6,-1.30,,,,,,,
20180626,44937.12,,,,,,,,,$PDLM2,144939,+132.6,+3.69,+74.3,-4.05,,,,,,,
20180626,44937.12,,,,,,,,,$PDLMA,+12.28,+24.4,+0.2,-1.8,,,,,,,,
20180626,44938,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44938.1,,,,,,,,,$PDLM1,144940,+88.5,+0.77,+35.3,-1.30,,,,,,,
20180626,44938.12,,,,,,,,,$PDLM2,144940,+132.8,+3.72,+74.7,-4.05,,,,,,,
20180626,44938.12,,,,,,,,,$PDLMA,+12.27,+24.4,+0.2,-1.8,,,,,,,,
20180626,44939,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44939.11,,,,,,,,,$PDLM1,144941,+88.7,+0.77,+35.6,-1.30,,,,,,,
20180626,44939.12,,,,,,,,,$PDLM2,144941,+132.8,+3.71,+74.5,-4.03,,,,,,,
20180626,44939.14,,,,,,,,,$PDLMA,+12.25,+24.4,+0.2,-1.8,,,,,,,,
20180626,44940,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44940.09,,,,,,,,,$PDLM1,144942,+88.5,+0.77,+35.7,-1.31,,,,,,,
20180626,44940.11,,,,,,,,,$PDLM2,144942,+132.7,+3.70,+74.8,-4.04,,,,,,,
20180626,44940.12,,,,,,,,,$PDLMA,+12.28,+24.4,+0.2,-1.8,,,,,,,,
20180626,44941,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44941.1,,,,,,,,,$PDLM1,144943,+88.4,+0.77,+35.6,-1.31,,,,,,,
20180626,44941.12,,,,,,,,,$PDLM2,144943,+133.0,+3.73,+74.5,-4.03,,,,,,,
20180626,44941.14,,,,,,,,,$PDLMA,+12.25,+24.4,+0.2,-1.8,,,,,,,,
20180626,44942,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44942.09,,,,,,,,,$PDLM1,144944,+89.0,+0.77,+35.5,-1.30,,,,,,,
20180626,44942.1,,,,,,,,,$PDLM2,144944,+132.8,+3.72,+74.6,-4.03,,,,,,,
20180626,44942.12,,,,,,,,,$PDLMA,+12.28,+24.4,+0.2,-1.8,,,,,,,,
20180626,44943,51508,149.8087650,-30.2864000,224.12,254.52,0,0,gps,,,,,,,,,,,,,
20180626,44943.09,,,,,,,,,$PDLM1,144945,+88.8,+0.77,+35.6,-1.31,,,,,,,
20180626,44943.1,,,,,,,,,$PDLM2,144945,+133.1,+3.70,+74.7,-4.03,,,,,,,
20180626,44943.12,,,,,,,,,$PDLMA,+12.25,+24.4,+0.2,-1.8,,,,,,,,
20180626,44944,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44944.09,,,,,,,,,$PDLM1,144946,+88.6,+0.78,+35.4,-1.31,,,,,,,
20180626,44944.1,,,,,,,,,$PDLM2,144946,+132.6,+3.72,+75.3,-4.06,,,,,,,
20180626,44944.12,,,,,,,,,$PDLMA,+12.28,+24.4,+0.2,-1.8,,,,,,,,
20180626,44945,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44945.09,,,,,,,,,$PDLM1,144947,+89.1,+0.77,+35.4,-1.31,,,,,,,
20180626,44945.12,,,,,,,,,$PDLM2,144947,+133.0,+3.71,+74.5,-4.05,,,,,,,
20180626,44945.12,,,,,,,,,$PDLMA,+12.25,+24.4,+0.4,-1.8,,,,,,,,
20180626,44946,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44946.09,,,,,,,,,$PDLM1,144948,+89.0,+0.77,+35.3,-1.31,,,,,,,
20180626,44946.12,,,,,,,,,$PDLM2,144948,+132.7,+3.71,+74.7,-4.05,,,,,,,
20180626,44946.12,,,,,,,,,$PDLMA,+12.26,+24.4,+0.5,-1.8,,,,,,,,
20180626,44947,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44947.09,,,,,,,,,$PDLM1,144949,+88.9,+0.77,+35.4,-1.31,,,,,,,
20180626,44947.12,,,,,,,,,$PDLM2,144949,+133.0,+3.72,+75.0,-4.04,,,,,,,
20180626,44947.12,,,,,,,,,$PDLMA,+12.28,+24.4,-0.1,-1.6,,,,,,,,
20180626,44948,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
20180626,44948.1,,,,,,,,,$PDLM1,144950,+88.9,+0.77,+35.4,-1.31,,,,,,,
20180626,44948.12,,,,,,,,,$PDLM2,144950,+132.8,+3.70,+74.4,-4.04,,,,,,,
20180626,44948.12,,,,,,,,,$PDLMA,+12.25,+24.4,+0.2,-1.8,,,,,,,,
20180626,44949,51508,149.8087650,-30.2864000,224.12,254.52,0,0,gps,,,,,,,,,,,,,
20180626,44949.1,,,,,,,,,$PDLM1,144951,+89.1,+0.77,+35.3,-1.31,,,,,,,
20180626,44949.12,,,,,,,,,$PDLM2,144951,+133.1,+3.71,+74.6,-4.07,,,,,,,
20180626,44949.14,,,,,,,,,$PDLMA,+12.28,+24.4,+0.3,-1.8,,,,,,,,
20180626,44950,51508,149.8087650,-30.2864000,224.11,254.51,0,0,gps,,,,,,,,,,,,,
